CILUBA,French,English,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Afrikaans_Translation
nzubu,maison,House,huis,indlu,3.0,Positif,Mot,House,Huis
citendelelu,eglise,church,kerk,isonto,5.0,Positif,Mot,church,kerk
lumuenu,miroir,mirror,spieël,isibuko,4.0,Positif,Mot,mirror,spieël
kulombola,diriger,direct,rig,ukuhola,2.0,Positif,Verbe,direct,direk
kutela,proclamer,proclaim,prokl bitter,memezela,4.0,Positif,Verbe,proclaim,verkondig
kukumbaja,ajouter,add,voeg by,Engeza,6.0,Positif,Verbe,add,voeg by
kudia,manger,eat,eet,udle,3.0,Positif,Verbe,eat,eet
kuheja,saboter,sabotage,sabotasie,ukucekela phansi,-5.0,Negatif,Verbe,sabotage,sabotasie
kuakula,parler,talk,praat,khuluma,3.0,Positif,Verbe,talk,praat
kulongolola,preparer,prepare,voorberei,lungiselela,6.0,Positif,Verbe,prepare,voorberei
kuinyika,Motmer,motmer,Moeder,I-Motmer,3.0,Positif,Verbe,Motmer,Motmer
kuiba,voler,fly,steel,fly,-2.0,Negatif,Verbe,fly,vlieg
kuangatulula,reprendre,to resume,CV,qhubeka futhi,5.0,Positif,Verbe,to resume,om te hervat
terminer,finir,finish,voltooi,qeda,4.0,Positif,Verbe,finish,afwerking
cilongelu,ecole,school,skool,isikole,6.0,Positif,Mot,school,skool
kuntetula,copier,copy,kopieer,kopisha,3.0,Positif,Verbe,copy,kopieer
kukehecha,diminuer,decrease,verminder,nciphisa,-3.0,Negatif,Verbe,decrease,afname
kuambula,transporter,carry,dra,ezokuthutha,3.0,Positif,Verbe,carry,dra
njila,route,road,pad,umgwaqo,4.0,Positif,Mot,road,pad
machinyi,vehucule,vehicle,voertuig,i-vehucule,4.0,Positif,Mot,vehicle,voertuig
kusambuka,traverser,to cross,oorsteek,isiphambano,4.0,Positif,Verbe,to cross,om oor te steek
cilamba,pont,bridge,brug,ibhuloho,3.0,Positif,Mot,bridge,brug
kuikila,atterir,land,land,izwe,4.0,Positif,Verbe,land,grond
cisumbu,groupe,band,groep,Iqembu,5.0,Positif,Mot,band,orkes
mukanda,livre,book,boek,bhukha,4.0,Positif,Mot,book,boek
mukandawanzambi,bible,Bible,bybel,ibhayibheli,3.0,Positif,Mot,Bible,Bybel
mutelu,chemise,shirt,hemp,ihembe,2.0,Positif,Mot,shirt,hemp
mupanu,pantalon,pants,broek,ibhulukwe,5.0,Positif,Mot,pants,broek
kusangisha,ransembler,to reassemble,versamel,i-ransemble,3.0,Positif,Verbe,gather,versamel
kuakaja,nettoyer,to clean,skoonmaak,ihlanzekile,4.0,Positif,Verbe,to clean,om skoon te maak
kuteka,placer,place,plek,indawo,4.0,Positif,Verbe,place,plek
kubusha,enlever,to remove,neem af,susa,3.0,Positif,Verbe,to remove,om te verwyder
kunvuala,porter,to carry,dra,ukugqoka,2.0,Positif,Verbe,to carry,om te dra
kuimba,chanter,sing,sing,cula,4.0,Positif,Verbe,sing,sing
kuiba,voler,fly,vlieg,fly,-3.0,Negatif,Verbe,fly,vlieg
kushituluka,changer,to change,verander,shintsha,5.0,Positif,Verbe,to change,om te verander
kueza,faire,TO DO,doen,yenza,4.0,Positif,Verbe,TO DO,OM TE DOEN
kuya,Aller,go,Gaan,Hamba,3.0,Positif,Verbe,Go,Gaan
kunanga,Aimer,to like,Lief hê,Thanda,3.0,Positif,Verbe,To like,Om van te hou
kudia,Manger,eat,Eet,Ukudla,3.0,Positif,Verbe,Eat,Eet
kunua,Boire,drink,Drink,Ukuphuza,4.0,Positif,Verbe,Drink,Drink
kuimba,Chanter,sing,Sing,Cula,5.0,Positif,Verbe,Sing,Sing
kuja,Danser,to dance,Dans,Ukudansa,5.0,Positif,Verbe,To dance,Om te dans
kulonga,Étudier,to study,Studeer,Isifundo,5.0,Positif,Verbe,To study,Om te studeer
kuakula,Parler,talk,Praat,Khuluma,5.0,Positif,Verbe,Talk,Praat
kuteleja,Écouter,listen,Luister,Lalela,3.0,Positif,Verbe,Listen,Luister
kutangila,Regarder,look,Kyk,Buka,2.0,Positif,Verbe,Look,Kyk
kufunda,Écrire,to write,Skryf,Bhala,2.0,Positif,Verbe,To write,Om te skryf
kunyema,Courir,run,Hardloop,Ukugijima,1.0,Positif,Verbe,Run,Hardloop
kuenda,Marcher,to walk,Loop,Ukuhamba ngezinyawo,1.0,Positif,Verbe,To walk,Om te loop
kutumpika,Sauter,jump,Spring,Yeqa,3.0,Positif,Verbe,Jump,Spring
kuiba,Voler,fly,Vlieg,Ukundiza,-4.0,Negatif,Verbe,Fly,Vlieg
kowela,Nager,swim,Swem,Ukubhukuda,4.0,Positif,Verbe,Swim,Swem
shinga,file,file,ry,ifayela,2.0,Positif,Mot,file,lêer
kubuka,Voyager,to travel,Reis,Uhambo,2.0,Positif,Verbe,To travel,Om te reis
kubabidila,Prévoir,to expect,Beplan,Qagela,1.0,Positif,Verbe,To expect,Om te verwag
kuidila,Attendre,to wait for,Wag weer,Linda,3.0,Positif,Verbe,To wait for,Om te wag vir
kuakidila,Embrasser,to kiss,Soen,Kiss,3.0,Positif,Verbe,To kiss,Om te soen
kusela,Épouser,marry,Trou,Shada,4.0,Positif,Verbe,Marry,Trou
kuedesha,Conduire,to drive,Ry,Shayela,3.0,Positif,Verbe,To drive,Om te bestuur
tshibuta,sac,bag,Tas,isikhwama,4.0,Positif,Mot,bag,sak
kuloba,Pêcher,sin,Vis,Ukudoba,4.0,Positif,Verbe,Sin,Sonde
kulota,Rêver,dream,Droom,Iphupho,3.0,Positif,Verbe,Dream,Droom
kuindila,Attendre,to wait for,Wag,Linda,2.0,Positif,Verbe,To wait for,Om te wag vir
kuitaba,Croire,believe,Glo,Kholelwa,1.0,Positif,Verbe,Believe,Glo
kuakidila,Recevoir,receive,Ontvang,Thola,3.0,Positif,Verbe,Receive,Ontvang
kufila,Donner,give,Gee,Nikeza,3.0,Positif,Verbe,Give,Gee
kupeta,Avoir,to have,Het,Unakho,3.0,Positif,Verbe,To have,Om te hê
kuikala,Être,be,Wees,Ukuba,3.0,Positif,Verbe,Be,Wees
kueza,Faire,TO DO,Doen,Enza,3.0,Positif,Verbe,Do,Doen
kuakidila,Accueillir,to welcome,Verwelkom,Siyakwamukela,3.0,Positif,Verbe,To welcome,Om te verwelkom
kusomba,Louer,to rent out,Prys,Qasha,2.0,Positif,Verbe,To rent out,Om te verhuur
kubandisha,Elever,to raise,Verhoog,Phakamisa,3.0,Positif,Verbe,Elevate,Verhef
kumanya,Savoir,know,Weet,Ulwazi,2.0,Positif,Verbe,Know,Weet
kulua,Venir,come,Kom,Iyeza,3.0,Positif,Verbe,Come,Kom
kuya,Partir,leave,Verlaat,Shiya,2.0,Positif,Verbe,Leave,Vertrek
kualukila,Rentrer,to return,Terugkeer,Phindela,2.0,Positif,Verbe,To return,Om terug te keer
kulopoka,Sortir,to go out,Uitgaan,Phuma,4.0,Positif,Verbe,To go out,Om uit te gaan
kuangula,Découvrir,discover,Ontdek,Thola,3.0,Positif,Verbe,Discover,Ontdek
kufuka,Inventer,invent,Uitvind,Ukusungula,4.0,Positif,Verbe,Invent,Uitvind
kuibaka,Construire,build,Bou,Yakha,3.0,Positif,Verbe,Build,Bou
kabubula,Détruire,destroy,Vernietig,Cekela phansi,-3.0,Negatif,Verbe,Destroy,Vernietig
kukosa,Casser,to break,Breek,Ikhefu,-3.0,Negatif,Verbe,To break,Om te breek
kukepesha,Réduire,reduce,Verminder,Vala,-4.0,Negatif,Verbe,Reduce,Verminder
kuvua,Comprendre,to understand,Verstaan,Qonda,3.0,Positif,Verbe,To understand,Om te verstaan
kulonga,Apprendre,learn,Leer,Funda,4.0,Positif,Verbe,Learn,Leer
kulongesha,Enseigner,teach,Onderrig,Ukufundisa,4.0,Positif,Verbe,Teach,Leer
kelesha,Proposer,to propose,Voorstel,Phakamisa,3.0,Positif,Verbe,To propose,Om voor te stel
kubenga,Refuser,refuse,Weier,Enqaba,-3.0,Negatif,Verbe,Refuse,Weier
kusungula,Choisir,choose,Kies,Khetha,3.0,Positif,Verbe,Choose,Kies
kuva,Écouter,listen,Luister,Lalela,5.0,Positif,Verbe,Listen,Luister
kumona,Observer,observe,Neem waar,Buka,2.0,Positif,Verbe,Observe,Let op
kuelalungenyi,Réfléchir,to reflect on,Reflekteer,Cabanga,3.0,Positif,Verbe,To reflect on,Om te besin oor
kudikonkoloja,Méditer,meditate,Mediteer,Zindla,1.0,Positif,Verbe,Meditate,Mediteer
mutelu,Chémise,shirt,Hemp,I-Chemise,5.0,Positif,Verbe,Shirt,Hemp
makasa,Pieds,feet,Voete,Izinyawo,3.0,Positif,Verbe,Feet,Voete
kutekemena,Espérer,hope,Hoop,Ithemba,2.0,Positif,Verbe,Hope,Hoop
kuseka,Sourire,smile,Glimlag,Mamatheka,6.0,Positif,Verbe,Smile,Glimlag
kudila,Pleurer,cry,Huil,Ukukhala,-3.0,Negatif,Verbe,Cry,Huil
kukenya,Rire,laugh,Lag,Hleka,4.0,Positif,Verbe,Laugh,Lag
kuelalubila,Crier,shout,Skree,Khala,3.0,Positif,Verbe,Shout,Skree
kunungana,Chuchoter,whisper,Fluister,Hlebeza,-4.0,Negatif,Verbe,Whisper,Fluister
kumanisha,Communiquer,communicate,Kommunikeer,Xhumana,2.0,Positif,Verbe,Communicate,Kommunikeer
kuvuija,Expliquer,explain,Verduidelik,Chaza,5.0,Positif,Verbe,Explain,Verduidelik
kutubisha,Célébrer,celebrate,Vier,Gubha,4.0,Positif,Verbe,Celebrate,Vier
kututabikashi,Applaudir,applaud,'n Applous,Shayela ihlombe,2.0,Positif,Verbe,Applaud,Applous
kuitaba,Supporter,support,Ondersteun,Usizo,2.0,Positif,Verbe,Support,Ondersteuning
kubenga,Contester,challenge,Kompeteer,Ukuphikisana,4.0,Positif,Verbe,Challenge,Uitdaging
kuditshipa,Jurer,swear,Vloek,Funga,6.0,Positif,Verbe,Swear,Vloek
kushima,Mentir,lie,Lieg,Amanga,-4.0,Negatif,Verbe,Lie,Leuen
kuyukila,Dire,say,Sê,Yithi,3.0,Positif,Verbe,Say,Sê
kulonda,Raconter,tell,Vertel,Tshela,2.0,Positif,Verbe,Tell,Vertel
suki,Cheveux,hair,Hare,Izinwele,6.0,Positif,Mot,Hair,Hare
kubikila,Appeler,to call,Bel,Shaya ucingo,2.0,Positif,Verbe,To call,Om te bel
kuepuka,Eviter,avoid,Vermy,Gwema,5.0,Positif,Verbe,Avoid,Vermy
kuakidila,Accueillir,to welcome,Verwelkom,Siyakwamukela,2.0,Positif,Verbe,To welcome,Om te verwelkom
kuelamoyi,Saluer,greet,Groet,Bingelela,1.0,Positif,Verbe,Greet,Groet
kukelesha,Encourager,encourage,Moedig aan,Khuthaza,4.0,Positif,Verbe,Encourage,Aanmoedig
kukoleshangala,Consoler,console,Troos,I-console,2.0,Positif,Verbe,Console,Konsole
kueza,Agir,act,Tree op,Thatha isinyathelo,3.0,Positif,Verbe,Act,Optree
kuadamuna,Réagir,react,Reageer,Phendula,5.0,Positif,Verbe,React,Reageer
suki,Cheveux,hair,Hare,Izinwele,3.0,Positif,Mot,Hair,Hare
kukubaja,Accomplir,accomplish,Bereik,Feza,3.0,Positif,Verbe,Accomplish,Bereik
kueza,Réaliser,realize,Besef,Finyelela,4.0,Positif,Verbe,Realize,Besef
kukuata,Réussir,succeed,Slaag,Phumelela,3.0,Positif,Verbe,Succeed,Slaag
kubula,Échouer,fail,Misluik,Yehluleka,-3.0,Positif,Verbe,Fail,Misluk
kulongolo,Améliorer,improve,Verbeter,Thuthukisa,3.0,Positif,Verbe,Improve,Verbeter
kushituluka,Changer,to change,Verander,Shintsha,5.0,Positif,Verbe,To change,Om te verander
kukudimuna,Transformer,transform,Transformeer,Shintsha,2.0,Positif,Verbe,Transform,Transformeer
kushitulula,Modifier,to modify,Wysig,Hlela,3.0,Positif,Verbe,To modify,Om te wysig
kukukuila,Adorer,worship,Aanbid,Uthando,5.0,Positif,Verbe,Worship,Aanbidding
kukina,Détester,hate,Haat,Inzondo,-4.0,Negatif,Verbe,Hate,Haat
kushebula,Ignorer,ignore,Ignoreer,Yeqa,-4.0,Negatif,Verbe,Ignore,Ignoreer
kumanyinula,Reconnaître,recognize,Erken,Vuma,3.0,Positif,Verbe,Recognize,Herken
kuanyisha,Admirer,admire,Bewonder,Yazisa,2.0,Positif,Verbe,Admire,Bewonder
kunemeka,Respecter,respect,Respekteer,Inhlonipho,1.0,Positif,Verbe,Respect,Respek
Mujilu,Artère,artery,Slagaar,Umthambo,4.0,Positif,Mot,Artery,Slagader
Muedi,Barbe,beard,Baard,Intshebe,4.0,Positif,Mot,Beard,Baard
Mukana,Bouche,mouth,Mond,Umlomo,2.0,Positif,Mot,Mouth,Mond
Diboko,Bras,arm,Arm,Ingalo,5.0,Positif,Mot,Arm,Arm
Bongo,Cerveau,brain,Brein,Ubuchopho,3.0,Positif,Mot,Brain,Brein
Lusuki,Cheveu,hair,Hare,Izinwele,2.0,Positif,Mot,Hair,Hare
Kampombe,Cheville,ankle,Enkel,I-ankle,5.0,Positif,Mot,Ankle,Enkel
Lukofi,Cil,eyelash,Wimper,I-Eyelash,3.0,Positif,Mot,Eyelash,Wimper
Muoyo,Cœur,heart,Hart,Inhliziyo,5.0,Positif,Mot,Heart,Hart
Muongo,Colonnevertebrale,spine,Ruggraat,Ikholomu ye-vertebral,3.0,Positif,Mot,Spine,Ruggraat
Mbidi,Corps,body,Liggaam,Umzimba,6.0,Positif,Mot,Body,Liggaam
Lubadi,Cote,side,Rib,Isilinganiso,4.0,Positif,Mot,Side,Kant
Nsingu,Cou,neck,Nek,Intamo,3.0,Positif,Mot,Neck,Nek
Tshibalubalu,Crane,skull,Skedel,I-crane,6.0,Positif,Mot,Skull,Skedel
Lukenyibu,Coude,elbow,Elmboog,Indololwane,3.0,Positif,Mot,Elbow,Elmboog
Tshibelo,Cuissse,thigh,Dybene,Umhlathi,2.0,Positif,Mot,Thigh,Dy
Dino,Dent,tooth,Tand,Amazinyo,1.0,Positif,Mot,Tooth,Tand
Munu,Doingt,doingt,Vinger,I-Doatingt,1.0,Positif,Mot,Doingt,Doingt
Nyima,Dos,back,Rug,Emuva,1.0,Positif,Mot,Back,Terug
Dikaya,Epaule,shoulder,Skouer,Ihlombe,1.0,Positif,Mot,Shoulder,Skouer
Tshifu,Estomac,stomach,Maag,Isisu,3.0,Positif,Mot,Stomach,Maag
Ditaku,Fesse,buttock,Boud,I-Buttock,4.0,Positif,Mot,Buttock,Boude
Mutshima,Foie,liver,Lewer,Isibindi,3.0,Positif,Mot,Liver,Lewer
Mpala,Front,forehead,Voorkop,Ingaphambili,3.0,Positif,Mot,Forehead,Voorkop
Tshinu,Genou,knee,Knie,Idolo,5.0,Positif,Mot,Knee,Knie
Muminu,Gorge,throat,Keel,Umphimbo,5.0,Positif,Mot,Throat,Keel
Lukundu,Hanche,hip,Heup,I-Hip,2.0,Positif,Mot,Hip,Heup
Dila,Intestin,intestine,Darm,Isisu,2.0,Positif,Mot,Intestine,Derm
Mukolo,Jambe,leg,Been,Umlenze,5.0,Positif,Mot,Leg,Been
Ditama,Joue,plays,Wang,Dlala,2.0,Positif,Mot,Plays,Toneelstukke
Ludimi,Langue,language,Tong,Ulimi,2.0,Positif,Mot,Language,Taal
Tshinsonyi,Larme,tear,Skeur,Khala izinyembezi,5.0,Positif,Mot,Tear,Skeur
Mushiku,Lèvre,lip,Lip,I-Lip,6.0,Positif,Mot,Lip,Lip
Lubanga,Machoire,jaw,Kaak,I-Machoire,4.0,Positif,Mot,Jaw,Kaak
Tshianza,Main,hand,Hand,Okuyinhloko,3.0,Positif,Mot,Hand,Hand
Lubanga,Menton,chin,Ken,I-Chin,4.0,Positif,Mot,Chin,Ken
Mumpenya,Moustache,mustache,Snor,I-Mustache,3.0,Positif,Mot,Mustache,Snor
Musunyi,Muscle,muscle,Spier,Umsipha,3.0,Positif,Mot,Muscle,Spier
Mumpempe,Narine,nostril,Neusgat,Ikhala,3.0,Positif,Mot,Nostril,Neusgat
Bongo,Nerf,nerve,Senuwee,Inzwa,2.0,Positif,Mot,Nerve,Senuwee
Diulu,Nez,nose,Neus,Ikhala,2.0,Positif,Mot,Nose,Neus
Muofo,Motbrile,motbrile,Motor,I-Motbrile,5.0,Positif,Mot,Motbrile,Motbrile
Dikoshi,Nuque,neck,Stut,Intamo,3.0,Positif,Mot,Neck,Nek
Disu,Œil,eye,Nek,Iso,3.0,Positif,Mot,Eye,Oog
Luzadi,Ongle,nail,Oog,Isipikili,3.0,Positif,Mot,Nail,Spyker
Ditshi,Oreille,ear,Nael,Indlebe,3.0,Positif,Mot,Ear,Oor
Muanawankasa,Orteil,toe,Oor,Uzwane,3.0,Positif,Mot,Toe,Toon
Mufuba,Os,bone,Toon,OS:,2.0,Positif,Mot,Bone,Been
Tshilafinyeb,Paupière,eyelid,Been,Ijwabu leso,6.0,Positif,Mot,Eyelid,Ooglid
Dikoba,Peau,skin,Ooglid,Isikhumba,5.0,Positif,Mot,Skin,Vel
Dikasa,Pied,foot,Vel,Unyawo,8.0,Positif,Mot,Foot,Voet
Nshingu,Poignet,wrist,Voet,Isihlakala,9.0,Positif,Mot,Wrist,Pols
Dikoma,Poing,fist,Pols,Isibhakela,4.0,Positif,Mot,Fist,Vuis
Tshiadi,Poitrine,chest,Vuis,Isifuba,3.0,Positif,Mot,Chest,Bors
Tshiadi,Pouce,thumb,Borskas,Inch,2.0,Positif,Mot,Thumb,Duim
Mijilu,Pouls,pulse,Duim,I-pulse,1.0,Positif,Mot,Pulse,Pols
Tshisulusulu,Poumon,lung,Pols,Amaphaphu,6.0,Positif,Mot,Lung,Long
Konyi,Rein,kidney,Long,Izinso,7.0,Positif,Mot,Kidney,Nier
Munyengu,Ride,wrinkled,Nier,Ukugibela,5.0,Positif,Mot,Wrinkled,Gekreukeld
Mate,Salive,saliva,Rimpel,Amathe,3.0,Positif,Mot,Saliva,Speeksel
Dibele,Sein,breast,Speeksel,Ibele,7.0,Positif,Mot,Breast,Bors
Dikiki,Sourcil,eyebrow,Borskas,I-Eyebrow,4.0,Positif,Mot,Eyebrow,Wenkbrou
Mashi,Sang,blood,Wenkbrou,Igazi,3.0,Positif,Mot,Blood,Bloed
Bitoyikoyi,Squelette,skeleton,Bloed,I-skeleton,3.0,Positif,Mot,Skeleton,Skelet
Tshisululu,Sueur,sweat,Skelet,Umjuluko,4.0,Positif,Mot,Sweat,Sweet
Tshikankanya,Talon,heel,Sweet,Isithende,4.0,Positif,Mot,Heel,Hak
Mujilu,Veine,vein,Hak,I-Vein,2.0,Positif,Mot,Vein,Aar
Difu,Ventre,belly,Aar,Isisu,6.0,Positif,Mot,Belly,Maag
Mpala,Visage,face,Maag,Ubuso,4.0,Positif,Mot,Face,Gesig
Dinda,Matin,Morning,Oggend,Ekuseni,3.0,Positif,Mot,Morning,Oggend
Mujalamuwadida,Midi,noon,Middag,Emini,6.0,Positif,Mot,Noon,Middag
Dilolo,Soir,evening,Aand,Kusihlwa,4.0,Positif,Mot,Evening,Aand
Bufuku,Nuit,night,Nag,Ubusuku,-4.0,Negatif,Mot,Night,Nag
Dituku,Jour,day,Dag,Usuku,3.0,Positif,Mot,Day,Dag
Lubingu,Semaine,week,Week,Iviki,2.0,Positif,Mot,Week,Week
Ngondo,Mois,month,Maand,Inyanga,1.0,Positif,Mot,Month,Maand
Tshidimu,Anneé,year,Jaar,Unyaka,2.0,Positif,Mot,Year,Jaar
Munute,Minute,minute,Minuut,Umzuzu,7.0,Positif,Mot,Minute,Minuut
Dida,Heure,hour,Uur,Isikhathi,8.0,Positif,Mot,Hour,Uur
Makelele,Hier,yesterday,Gister,"IzoloA date such as '23 May 2010', %e is the day, %B the month and %Y the year",9.0,Positif,Mot,Yesterday,Gister
Lelo,Aujourd'hui,Today,Vandag,Namuhla,4.0,Positif,Mot,Today,Vandag
Makelela,Demain,tomorrow,Môre,Kusasa,3.0,Positif,Mot,Tomorrow,Môre
Dimwe,Lundi,Monday,Maandag,UMsombuluko,2.0,Positif,Mot,Monday,Maandag
Dibiidi,Mardi,Tuesday,Dinsdag,ULwesibili,5.0,Positif,Mot,Tuesday,Dinsdag
Disatu,Mercredi,Wednesday,Woensdag,ULwesithathu,8.0,Positif,Mot,Wednesday,Woensdag
Dinayi,Jeudi,THURSDAY,Donderdag,ULwesine,4.0,Positif,Mot,THURSDAY,DONDERDAG
Ditanu,Vendredi,Friday,Vrydag,ULwesihlanu,3.0,Positif,Mot,Friday,Vrydag
Disambombo,Samedi,SATURDAY,Saterdag,UMgqibelo,2.0,Positif,Mot,SATURDAY,SATERDAG
Lumingu,Dimanche,Sunday,Sondag,ISonto,3.0,Positif,Mot,Sunday,Sondag
Nyama,Animal,animal,Dier,Isilwane,2.0,Positif,Mot,Animal,Dier
Lubulubulu,Abeille,bee,By,Inyosi,5.0,Positif,Mot,Bee,By
Muanawamukoko,Agneau,lamb,Lam,IWundlu,7.0,Positif,Mot,Lamb,Lam
Mukanku,Aigle,eagle,Arend,Ukhozi,7.0,Positif,Mot,Eagle,Arend
Mpunda,Ane,donkey,Donkie,Imbongolo,3.0,Positif,Mot,Donkey,Donkie
Ntande,Araignée,spider,Spinnekop,Isicabucabu,1.0,Positif,Mot,Spider,Spinnekop
Ntuba,Autruche,ostrich,Volstruis,I-Chestnut,2.0,Positif,Mot,Ostrich,Volstruis
Dibata,Canard,duck,Eend,Idada,2.0,Positif,Mot,Duck,Eend
Kasha,Cerf,deer,Hert,Izinyamazane,5.0,Positif,Mot,Deer,Herte
Mfulansa,Chameau,camel,Kameel,Ikamela,6.0,Positif,Mot,Camel,Kameel
Mpusu,Chat,cat,Kat,Ikati,7.0,Positif,Mot,Cat,Kat
Kabalo,Cheval,horse,Perd,Ihhashi,1.0,Positif,Mot,Horse,Perd
Mbuji,Chèvre,goat,Bok,Imbuzi,2.0,Positif,Mot,Goat,Bok
Kabwa,Chien,dog,Hond,Inja,4.0,Positif,Mot,Dog,Hond
Ngulube,Cochon,pig,Vark,Ingulube,5.0,Positif,Mot,Pig,Vark
Nzolo,Coq,rooster,Haan,I-rooster,6.0,Positif,Mot,Rooster,Haan
Lukala,Crabe,crab,Krap,Inkalankala,4.0,Positif,Mot,Crab,Krap
Tshiula,Crapaud,toad,Padda,Ithoyizi,7.0,Positif,Mot,Toad,Padda
Ngandu,Crocodile,crocodile,Krokodil,Ingwenya,7.0,Positif,Mot,Crocodile,Krokodil
Kabundi,Ecureuil,squirrel,Eekhoring,I-Squirrel,2.0,Positif,Mot,Squirrel,Eekhoring
Nzevu,Eléphant,elephant,Olifant,Indlovu,4.0,Positif,Mot,Elephant,Olifant
Dilandi,Escargot,snail,Slak,Umhlonyane,3.0,Positif,Mot,Snail,Slak
Kankenene,Fourmi,ant,Mier,Intuthwane,3.0,Positif,Mot,Ant,Mier
Ngomba,Girafe,giraffe,Kameelperd,Indlulamithi,5.0,Positif,Mot,Giraffe,Kameelperd
Nsokumuntu,Gorille,gorilla,Gorilla,I-Gorilla,6.0,Positif,Mot,Gorilla,Gorilla
	Maleyaya,Malaria,malaria,Malaria,Umalaleveva,-3.0,Negatif,Mot,Malaria,Malaria
	Malunvu,Alcool,alcohol,Alkohol,Utshwala,-4.0,Negatif,Mot,Alcohol,Alkohol
	Manga,Fétiche,fetish,Fetisj,I-Fetish,-3.0,Negatif,Mot,Fetish,Fetisj
	Ngumu, Information,information,Inligting,Imininingwane,3.0,Positif,Mot,Information,Inligting
	Blaba,Sable,sand,Sand,Isihlabathi,6.0,Positif,Mot,Sand,Sand
	Buta,Sandre,pikeperch,Zander,I-Sandre,4.0,Positif,Mot,Sandre,Sandre
	Makuta,Argent,money,Geld,Isiliva,5.0,Positif,Mot,Money,Geld
	Mamu,Mère,mother,Moeder,Umama,2.0,Positif,Mot,Mother,Moeder
	Tatu, Père,father,Pa,Ubaba,6.0,Positif,Mot,Father,Vader
	Dilongesha,  Enseignement,education,Onderrig,Imfundo,7.0,Positif,Mot,Education,Onderwys
	Mulongeshi,  enseignant,teacher,Onderwyser,uthisha,9.0,Positif,Mot,teacher,onderwyser
	Kubungama,  Tristesse,sadness,Hartseer,Usizi,-4.0,Negatif,Mot,Sadness,Hartseer
	Musangu,  Oreiller,pillow,Kussing,Umcamelo,3.0,Positif,Mot,Pillow,Kussing
Vunda_vunda,  Tourbillon,whirlwind,Warrelwind,I-Tourbillon,5.0,Positif,Mot,Whirlpool,Warmwaterbad
	Nvula,  Pluie,rain,Reën,Imvula,3.0,Positif,Mot,Rain,Reën
	Bihu,  punaise,thumbtack,Gogga,ibhungane,2.0,Positif,Mot,thumbtack,duimspyker
	Songakaji,  Jeunefemme,young woman,Jong Vrou,Owesifazane osemusha,7.0,Positif,Mot,Young woman,Jong vrou
	Songaluma,  Jeunehomme,young man,Jong Man,Insizwa,9.0,Positif,Mot,Young man,Jong man
	Maseba,  Oncle,uncle,Oom,Umalume,6.0,Positif,Mot,Uncle,Oom
	tatumukaji,  Tante,aunt,Tante,U-anti,5.0,Positif,Mot,Aunt,Tannie
kuenza	,  Faire,TO DO,Doen,Enza,2.0,Positif,Mot,Do,Doen
	Menyi,  Urine,urine,Urine,Umchamo,1.0,Positif,Mot,Urine,Urine
Tuasakadila,  Merci,THANKS,Dankie,Siyabonga,5.0,Positif,Mot,THANKS,DANKIE
	Kulala,  Dormir,sleep,Slaap,Ukulala,5.0,Positif,Mot,Sleep,Slaap
	KuTuta,  Frappe,struck,Slaap,Isiteleka,-4.0,Negatif,Mot,Struck,Geslaan
Kunyungulaka,  Tourner,turn,Draai,Vula,3.0,Positif,Mot,Turn,Draai
	KuBâla,  Lire,read,Lees,Funda,4.0,Positif,Mot,Read,Lees
	KUdia,  Manger,eat,Eet,Ukudla,2.0,Positif,Mot,Eat,Eet
	Disama,  Maladie,disease,Siekte,Isifo,-2.0,Negatif,Mot,Disease,Siekte
	Ufua,  Mort,dead,Dood,Ukufa,-3.0,Negatif,Mot,Dead,Dood
	Mufua,  Décédée,deceased,Oorlede,Kushonile,-1.0,Negatif,Mot,Deceased,Oorlede
	Lusa,  Pitié,pity,Jammer,Isihe,4.0,Positif,Mot,Pity,Jammer
	Nkenena,  Fourmis,ants,Miere,Izintuthwane,5.0,Positif,Mot,Ants,Miere
	Kanyunyi,  Oiseau,bird,Voël,Inyoni,3.0,Positif,Mot,Bird,Voël
	Mubuluka,  Fou,mad,Mal,Uyahlanya,-4.0,Negatif,Mot,Mad,Mal
	Mubanji,  Riche,rich,Ryk,Ecebile,4.0,Positif,Mot,Rich,Ryk
	Musedibua,  Marier,marry,Trou,Shada,2.0,Positif,Mot,Marry,Trou
	Kalulu,  Lapin,rabbit,Konyn,Unogwaja,3.0,Positif,Mot,Rabbit,Konyn
	Dikalu,  Vélo,bike,Fiets,Ibhayisikili,7.0,Positif,Mot,Bike,Fiets
	Bowa,  Peur,fear,Vrees,Ukwesaba,-4.0,Negatif,Mot,Fear,Vrees
	Boowa,  Champignons,mushrooms,Sampioene,Amakhowe,9.0,Positif,Mot,Mushrooms,Sampioene
	Diba,  Heure,hour,Uur,Isikhathi,4.0,Positif,Mot,Hour,Uur
	Kaheji,  Saboté,sabotaged,Gesaboteer,Kubhujisiwe,-5.0,Negatif,Mot,Sabotaged,Gesaboteer
	Mukana,  Bouche,mouth,Mond,Umlomo,4.0,Positif,Mot,Mouth,Mond
	Dingeya,  Mangue,mango,Mango,Umango,6.0,Positif,Mot,Mango,Mango
	NtaMbua,  lion,lion,Leeu,Ibhubesi,9.0,Positif,Mot,lion,leeu
	Soku,  Singe,monkey,Aap,Inkawu,5.0,Positif,Mot,Monkey,Aap
