CILUBA,French,English,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation
makanda,force,strength,krag,amandla,2.0,Positif,Mot,strength
dibungama,tristesse,sadness,hartseer,ukudabuka,-3.0,Negatif,Verbe,sadness
tshinji,colere,anger,woede,intukuthelo,-4.0,Negatif,Verbe,anger
diakalenga,heureux,happy,gelukkig,ujabule,5.0,Positif,Mot,happy
nzala,faim,hunger,honger,indlala,-1.0,Negatif,Verbe,hunger
buakana,justice,justice,geregtigheid,ubulungiswa,4.0,Positif,Mot,justice
mutoke,pur,pure,suiwer,okumsulwa,4.0,Positif,Mot,pure
ditalala,paix,peace,vrede,ukuthula,4.0,Positif,Mot,peace
kupenda,insulter,insult,belediging,ukuthuka,-6.0,Negatif,Mot,insult
kushima,mentir,lie,lieg,amanga,-1.0,Negatif,Verbe,lie
kulomba,demander,ask,vra,buza,3.0,Positif,Verbe,ask
kulamba,preparer,prepare,voorberei,lungiselela,3.0,Positif,Verbe,prepare
mukela,sel,salt,sout,usawoti,3.0,Positif,Mot,salt
kulu,sommet,summit,top,isiqongo,3.0,Positif,Mot,summit
muendu,lampe,lamp,lamp,isibani,3.0,Positif,Mot,lamp
butumbi,gloire,glory,glorie,udumo,3.0,Positif,Mot,glory
lupingu,statue,statue,standbeeld,isithombe,3.0,Positif,Mot,statue
muishi,flame,flame,vlam,ilangabi,3.0,Positif,Mot,flame
mala,alcool,alcohol,alkohol,utshwala,3.0,Positif,Mot,alcohol
dibua,pierre,rock,klip,itshe,3.0,Positif,Mot,rock 
mutshi,arbre,TREE,boom,isihlahla,3.0,Positif,Mot,TREE
dilata,tole,sheet metal,plaatmetaal,i-tole,3.0,Positif,Mot,sheet metal
njila,route,road,pad,umgwaqo,3.0,Positif,Mot,road
lumuenu,armoire,cupboard,klerekas,ikhabethe,3.0,Positif,Mot,cupboard
tshilaamba,pont,bridge,brug,ibhuloho,3.0,Positif,Mot,bridge
kulenga,toucher,to touch,aanraak,thinta,3.0,Positif,Verbe,to touch
kunyema,courir,run,hardloop,ukugijima,3.0,Positif,Verbe,run
kunaya,jouer,play,speel,dlala,3.0,Positif,Verbe,play
kudila,pleurer,cry,huil,khala,-4.0,Negatif,Verbe,cry
kuakula,parler,talk,praat,khuluma,1.0,Positif,Verbe,talk
kujadika,affirmer,affirm,bevestig,qinisekisa,1.0,Positif,Verbe,affirm
kulaya,promettre,promise,belowe,thembisa,1.0,Positif,Verbe,promise
kuadamuna,repondre,answer,antwoord,impendulo,1.0,Positif,Verbe,answer
kulala,dormir,sleep,slaap,ubuthongo,1.0,Positif,Verbe,sleep
kudia,manger,eat,eet,udle,1.0,Positif,Verbe,eat
kunua,boire,drink,drink,isiphuzo,1.0,Positif,Verbe,drink
kudiata,pietiner,trample,trap,i-pietiner,1.0,Positif,Verbe,trample
kusungula,choisir,choose,kies,khetha,1.0,Positif,Verbe,choose
tshiibi,porte,door,deur,umnyango,1.0,Positif,Verbe,door
kufila,donner,give,gee,nikeza,1.0,Positif,Verbe,give
kuangata,recevoir,receive,ontvang,thola,1.0,Positif,Verbe,receive
kufuka,créer,create,skep,yenza,1.0,Positif,Verbe,create
binsonji,larme,tear,skeur,izinyembezi,1.0,Positif,Mot,tear
kudia,manger,eat,eet,udle,1.0,Positif,Verbe,eat
kunanga,aimer,to like,liefde,thanda,1.0,Positif,Verbe,to like
kujamaja,danser,to dance,dans,ukudansa,1.0,Positif,Verbe,to dance
kuyahamuaba,partir,leave,verlaat,ukuhamba,1.0,Positif,Verbe,leave
kulua,viens,come on,kom,woza,1.0,Positif,Mot,come
bishi,comment,how,hoe,ukuphawula,1.0,Positif,Mot,how
difikadilenga,bienvenu,welcome,welkom,wamukelekile,1.0,Positif,Mot,welcome
bubi,mauvais,bad,sleg,kubi,-4.0,Negatif,Mot,bad
kunua,boire,drink,drink,isiphuzo,-1.0,Negatif,Verbe,drink
kutuladifu,avorter,to abort,afbreek,ukukhipha isisu,-4.0,Negatif,Verbe,abortion
kuenzacintu,créer,create,skep,yenza,6.0,Positif,Verbe,create
kusasa,fleterisse,flettress,verdor,i-fleterisse,6.0,Positif,Mot,wither
kuelamenji,pensee,thought,gedagte,ucabanga,6.0,Positif,Verbe,thought
bunkolotu,increduliter,to disbelieve,nie glo nie,ongakholwayo,6.0,Positif,Verbe,incredulity
mbangishilu,commencer,to start,begin,qala,6.0,Positif,Verbe,to start
kijikija,fin,END,einde,ukuphela,6.0,Positif,Mot,END
kuibacintu,derober,to steal,steel,i-derober,6.0,Positif,Verbe,steal
karereji,snober,snub,stom af,i-snober,6.0,Positif,Verbe,snub
kuabanyangana,partager,share,deel,yabelana,6.0,Positif,Verbe,share
kufila,donner,give,gee,nikeza,6.0,Positif,Verbe,give
kujinga,desire,desire,begeer,isifiso,6.0,Positif,Verbe,desire
kunshintuluka,changer,to change,verander,shintsha,6.0,Positif,Verbe,to change
kudisha,nourire,to feed,voer,okuphakelayo,6.0,Positif,Verbe,feed
kushebeya,tuer,kill,doodmaak,bulala,-2.0,Negatif,Verbe,kill
tshikisu,mechant,wicked,goddeloos,i-mechant,3.0,Positif,Verbe,wicked
dijinga,volonter,to will,sal,fly,3.0,Positif,Mot,will
kutumikila,obeir,obey,gehoorsaam,thobela,3.0,Positif,Verbe,obey
lulamantu,fidelite,loyalty,lojaliteit,ukwethembeka,3.0,Positif,Verbe,loyalty
kulamata,atacher,to attach,heg aan,i-atacher,3.0,Positif,Verbe,attach
kuiba,voler,fly,steel,fly,-5.0,Negatif,Verbe,fly
kukenga,soufrire,to sulphur,ly,i-sulfurize,-4.0,Negatif,Verbe,suffer
moyimukola,courage,courage,moed,isibindi,1.0,Positif,Mot,courage
kukulakaja,veillire,to grow old,oud word,bukela,1.0,Positif,Mot,to grow old
pidiewu,bientôt,Soon,gou,maduzane,1.0,Positif,Mot,Soon
kuhola,cueillire,pick,kies,ukukhetha,1.0,Positif,Verbe,pick
difikapamuaba,arrivee,arrival,arriveer,ukufika,1.0,Positif,Verbe,arrival
babi,prudent,careful,versigtig,uqaphile,1.0,Positif,Mot,careful
bimpa,bien,GOOD,goed,kuhle,1.0,Positif,Mot,GOOD
kuseka,rire,laugh,lag,hleka,1.0,Positif,Mot,laugh
kuabulula,repeter,repeat,herhaal,phinda,1.0,Positif,Verbe,repeat
kutangila,regarder,look,kyk,bukela,1.0,Positif,Verbe,look
kuenza,faire,TO DO,doen,yenza,1.0,Positif,Verbe,TO DO
kujulacintu,soulever,raise,lig,ikheshi,1.0,Positif,Verbe,raise
kujuka,reveiller,wake,word wakker,vuka,1.0,Positif,Verbe,wake
kushala,rester,stay,bly,ukuhlala,1.0,Positif,Verbe,stay
kuakula,parler,talk,praat,khuluma,1.0,Positif,Verbe,talk
kuhikila,causer,cause,gesels,umgomo,1.0,Positif,Verbe,cause
kutumamuntu,deleguer,delegate,delegeer,phathisa,1.0,Positif,Verbe,delegate
malanda,relation,relationship,verhouding,ubuhlobo,1.0,Positif,Mot,relationship
bobumua,union,union,unie,inyunyana,1.0,Positif,Mot,union
kutumacintu,envoyer,send,stuur,thumela,1.0,Positif,Verbe,send
kulaya,promesse,promise,belofte,thembisa,1.0,Positif,Verbe,promise
kurujamolayi,accomplire,to accomplish,vervul,ukufeza,1.0,Positif,Verbe,accomplish
kusabakena,rencontrer,meet,ontmoet,hlangana,1.0,Positif,Mot,meet
kulondabualu,ranconter,to tell stories,aansluit,i-ranconter,1.0,Positif,Mot,to tell
butuku,nuit,night,nag,ubusuku,1.0,Positif,Mot,night
mudinda,matin,Morning,oggend,ekuseni,1.0,Positif,Mot,Morning
kukubaja,ajoutre,add,voeg by,faka,1.0,Positif,Verbe,add
kukeresha,diminuer,decrease,verminder,nciphisa,1.0,Positif,Verbe,decrease
kuhishisha,depasser,exceed,oorskry,yeqa,1.0,Positif,Verbe,exceed
kuvudija,augmenter,increase,verhoog,khuphula,1.0,Positif,Verbe,increase
cihidi,niveau,level,vlak,Iqophelo,1.0,Positif,Mot,level
kufilamuenenu,commenter,comment,lewer kommentaar,ukuphawula,1.0,Positif,Verbe,comment
kukudimuna,interpreter,interpret,interpreteer,humusha,1.0,Positif,Verbe,interpret
bimpabikola,superbe,stunning,uitmuntende,kuhle kakhulu,1.0,Positif,Mot,stunning
disama,maladie,disease,siekte,isifo,1.0,Positif,Mot,disease
lukosu,toux,cough,hoes,ukukhwehlela,1.0,Positif,Mot,cough
difu,ventre,belly,maag,isisu,1.0,Positif,Mot,belly
bualubudibuezeka,evenement,event,gebeurtenis,umcimbi,1.0,Positif,Mot,event
kubanga,debut,beginning,begin,ukuqala,1.0,Positif,Mot,beginning
kukanga,fermer,close,maak toe,Vala,1.0,Positif,Verbe,close
dibanjidibua,investutire,investiture,ondersoek,tshala imali,1.0,Positif,Verbe,investiture
dilongeshibua,farmation,farming,plaasverwydering,ipulazi,1.0,Positif,Mot,farmation
kukonkola,toquer,knock,klop,ngqongqoza,1.0,Positif,Verbe,knock
kukalaba,ramper,crawl,kruip,khasa,1.0,Positif,Verbe,crawl
kuitaba,decrocher,pick up,kies op,thatha,1.0,Positif,Verbe,pick up
cidicihitakudifuma,resement,resement,onlangs,i-rement,1.0,Positif,Mot,resent
bualubuenyi,nouvelle,new,nuwe,okusha,1.0,Positif,Mot,new
kujingulula,decouvere,discovery,ontdekking,kutholakale,1.0,Positif,Verbe,discovery
kuibaka,construiction,construction,konstruksie,ukuvinjelwa,1.0,Positif,Mot,construction
mushimi,source,source,bron,Umthombo,1.0,Positif,Mot,source
difutu,salaire,salary,salaris,iholo,1.0,Positif,Mot,salary
manayi,amisement,friendship,akkommodasie,ubungane,1.0,Positif,Mot,friendship
difucila,location,rental,huur,indawo,1.0,Positif,Mot,rental
kuyobola,provoquer,to provoke,uitlok,vusa,1.0,Positif,Verbe,to provoke
biamushindu,different,different,verskillende,okuhlukile,1.0,Positif,Mot,different
kujamaja,tremousser,to shake,bewegende,ukuqhaqhazela,1.0,Positif,Verbe,wiggle
kunyunga,mouvement,movement,beweging,ukunyakaza,1.0,Positif,Mot,movement
tulu,someil,sleep,slaap,ngandlela thile,1.0,Positif,Mot,sleep
citanaji,divertisement,entertainment,vermaak,ukuzijabulisa,1.0,Positif,Mot,entertainment
nyungilukilu,environnement,environment,omgewing,indawo,1.0,Positif,Mot,environment
cidicienzeka,foctionnement,operation,operasie,ukugxila,1.0,Positif,Mot,function
cilenga,beau,beautiful,pragtig,inhle,1.0,Positif,Mot,beautiful
diboku,bras,arm,arm,ingalo,1.0,Positif,Mot,arm
lupeepepele,vent,wind,wind,umoya,1.0,Positif,Mot,wind
cinwinu,verre,glass,glas,ingilazi,1.0,Positif,Mot,glass
cisalu,vaccin,vaccine,entstof,umuthi wokugoma,1.0,Positif,Mot,vaccine
mikadila,libre,free,gratis,mahhala,1.0,Positif,Verbe,free
kapepelelupepele,Air,air,Lug,Umoya,1.0,Positif,Mot,Air
Mutshi,Arbre,TREE,Boom,isihlahla,1.0,Positif,Mot,TREE
Mujiluwamashimakunze,Artère,artery,Slagaar,Umthambo,1.0,Positif,Mot,Artery
MuediMuevu,Barbe,beard,Baard,Intshebe,1.0,Positif,Mot,Beard
Mutshi,Bois,drink,Hout,Izinkuni,1.0,Positif,Mot,Drink
Mukana,Bouche,mouth,Mond,Umlomo,1.0,Positif,Mot,Mouth
Ditamba,Branche,branch,Tak,Igatsha,1.0,Positif,Mot,Branch
Diboko,Bras,arm,Arm,Ingalo,1.0,Positif,Mot,Arm
DitshimaDifuima,Brouillard,fog,Mis,Inkungu,1.0,Positif,Mot,Fog
Bongabwamuntu,Cerveau,brain,Brein,Ubuchopho,1.0,Positif,Mot,Brain
KadilKapia,Chaleur,heat,Hitte,Ukushisa,1.0,Positif,Mot,Heat
Lusukikasuki,Cheveu,hair,Haar,Izinwele,1.0,Positif,Mot,Hair
Kampombekampombo,Cheville,ankle,Enkel,I-ankle,1.0,Positif,Mot,Ankle
Diulu,Ciel,sky,Hemel,Isibhakabhaka,1.0,Positif,Mot,Sky
Lukofi,Cil,eyelash,Wimper,I-Eyelash,1.0,Positif,Mot,Eyelash
Muoyo,Cœur,heart,Hart,Inhliziyo,1.0,Positif,Mot,Heart
MubidiMbidi,Corps,body,Liggaam,Umzimba,1.0,Positif,Mot,Body
LubadiLubaleLubanji,Côte,side,Rib,Ugu,1.0,Positif,Mot,Side
Nshingu,Cou,neck,Nek,Intamo,1.0,Positif,Mot,Neck
Lukenyibu,Coude,elbow,Elmboog,Indololwane,1.0,Positif,Mot,Elbow
DikaluDilangi,Couleur,color,Kleur,Umbala:,1.0,Positif,Mot,Color
TshibalubaluKabalubalu,Crâne,skull,Skedel,Skull,1.0,Positif,Mot,Skull
TshibeluTshioko,Cuisse,thigh,Dybene,Umhlathi,1.0,Positif,Mot,Thigh
Dinu,Dent,tooth,Tand,Amazinyo,1.0,Positif,Mot,Tooth
TshipepeleButoke,Désert,desert,Woestyn,Ugwadule,1.0,Positif,Mot,Desert
Munu,Doigt,finger,Vinger,Umunwe,1.0,Positif,Mot,Finger
Nyima,Dos,back,Rug,Emuva,1.0,Positif,Mot,Back
Maayi,Eau,water,Water,Amanzi,1.0,Positif,Mot,Water
MupenyiMukenya,Eclair,flash,Weerlig,Umbani,1.0,Positif,Mot,Flash
DikayaDipeka,Epaule,shoulder,Skouer,Ihlombe,1.0,Positif,Mot,Shoulder
TshifuTshifue,Estomac,stomach,Maag,Isisu,1.0,Positif,Mot,Stomach
Mutooto,Etoile,star,Ster,Inkanyezi,1.0,Positif,Mot,Star
TshiamuTshifike,Fer,iron,Yster,I-ayini,1.0,Positif,Mot,Iron
DitakuDitengi,Fesse,buttock,Boud,I-Buttock,1.0,Positif,Mot,Buttock
Dibeji,Feuille,leaf,Blaar,Ishidi,1.0,Positif,Mot,Leaf
Tshilongo,Fleur,flower,Blom,Imbali,1.0,Positif,Mot,Flower
Musulu,Fleuve,river,Rivier,Umfula,1.0,Positif,Mot,River
Mutshima,Foie,liver,Lewer,Isibindi,1.0,Positif,Mot,Liver
Ditu,Forêt,forest,Woud,Ihlathi,1.0,Positif,Mot,Forest
Mashika,Froid,cold,Koue,Amakhaza,1.0,Positif,Verbe,Cold
Mpala,Front,forehead,Voorkop,Ingaphambili,1.0,Positif,Mot,Forehead
MuinshiMuishi,Fumée,smoke,Rook,Intuthu,1.0,Positif,Verbe,Smoke
Tshinu,Genou,knee,Knie,Idolo,1.0,Positif,Mot,Knee
MaayiMakuatakaneDibue,Glace,ice,Ys,Iqhwa,1.0,Positif,Mot,Ice
DiminuMuminu,Gorge,throat,Keel,Umphimbo,1.0,Positif,Mot,Throat
Lukundu,Hanche,hip,Heup,I-Hip,1.0,Positif,Mot,Hip
TshisosaTshilu,Herbe,grass,Gras,Utshani,1.0,Positif,Mot,Grass
NkoloTshidilaTshitamba,Île,island,Eiland,Isiqhingi,1.0,Positif,Mot,Island
DitangalalaDiaMaayi,Inondation,flood,Vloed,Izikhukhula,1.0,Positif,Mot,Flood
Dila,Intestin,intestine,Darm,Isisu,1.0,Positif,Mot,Intestine
Mukolo,Jambe,leg,Been,Umlenze,1.0,Positif,Mot,Leg
Ditama,Joue,plays,Wang,Dlala,1.0,Positif,Verbe,Plays
Dijiba,Lac,lake,Meer,Ichibi,1.0,Positif,Mot,Lake
Ludimi,Langue,language,Tong,Ulimi,1.0,Positif,Mot,Language
Tshinsonji,Larme,tear,Skeur,Khala izinyembezi,1.0,Positif,Mot,Tear
Mushiku,Lèvre,lip,Lip,I-Lip,1.0,Positif,Mot,Lip
Munya,Lumière,light,Lig,Ukukhanya,1.0,Positif,Mot,Light
Muenji,Lune,moon,Maan,Inyanga,1.0,Positif,Mot,Moon
Lubanga,Mâchoire,jaw,Kaak,Umhlathi,1.0,Positif,Mot,Jaw
Tshianza,Main,hand,Hand,Okuyinhloko,1.0,Positif,Mot,Hand
Tshibanga,Menton,chin,Ken,I-Chin,1.0,Positif,Mot,Chin
Mbu,Mer,sea,See,NgoLwesithathu,1.0,Positif,Mot,Sea
Buloba,Monde,world,Wêreld,Umhlaba,1.0,Positif,Mot,World
Mukuna,Montagne,mountain,Berg,Intaba,1.0,Positif,Mot,Mountain
Mumpenya,Moustache,mustache,Snor,I-Mustache,1.0,Positif,Mot,Mustache
MusunyiDikoyi,Muscle,muscle,Spier,Umsipha,1.0,Positif,Mot,Muscle
Mumpempe,Narine,nostril,Neusgat,Ikhala,1.0,Positif,Mot,Nostril
Bonga,Nerf,nerve,Senuwee,Inzwa,1.0,Positif,Mot,Nerve
Diulu,Nez,nose,Neus,Ikhala,1.0,Positif,Mot,Nose
Muofo,Motbril,motbril,Naeltjie,I-Motbril,1.0,Positif,Mot,Motbril
Dikoshi,Nuque,neck,Nek,Intamo,1.0,Positif,Mot,Neck
Disu,Œil,eye,Oog,Iso,1.0,Positif,Mot,Eye
Luzadi,Ongle,nail,Nael,Isipikili,1.0,Positif,Mot,Nail
Ditshi,Oreille,ear,Oor,Indlebe,1.0,Positif,Mot,Ear
MuanawaNkasa,Orteil,toe,Toon,Uzwane,1.0,Positif,Mot,Toe
Mufuba,Os,bone,Been,OS:,1.0,Positif,Mot,Bone
Tshilafinye,Paupière,eyelid,Ooglid,Ijwabu leso,1.0,Positif,Mot,Eyelid
Dikoba,Peau,skin,Vel,Isikhumba,1.0,Positif,Mot,Skin
Dikasa,Pied,foot,Voet,Unyawo,1.0,Positif,Mot,Foot
Nshinguwadiboko,Poignet,wrist,Pols,Isihlakala,1.0,Positif,Mot,Wrist
Dinkomo,Poing,fist,Vuis,Isibhakela,1.0,Positif,Mot,Fist
Tshiadi,Poitrine,chest,Borskas,Isifuba,1.0,Positif,Mot,Chest
Tshiala,Pouce,thumb,Duim,Inch,1.0,Positif,Mot,Thumb
Mujiluudiutaka,pouls,pulse,Pols,ukushaya komthambo,1.0,Positif,Mot,pulse
Tshisulusulu,Poumon,lung,Long,Amaphaphu,1.0,Positif,Mot,Lung
LupuishiLusoka,Poussière,dust,Stof,Uthuli,1.0,Positif,Mot,Dust
KonyiKamuma,Rein,kidney,Nier,Izinso,1.0,Positif,Mot,Kidney
MunyenguMufudi,Ride,wrinkled,Rimpel,Ukugibela,1.0,Positif,Mot,Wrinkled
LuteMate,Salive,saliva,Speeksel,Amathe,1.0,Positif,Mot,Saliva
Mashi,Sang,blood,Bloed,Igazi,1.0,Positif,Mot,Blood
Dibele,Sein,breast,Bors,Ibele,1.0,Positif,Mot,Breast
Dikiki,Sourcil,eyebrow,Wenkbrou,I-Eyebrow,1.0,Positif,Mot,Eyebrow
BikoyikoyiMifuba,Squelette,skeleton,Skelet,I-skeleton,1.0,Positif,Mot,Skeleton
Tshisululu,Sueur,sweat,Sweet,Umjuluko,1.0,Positif,Mot,Sweat
Tshikankanya,Talon,heel,Hak,Isithende,1.0,Positif,Mot,Heel
Mujilu,Veine,vein,Aar,I-Vein,1.0,Positif,Mot,Vein
Difu,Ventre,belly,Maag,Isisu,1.0,Positif,Mot,Belly
Mpala,Visage,face,Gesig,Ubuso,1.0,Positif,Mot,Face
kapepelelupepele,Air,air,Lug,Umoya,1.0,Positif,Mot,Air
Mutshi,Arbre,TREE,Boom,isihlahla,1.0,Positif,Mot,TREE
Mujiluwamashimakunze,Artère,artery,Slagaar,Umthambo,1.0,Positif,Mot,Artery
MuediMuevu,Barbe,beard,Baard,Intshebe,1.0,Positif,Mot,Beard
Mutshi,Bois,drink,Hout,Izinkuni,1.0,Positif,Mot,Drink
Mukana,Bouche,mouth,Mond,Umlomo,1.0,Positif,Mot,Mouth
Ditamba,Branche,branch,Tak,Igatsha,1.0,Positif,Mot,Branch
Diboko,Bras,arm,Arm,Ingalo,1.0,Positif,Mot,Arm
DitshimaDifuima,Brouillard,fog,Mis,Inkungu,1.0,Positif,Mot,Fog
Bongabwamuntu,Cerveau,brain,Brein,Ubuchopho,1.0,Positif,Mot,Brain
KadilKapia,Chaleur,heat,Hitte,Ukushisa,1.0,Positif,Mot,Heat
Lusukikasuki,Cheveu,hair,Haar,Izinwele,1.0,Positif,Mot,Hair
Kampombekampombo,Cheville,ankle,Enkel,I-ankle,1.0,Positif,Mot,Ankle
Diulu,Ciel,sky,Lug,Isibhakabhaka,1.0,Positif,Mot,Sky
Lukofi,Cil,eyelash,Wimper,I-Eyelash,1.0,Positif,Mot,Eyelash
Muoyo,Cœur,heart,Hart,Inhliziyo,1.0,Positif,Mot,Heart
MubidiMbidi,Corps,body,Liggaam,Umzimba,1.0,Positif,Mot,Body
LubadiLubaleLubanji,Côte,side,Rib,Ugu,1.0,Positif,Mot,Side
Nshingu,Cou,neck,Nek,Intamo,1.0,Positif,Mot,Neck
Lukenyibu,Coude,elbow,Elmboog,Indololwane,1.0,Positif,Mot,Elbow
DikaluDilangi,Couleur,color,Kleur,Umbala:,1.0,Positif,Mot,Color
TshibalubaluKabalubalu,Crâne,skull,Skedel,Skull,1.0,Positif,Mot,Skull
TshibeluTshioko,Cuisse,thigh,Dybene,Umhlathi,1.0,Positif,Mot,Thigh
Dinu,Dent,tooth,Tand,Amazinyo,1.0,Positif,Mot,Tooth
TshipepeleButoke,Désert,desert,Woestyn,Ugwadule,1.0,Positif,Mot,Desert
Munu,Doigt,finger,Vinger,Umunwe,1.0,Positif,Mot,Finger
Nyima,Dos,back,Rug,Emuva,1.0,Positif,Mot,Back
Maayi,Eau,water,Water,Amanzi,1.0,Positif,Mot,Water
MupenyiMukenya,Eclair,flash,Weerlig,Umbani,1.0,Positif,Mot,Flash
DikayaDipeka,Epaule,shoulder,Skouer,Ihlombe,1.0,Positif,Mot,Shoulder
TshifuTshifue,Estomac,stomach,Maag,Isisu,1.0,Positif,Mot,Stomach
Mutooto,Etoile,star,Ster,Inkanyezi,1.0,Positif,Mot,Star
TshiamuTshifike,Fer,iron,Yster,I-ayini,1.0,Positif,Mot,Iron
DitakuDitengi,Fesse,buttock,Boud,I-Buttock,1.0,Positif,Mot,Buttock
Dibeji,Feuille,leaf,Blaar,Ishidi,1.0,Positif,Mot,Leaf
Tshilongo,Fleur,flower,Blom,Imbali,1.0,Positif,Mot,Flower
Musulu,Fleuve,river,Rivier,Umfula,1.0,Positif,Mot,River
Mutshima,Foie,liver,Lewer,Isibindi,1.0,Positif,Mot,Liver
Ditu,Forêt,forest,Woud,Ihlathi,1.0,Positif,Mot,Forest
Mashika,Froid,cold,Koue,Amakhaza,1.0,Positif,Mot,Cold
Mpala,Front,forehead,Voorkop,Ingaphambili,1.0,Positif,Mot,Forehead
MuinshiMuishi,Fumée,smoke,Rook,Intuthu,1.0,Positif,Mot,Smoke
Tshinu,Genou,knee,Knie,Idolo,1.0,Positif,Mot,Knee
MaayiMakuatakaneDibue,Glace,ice,Ys,Iqhwa,1.0,Positif,Mot,Ice
DiminuMuminu,Gorge,throat,Keel,Umphimbo,1.0,Positif,Mot,Throat
Lukundu,Hanche,hip,Heup,I-Hip,1.0,Positif,Mot,Hip
TshisosaTshilu,Herbe,grass,Gras,Utshani,1.0,Positif,Mot,Grass
NkoloTshidilaTshitamba,Île,island,Eiland,Isiqhingi,1.0,Positif,Mot,Island
DitangalalaDiaMaayi,Inondation,flood,Vloed,Izikhukhula,1.0,Positif,Mot,Flood
Dila,Intestin,intestine,Darm,Isisu,1.0,Positif,Mot,Intestine
Mukolo,Jambe,leg,Been,Umlenze,1.0,Positif,Mot,Leg
Ditama,Joue,plays,Wang,Dlala,1.0,Positif,Mot,Plays
Dijiba,Lac,lake,Meer,Ichibi,1.0,Positif,Mot,Lake
Ludimi,Langue,language,Tong,Ulimi,1.0,Positif,Mot,Language
Tshinsonji,Larme,tear,Skeur,Khala izinyembezi,1.0,Positif,Mot,Tear
Mushiku,Lèvre,lip,Lip,I-Lip,1.0,Positif,Mot,Lip
Munya,Lumière,light,Lig,Ukukhanya,1.0,Positif,Mot,Light
Muenji,Lune,moon,Maan,Inyanga,1.0,Positif,Mot,Moon
Lubanga,Mâchoire,jaw,Kaak,Umhlathi,3.0,Positif,Mot,Jaw
Tshianza,Main,hand,Hand,Okuyinhloko,3.0,Positif,Mot,Hand
Tshibanga,Menton,chin,Ken,I-Chin,3.0,Positif,Mot,Chin
Mbu,Mer,sea,See,NgoLwesithathu,3.0,Positif,Mot,Sea
Buloba,Monde,world,Wêreld,Umhlaba,3.0,Positif,Mot,World
Mukuna,Montagne,mountain,Berg,Intaba,3.0,Positif,Mot,Mountain
Mumpenya,Moustache,mustache,Snor,I-Mustache,3.0,Positif,Mot,Mustache
MusunyiDikoyi,Muscle,muscle,Spier,Umsipha,3.0,Positif,Mot,Muscle
Mumpempe,Narine,nostril,Neusgat e,Ikhala,3.0,Positif,Mot,Nostril
Bonga,Nerf,nerve,Senuwee,Inzwa,3.0,Positif,Mot,Nerve
Diulu,Nez,nose,Neus,Ikhala,3.0,Positif,Mot,Nose
Muofo,Motbril,motbril,Motorbril,I-Motbril,3.0,Positif,Mot,Motbril
Dikoshi,Nuque,neck,Nek,Intamo,3.0,Positif,Mot,Neck
Disu,Œil,eye,Oog,Iso,3.0,Positif,Mot,Eye
Luzadi,Ongle,nail,Nael,Isipikili,3.0,Positif,Mot,Nail
Ditshi,Oreille,ear,Oor,Indlebe,3.0,Positif,Mot,Ear
MuanawaNkasa,Orteil,toe,Toon,Uzwane,3.0,Positif,Mot,Toe
Mufuba,Os,bone,Been,OS:,3.0,Positif,Mot,Bone
Tshilafinye,Paupière,eyelid,Ooglid,Ijwabu leso,3.0,Positif,Mot,Eyelid
Dikoba,Peau,skin,Vel,Isikhumba,3.0,Positif,Mot,Skin
Dikasa,Pied,foot,Voet,Unyawo,3.0,Positif,Mot,Foot
Nshinguwadiboko,Poignet,wrist,Pols,Isihlakala,3.0,Positif,Mot,Wrist
Dinkomo,Poing,fist,Vuis,Isibhakela,3.0,Positif,Mot,Fist
Tshiadi,Poitrine,chest,Borskas,Isifuba,3.0,Positif,Mot,Chest
Tshiala,Pouce,thumb,Duim,Inch,3.0,Positif,Mot,Thumb
Mujiluudiutaka,pouls,pulse,Pols,ukushaya komthambo,3.0,Positif,Mot,pulse
Tshisulusulu,Poumon,lung,Long,Amaphaphu,3.0,Positif,Mot,Lung
LupuishiLusoka,Poussière,dust,Stof,Uthuli,3.0,Positif,Mot,Dust
KonyiKamuma,Rein,kidney,Nier,Izinso,3.0,Positif,Mot,Kidney
MunyenguMufudi,Ride,wrinkled,Rimpel,Ukugibela,3.0,Positif,Mot,Wrinkled
LuteMate,Salive,saliva,Speeksel,Amathe,3.0,Positif,Mot,Saliva
Mashi,Sang,blood,Bloed,Igazi,3.0,Positif,Mot,Blood
Dibele,Sein,breast,Borskas,Ibele,3.0,Positif,Mot,Breast
Dikiki,Sourcil,eyebrow,Wenkbrou,I-Eyebrow,3.0,Positif,Mot,Eyebrow
BikoyikoyiMifuba,Squelette,skeleton,Skelet,I-skeleton,3.0,Positif,Mot,Skeleton
Tshisululu,Sueur,sweat,Sweet,Umjuluko,3.0,Positif,Mot,Sweat
Tshikankanya,Talon,heel,Hakskeen,Isithende,3.0,Positif,Mot,Heel
Mujilu,Veine,vein,Aar,I-Vein,3.0,Positif,Mot,Vein
Difu,Ventre,belly,Maag,Isisu,3.0,Positif,Mot,Belly
Mpala,Visage,face,Gesig,Ubuso,3.0,Positif,Mot,Face
Muji,Racine,root,Wortel,Impande,3.0,Positif,Mot,Root
kuya,partir,leave,verlaat,ukuhamba,3.0,Positif,Verbe,leave
kuja,danser,to dance,dans,ukudansa,3.0,Positif,Verbe,to dance
kuenda,marcher,to walk,loop,ukuhamba ngezinyawo,3.0,Positif,Verbe,to walk
kumuana,voir,see,sien,buka,3.0,Positif,Verbe,see
kuelameji,penser,think,dink,cabanga,3.0,Positif,Verbe,think
