CILUBA,French,Afrikaans,Score,Sentiment,Nature,English_Translation
Kukuata,tenir,hou vas,1.0,Positif,Verbe,hold
Nkosthi,veste,baadjie,1.0,Positif,Mot,jacket
Mutelu,chemise,hemp,1.0,Positif,Mot,shirt
Nkanzu,robe,rok,1.0,Positif,Mot,dress
Bimuma,fruits,vrugte,1.0,Positif,Mot,fruits
Mbota,bouton,knoop,1.0,Positif,Mot,button
Disu,oeil,oog,1.0,Positif,Mot,eye
Matshi,oreille,oor,1.0,Positif,Mot,ear
Diulu,nez,neus,1.0,Positif,Mot,nose
Tshifulu,chapeau,hoed,1.0,Positif,Mot,hat
Kuenda,marcher,loop,1.0,Positif,Verbe,to walk
Nshingu,cou,nek,1.0,Positif,Mot,neck
Mikolu,jambes,bene,1.0,Positif,Mot,legs
Nzadi,ongle,nael,1.0,Positif,Mot,nail
Kumusha,enlever,neem af,1.0,Positif,Verbe,to remove
tshivunga,jupons,onderrokke,1.0,Positif,Mot,petticoats
nzala,famine,hongersnood,1.0,Positif,Mot,famine
kumuana,Voir,Sien,1.0,Positif,Verbe,See
kunyema,Fuir,Vlug,1.0,Positif,Verbe,Flee
kunaya,Jouer,Speel,1.0,Positif,Verbe,Play
kuhotela,Importuner,Irriteer,-5.0,Negatif,Verbe,To bother
tshisanji,Radio,Radio,3.0,Positif,Mot,Radio
mukaji,Femme,Vrou,3.0,Positif,Mot,Women
buimpa,Beauté,Skoonheid,3.0,Positif,Mot,Beauty
ndundu,Ballon,Bal,3.0,Positif,Mot,Ball
bulaba,Terre,Aarde,3.0,Positif,Mot,Earth
duilu,Ciel,Hemel,3.0,Positif,Mot,Sky
dibua,Pierre,Klip,3.0,Positif,Mot,Rock
tshinkeunda,Papayer,Papajaboom,3.0,Positif,Verbe,Papaya
tshiadi,Poitrine,Bors,3.0,Positif,Mot,Chest
tshilama,Pagne,Lendedoek,3.0,Positif,Mot,loincloth
dikohu,Gobelet,Beker,3.0,Positif,Mot,Cup
bisabata,Chaussure,Skoen,3.0,Positif,Mot,Shoe
tshibuta,Malette,Aktetas,3.0,Positif,Mot,Briefcase
muhanu,Pantalon,Broek,3.0,Positif,Mot,Pants
mutelu,Chemise,Hemp,3.0,Positif,Mot,Shirt
nzala,Famine,Hongersnood,-7.0,Negatif,Mot,Famine
nkuasa,Chaise,Stoel,2.0,Positif,Mot,Chair
bula,Lit,Bed,2.0,Positif,Mot,Bed
tshimfuanyi,Visage,Gesig,2.0,Positif,Mot,Face
malata,Tôles,Plaatmetaal,2.0,Positif,Mot,Sheet metal
bukula,Farine,Meel,2.0,Positif,Mot,Flour
mucima,Foie,Lewer,2.0,Positif,Mot,Liver
ditabuja,Foi,Geloof,2.0,Positif,Mot,Faith
musangu,Fois,Tye,2.0,Positif,Mot,Times
musambu,Chanson,Lied,2.0,Positif,Mot,Song
lubalenga,Rate,Milt,2.0,Positif,Mot,Missed
moyi,Cœur,Hart,2.0,Positif,Mot,Heart
buloji,Sorcellerie,Heksery,-5.0,Negatif,Mot,Witchcraft
Oiseau=nyunyi,Oiseau,Voël,6.0,Positif,Mot,Bird
nkosa,Souris,Muis,-2.0,Negatif,Mot,Mouse
nyama,Animaux,Diere,1.0,Positif,Mot,Animals
dihota,Bêtise,Domheid,1.0,Positif,Mot,Stupidity
kabonkoshi,Crane,Skedel,1.0,Positif,Mot,Skull
kulala,Dormir,Slaap,1.0,Positif,Mot,Sleep
tshikolowu,Torchon,Skottel,1.0,Positif,Mot,Dishcloth
mutshi,Plante,Plant,1.0,Positif,Mot,Plant
mbindi,Corps,Liggaam,1.0,Positif,Mot,Body
nzembua,Courant,Hardloop,1.0,Positif,Mot,Fluent
ngumu,Information,Inligting,1.0,Positif,Mot,Information
kuakula,Parler,Praat,1.0,Positif,Verbe,Talk
kudia,Manger,Eet,1.0,Positif,Verbe,Eat
kuvila,Nier,Ontken,1.0,Positif,Verbe,Deny
maja,Danse,Dans,1.0,Positif,Verbe,Dance
kutuadija,Désormais,Van Nou Af,1.0,Positif,Mot,From now on
bulongama,Ordre,Bestel,1.0,Positif,Mot,Order
tshitalu,Cadavre,Lyk,-7.0,Negatif,Mot,Corpse
lufu,Mort,Dood,-9.0,Negatif,Mot,Dead
nzambi,Dieu,God,9.0,Positif,Mot,God
musalayi,Militaire,Militêr,-2.0,Negatif,Mot,Military
pulushi,Policier,Polisieman,-1.0,Negatif,Mot,Police officer
kukumbaja,Ajouter,Voeg by,3.0,Positif,Verbe,Add
muloji,Sorcier,Towenaar,-7.0,Negatif,Mot,Wizard
mianda,Histoire,Storie,4.0,Positif,Mot,History
kuleja,Montrer,Wys,4.0,Positif,Mot,To show
bindidimbi,Image,Beeld,4.0,Positif,Mot,Picture
ndumba,Pute,Hoer,4.0,Positif,Mot,Whore
nzubu,Maison,Huis,4.0,Positif,Mot,Home
kulama,Protéger,Beskerm,4.0,Positif,Verbe,Protect
nsentedi,Sentinelle,Sen tinelle,4.0,Positif,Mot,Sentinel
nyoka,Serpent,Slang,-5.0,Negatif,Mot,Snake
bualu,Probleme,Probleem,3.0,Positif,Mot,Issue
mudimu,Travail,Werk,3.0,Positif,Mot,Work
munyinyi,Viande,Vleis,3.0,Positif,Mot,Meat
tshito,Plâtre,Pleister,3.0,Positif,Mot,Plaster
mputa,Plaie,Wond,3.0,Positif,Mot,Wound
tshimanu,Mur,Muur,3.0,Positif,Mot,Wall
tshingoma,Arme,Wapen,-3.0,Negatif,Mot,Armed
kulekela,Laisser,Los,5.0,Positif,Mot,To leave
kuehuka,Eviter,Vermy,5.0,Positif,Mot,Avoid
muinshi,Pilon,Stamper,5.0,Positif,Mot,Pestle
muhanji,Malaxeur,Menger,5.0,Positif,Mot,Mixer
tshinu,Mortier,Mortier,5.0,Positif,Mot,Mortar
mpuku,Rat,Rot,5.0,Positif,Mot,Rat
mbindi,Corps,Liggaam,5.0,Positif,Mot,Body
luhangu,Parcelle,Plot,5.0,Positif,Mot,Plot
lubilu,Vitesse,Spoed,5.0,Positif,Mot,Speed
tshibi,Porte,Deur,5.0,Positif,Mot,Door
disu,Œil,Oog,5.0,Positif,Mot,Eye
ditshi,Oreille,Oor,5.0,Positif,Mot,Ear
dinanga,Amour,Liefde,5.0,Positif,Mot,Love
mukanda,Livre,Boek,5.0,Positif,Mot,Book
mutshi,Arbre,Boom,5.0,Positif,Mot,TREE
bukondo,Filet,Net,5.0,Positif,Mot,Net
bisonsa,Herbes,Kruie,5.0,Positif,Mot,Herbs
mukidi,Canal,Kanaal,5.0,Positif,Mot,Channel
katumba,Tracteur,Trekker,5.0,Positif,Mot,Tractor
mateta,Examen,Ondersoek,5.0,Positif,Mot,Exam
lukombo,Balais,Besems,5.0,Positif,Mot,Brooms
lumbombo,Hypocrisie,Skeugeligheid,-6.0,Negatif,Mot,Hypocrisy
Akula,parle,praat,2.0,Positif,Verbe,speak
Akulula,reparler,praat weer,2.0,Positif,Verbe,speak again
Akaja,Arranger,Rangskik,2.0,Positif,Verbe,Arrange
Akajulula,réarranger,herrangskik,2.0,Positif,Verbe,rearrange
Ambulula,répète,herhaal,2.0,Positif,Verbe,repeated
Aluja,remet,sit terug,2.0,Positif,Verbe,puts
Alujulula,réremettre,sit weer,2.0,Positif,Verbe,hand over
Andamuna,repond,antwoorde,2.0,Positif,Verbe,answers
Ambuluja,dépêcher,maak gou,2.0,Positif,Verbe,dispatch
Amba:dire,dire,sê,2.0,Positif,Verbe,say
Ambulula,répéter,herhaal,2.0,Positif,Verbe,repeat
Angula,ramasser,tel op,2.0,Positif,Verbe,pick up
Angulula,reramasse,tel weer op,2.0,Positif,Verbe,pick up
Ambakaja,superposer,superponeer,2.0,Positif,Verbe,layer
Andamuna,répondre,antwoord,2.0,Positif,Verbe,answer
Angata,prend,neem,2.0,Positif,Verbe,takes
Bukenka,lumière,lig,2.0,Positif,Verbe,light
Bikasa,cérémoniecoutumière,gebruiklike seremonie,2.0,Positif,Mot,customary ceremony
Buloba,terre,aarde,2.0,Positif,Mot,earth
Binsonji,leslarmes,die trane,2.0,Positif,Mot,tears
Bilela,jeu,spel,2.0,Positif,Mot,game
Bilamba,habits,klere,2.0,Positif,Mot,clothes
Biluatu,vêtements,klere,2.0,Positif,Mot,clothes
Busuyi,Caboche,Knap,2.0,Positif,Mot,Caboche
Bufuki,créature,wese,2.0,Positif,Mot,creature
Biunvuidi,écouteurs,oorfone,2.0,Positif,Mot,headphones
Biuma,dote,bruidskat,2.0,Positif,Mot,dowry
Binvundu,désordres,gemors,-8.0,Negatif,Mot,disorders
Bilongu,fleurs,blomme,6.0,Positif,Mot,flowers
Bunia,plier,vou,6.0,Positif,Verbe,bend
Bulela,connaissance,kennis,6.0,Positif,Mot,awareness
Bujitu,poind,gewig,6.0,Positif,Mot,weight
Bunsantu,sainteté,heiligheid,6.0,Positif,Mot,holiness
Busenji,imbécillité,onbevoegdheid,-3.0,Negatif,Mot,imbecility
Bantu,lesgens,mense,4.0,Positif,Mot,people
Bansantu,lessaints,heiliges,4.0,Positif,Mot,the trials
Banjelu,lesanges,engele,4.0,Positif,Mot,angels
Buinvi,levol,diefstal,-7.0,Negatif,Mot,levol
Buikila,ferme,plaas,-5.0,Negatif,Mot,farm
Butaka,sexe,seks,3.0,Positif,Mot,sex
Bualu,lit,bed,3.0,Positif,Mot,bed
Bufuka,fertile,vrugbaar,3.0,Positif,Mot,fertile
Bueja,entre,tussen,3.0,Positif,Mot,between
Buatu,bateau,boot,3.0,Positif,Mot,boat
Benga,réfut,weerlegging,3.0,Positif,Mot,refutation
Bukula,farine,meel,3.0,Positif,Mot,flour
Busa,l'oseille,suring,3.0,Positif,Mot,sorrel
Bundu,honte,skaamte,-7.0,Negatif,Mot,shame
Bintu,choses,dinge,3.0,Positif,Mot,things
Bilela,blague,grap,3.0,Positif,Mot,joke
Bînenka,trèsbien,baie goed,3.0,Positif,Mot,Alright
Dîku,famille,familie,3.0,Positif,Mot,family
Bidia,foufou,mal,3.0,Positif,Mot,crazy
Dikalu,vélo,fiets,3.0,Positif,Mot,bike
Dikasa,pied,stap,3.0,Positif,Mot,foot
Disambila,prière,gebed,3.0,Positif,Mot,prayer
Dikumi,dix,tien,3.0,Positif,Mot,ten
Difu,ventre,maag,3.0,Positif,Mot,belly
Diakalenga,bonheur,geluk,3.0,Positif,Mot,happiness
Dîkisha,repot,pot,3.0,Positif,Mot,repot
Dikumbi,parapluie,sambreel,3.0,Positif,Mot,umbrella
Dindila,attente,wag,3.0,Positif,Mot,waiting
Disoso,trou,gat,3.0,Positif,Mot,hole
Dikela,petittrou,klein gaatjie,3.0,Positif,Mot,smallhole
Dilongu,casserole,kastrol,3.0,Positif,Mot,pan
Ditalaji,l'ombrage,skaduwee,3.0,Positif,Mot,the shade
Diata,piétiner,vertrap,3.0,Positif,Mot,trample
Dienzejibua,obligation,verpligting,3.0,Positif,Mot,obligation
Diandamuna,réponse,antwoord,3.0,Positif,Mot,answer
Dikokesha,gouverner,g regeer,3.0,Positif,Verbe,govern
Diobesha,marquer,merk,3.0,Positif,Verbe,mark
Dituntumuna,transporter,dra,3.0,Positif,Verbe,carry
Diambuluisha,aider,help,3.0,Positif,Verbe,help
Dibandishibua,élever,verhoog,3.0,Positif,Verbe,raise
Dibanjija,dédicacé,toegewy,3.0,Positif,Mot,dedication
Dilombodibua,êtreconduit,gelei word,3.0,Positif,Mot,be driven
Dipangadika,décision,besluit,3.0,Positif,Mot,decision
Didisuila,publier,publiseer,3.0,Positif,Verbe,publish
Disama,maladie,siekte,3.0,Positif,Mot,disease
Diepuka,dévier,afwyk,3.0,Positif,Verbe,deviate
Dielakana,confondre,verwar,3.0,Positif,Verbe,to confuse
Dialakana,envier,afguns,3.0,Positif,Verbe,envy
Dîtu,forêt,bos,3.0,Positif,Mot,forest
Ebeja,demander,vra,3.0,Positif,Verbe,ask
Elela,mettre,sit,3.0,Positif,Verbe,put
Elesha,mettredansunechose,sit iets in,3.0,Positif,Verbe,put in something
Enzela,faire,doen,3.0,Positif,Verbe,TO DO
Enzulula,refaire,oordoen,3.0,Positif,Verbe,redo
Enda,marche,loop,3.0,Positif,Verbe,walk
Endulula,remarche,loop weer,3.0,Positif,Verbe,walks
Eku,ici,hier,3.0,Positif,Mot,here
Enda,marcher,loop,3.0,Positif,Verbe,to walk
Funda,écrire,skryf,3.0,Positif,Verbe,to write
Fundulula,réécrire,herskryf,3.0,Positif,Verbe,rewrite
Fimbu,foué,mal,3.0,Positif,Mot,crazy
Ikila,causer,want,3.0,Positif,Verbe,cause
Indila,attend,wag,3.0,Positif,Verbe,wait
Ikala,soit,wees,0.0,Neutre,Verbe,either
Kasuyi,haché,gekap,3.0,Positif,Mot,ax
Kela,couto,couto,3.0,Positif,Mot,couto
Kalalu,berceau,wieg,3.0,Positif,Mot,cradle
Kalulu,lapin,haas,3.0,Positif,Mot,rabbit
Kawundu,eguille,naald,3.0,Positif,Mot,needle
Kenga,souffres,ly,3.0,Positif,Mot,suffer
Kanga,ferme,ferm,3.0,Positif,Mot,farm
Konga,s'informer,navraag doen,3.0,Positif,Verbe,to find out
Kupuekela,abaissement,vernedering,3.0,Positif,Mot,lowering
Kulekela,abandon,verlating,3.0,Positif,Mot,abandon
Mukumike,abattu,geslag,3.0,Positif,Mot,shot
Mudishikamine,affranchi,geëmansipeer,3.0,Positif,Mot,freedman
Muenatshinyangu,abominable,afskuwelik,3.0,Positif,Mot,abominable
Bidia,agapes,fees,3.0,Positif,Mot,feast
Kujimija,abolition,afskaffing,3.0,Positif,Mot,abolition
Tshiakanetshiditshianyisha,agreeable,aangenaam,3.0,Positif,Mot,agreeable
Tshiabuny,abondamment,oorvloedig,3.0,Positif,Mot,abundantly
Bidimu,age,ouderdom,3.0,Positif,Mot,age
Kuvula,abondance,oorvloed,3.0,Positif,Mot,abundance
Dieba,aiguillon,angel,3.0,Positif,Mot,sting
Kumusha,abrogation,herroeping,3.0,Positif,Mot,repeal
Mapuapua,aile,vlerk,3.0,Positif,Mot,wing
Dipumbishibua,absence,afwesigheid,3.0,Positif,Mot,absence
Kukuabu,ailleurs,elders,3.0,Positif,Mot,elsewhere
Bululu,absinthe,als,3.0,Positif,Mot,absinthe
Tshimuenenu,airapparencevisuel,lugvoorkomsvisueel,3.0,Positif,Mot,visual appearance
Menemene,absolument,absoluut,3.0,Positif,Mot,absolutely
Tshituilu,aire,gebied,3.0,Positif,Mot,area
Tshiakuitaba,acceptable,aanvaarbaar,3.0,Positif,Mot,acceptable
Butalale,aise,gemak,3.0,Positif,Mot,easy
Tshibueledi,accès,toegang,3.0,Positif,Mot,access
Mupepele,aisé,maklik,3.0,Positif,Mot,easy
Kudiunda,accroissement,toename,3.0,Positif,Mot,increase
Tshiakudia,aliment,voedsel,3.0,Positif,Mot,food
Dikumbana,accomplissement,prestasie,3.0,Positif,Mot,accomplishment
Mifuanu,allégorique,allegories,3.0,Positif,Mot,allegorical
Diyidimue,accord,ooreenkoms,3.0,Positif,Mot,agreement
Disanka,allégresse,vreugde,3.0,Positif,Mot,joy
Mubandi,accusateur,aanklaer,3.0,Positif,Mot,accuser
Tshipungidi,alliance,alliansie,3.0,Positif,Mot,alliance
Bubandi,accusation,beskuldiging,3.0,Positif,Mot,charge
Bulopo,ambassade,ambassade,3.0,Positif,Mot,embassy
Dipeta,acquisition,verkryging,3.0,Positif,Mot,acquisition
Bulunda,amitié,vriendskap,3.0,Positif,Mot,friendship
Tshienzedi,action,aksie,3.0,Positif,Mot,action
Bikole,amèrement,bitterlik,3.0,Positif,Mot,bitterly
Disuminyina,activité,aktiwiteit,3.0,Positif,Mot,activity
Tshidimu,an,jaar,3.0,Positif,Mot,year
Muenamudimu,administrateur,administrateur,3.0,Positif,Mot,administrator
Mulawu,anathème,anathema,3.0,Positif,Mot,anathema
Kudimusha,admonestation,vermaning,3.0,Positif,Mot,admonition
Nkambua,ancêtre,voorouer,3.0,Positif,Mot,ancestor
Dipiana,adoption,aanneming,3.0,Positif,Mot,adoption
Dikenga,angoisse,angs,3.0,Positif,Mot,anguish
Mukukuidi,adorateur,aanbidder,3.0,Positif,Mot,worshipper
Dimueneka,apparition,verskyning,3.0,Positif,Mot,appearance
Masandi,adultère,egbreuk,-5.0,Negatif,Mot,adultery
Dibikila,appel,roep,1.0,Positif,Mot,call
Muenalukuna,adversaire,teenstander,-1.0,Negatif,Mot,opponent
Dibikidibua,vocation,roeping,1.0,Positif,Mot,vocation
Nsangilu,assemblée,vergadering,1.0,Positif,Mot,assembly
Musoko,bourgeoise,bourgeois,1.0,Positif,Mot,bourgeois
Tshibombu,bourse,beursie,1.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,1.0,Positif,Mot,branch
Mutoyi,bruit,geraas,1.0,Positif,Mot,noise
Tshikutu,buisson,bos,1.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,1.0,Positif,Mot,drinker
Ditalala,calme,kalmte,1.0,Positif,Mot,calm
Musonguedianganyi,calomniateur,lasteraar,-7.0,Negatif,Mot,slanderer
Tshitudilu,camp,kamp,5.0,Positif,Mot,camp
Kapita,capitaine,kaptein,5.0,Positif,Mot,captain
Mupika,captif,gevangene,5.0,Positif,Mot,captive
Lukanu,captivité,gevangenskap,5.0,Positif,Mot,captivity
Carrefour,masangu,masangu,5.0,Positif,Mot,masangu
Bukole,ardeur,ywer,5.0,Positif,Mot,ardor
Tshimuenenu,aspect,aspek,5.0,Positif,Mot,appearance
Mushipianganyi,assassin,sluipmoordenaar,-3.0,Negatif,Mot,assassin
Mikalu,borne,grens,1.0,Positif,Mot,terminal
Musoko,bourgeoise,bourgeois,1.0,Positif,Mot,bourgeois
Tshibombu,bourse,beursie,1.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,1.0,Positif,Mot,branch
Mutoyi,bruit,geraas,1.0,Positif,Mot,noise
Tshikutu,buisson,bos,1.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,1.0,Positif,Mot,drinker
Ditalala,calme,kalm,1.0,Positif,Mot,calm
Musonguedianganyi,calomniateur,lasteraar,-3.0,Negatif,Mot,slanderer
Tshitudilu,camp,kamp,2.0,Positif,Mot,camp
Kapita,capitaine,kaptein,2.0,Positif,Mot,captain
Mupika,captif,gevangene,2.0,Positif,Mot,captive
Tshibombu,bourse,beursie,2.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,2.0,Positif,Mot,branch
Mutoyi,bruit,geraas,2.0,Positif,Mot,noise
Tshikutu,buisson,bos,2.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,2.0,Positif,Mot,drinker
Ditalala,calme,kalm,2.0,Positif,Mot,calm
Kapita,capitaine,kaptein,2.0,Positif,Mot,captain
Bukole,ardeur,ywer,2.0,Positif,Mot,ardor
Tshimuenenu,aspect,aspek,2.0,Positif,Mot,appearance
Mushipianganyi,assassin,sluipmoordenaar,2.0,Positif,Mot,assassin
Dikima,assurance,versekering,2.0,Positif,Mot,insurance
Kuindila,attente,wag,2.0,Positif,Mot,waiting
Ntema,attention,aandag,2.0,Positif,Mot,attention
Dikamakama,audace,vermetelheid,4.0,Positif,Mot,audacity
Munvui,auditeur,luisteraar,4.0,Positif,Mot,listener
Mushipu,automne,herfs,4.0,Positif,Mot,autumn
Bukokeshi,autorité,gesag,4.0,Positif,Mot,authority
Didiundisha,avancement,bevordering,4.0,Positif,Mot,advancement
Ditamba,avantage,voordeel,4.0,Positif,Mot,advantage
Lukuka,Lukuka:avare,Lukuka: vrek,4.0,Positif,Mot,Lukuka:stingy
Tshipiminu,balance,balans,4.0,Positif,Mot,balance
Tshilulu,bande,band,4.0,Positif,Mot,band
Mikalu,borne,grens,4.0,Positif,Mot,terminal
Musoko,bourgeoise,bourgeois,4.0,Positif,Mot,bourgeois
Tshibombu,bourse,beursie,4.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,4.0,Positif,Mot,branch
Mutoyi,bruit,geraas,4.0,Positif,Mot,noise
Tshikutu,buisson,bos,4.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,4.0,Positif,Mot,drinker
Ditalala,calme,kalm,4.0,Positif,Mot,calm
Musonguedianganyi,calomniateur,lasteraar,-3.0,Negatif,Mot,slanderer
Tshitudilu,camp,kamp,1.0,Positif,Mot,camp
Kapita,capitaine,kaptein,1.0,Positif,Mot,captain
Mupika,captif,gevange,-3.0,Negatif,Mot,captive
Lukanu,captivité,gevangenskap,-7.0,Negatif,Mot,captivity
Carrefour,masangu,masangu,2.0,Positif,Mot,masangu
Bukole,ardeur,ywer,2.0,Positif,Mot,ardor
Tshimuenenu,aspect,aspek,1.0,Positif,Mot,appearance
Mushipianganyi,assassin,sluipmoordenaar,-9.0,Negatif,Mot,assassin
Mikalu,borne,grens,4.0,Positif,Mot,terminal
Musoko,bourgeoise,bourgeois,4.0,Positif,Mot,bourgeois
Tshibombu,bourse,beursie,4.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,4.0,Positif,Mot,branch
Mutoyi,bruit,geraas,4.0,Positif,Mot,noise
Tshikutu,buisson,bos,4.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,4.0,Positif,Mot,drinker
Ditalala,calme,kalm,4.0,Positif,Mot,calm
Carrefour,masangu,masangu,1.0,Positif,Mot,masangu
Bukole,ardeur,ywer,1.0,Positif,Mot,ardor
Tshimuenenu,aspect,aspek,1.0,Positif,Mot,appearance
bunyi,Motbre,Motbre,1.0,Positif,Mot,Word
bapita,Motbreux,Motbreux,1.0,Positif,Mot,Motbreux
kufikisha,noircir,swart maak,1.0,Positif,Mot,blacken
kudisha,nourir,voer,1.0,Positif,Mot,feed
kuledibua,naitre,gebore word,1.0,Positif,Mot,to be born
tshipiatshipia,nouveau,nuut,1.0,Positif,Mot,new
tetu,nous,ons,0.0,Neutre,Mot,We
kukoma,repasser,slaag weer,2.0,Positif,Verbe,iron
lusa,pitié,jammer,2.0,Positif,Verbe,pity
kutela,énumérer,lys,2.0,Positif,Verbe,list
kututa,frapper,tref,2.0,Positif,Verbe,hit
kuenda,marcher,loop,2.0,Positif,Verbe,to walk
kuseka,rigoler,lag,2.0,Positif,Verbe,to laugh
mimueka,sourire,glimlag,2.0,Positif,Mot,smile
kuseka,rire,lag,2.0,Positif,Mot,laugh
kupeta,trouver,vind,2.0,Positif,Verbe,find
kukumbaja,accomplir,bereik,2.0,Positif,Verbe,accomplish
kuhuja,remplir,vervul,2.0,Positif,Verbe,fill
mulayi,promesse,belofte,2.0,Positif,Verbe,promise
kupesha,donner,gee,2.0,Positif,Verbe,give
kuja,danser,dans,2.0,Positif,Verbe,to dance
kuimba,chanter,sing,2.0,Positif,Verbe,sing
kupangila,rater,mis,2.0,Positif,Verbe,miss
tshikosu,raccourcis,kortpaaie,2.0,Positif,Mot,shortcuts
kututa,fouetter,sweep,2.0,Positif,Verbe,whip
dimanya,savoir,weet,2.0,Positif,Verbe,know
kulala,dormir,slaap,2.0,Positif,Verbe,sleep
kubika,réveiller,wakker word,2.0,Positif,Verbe,wake
kukanga,fermer,maak toe,2.0,Positif,Verbe,close
kulomba,demander,vra,2.0,Positif,Verbe,ask
kualuja,remettre,lewer,2.0,Positif,Verbe,to put back
kuteka,déposer,deposito,2.0,Positif,Verbe,deposit
kulamba,préparer,voorberei,2.0,Positif,Verbe,prepare
kutua,manipuler,hanteer,2.0,Positif,Verbe,manipulate
lutandala,internet,internet,2.0,Positif,Mot,Internet
kutshiankunya,mâcher,kou,2.0,Positif,Verbe,chew
kudilulula,ruminer,herkou,2.0,Positif,Verbe,ruminate
kunyema,courir,hardloop,2.0,Positif,Verbe,run
kuipata,chasser,jag,2.0,Positif,Verbe,hunt
kunvua,comprendre,verstaan,2.0,Positif,Verbe,to understand
kukupula,essuyer,vee,2.0,Positif,Verbe,to wipe
bukenka,lumière,lig,2.0,Positif,Mot,light
mundidimbi,ombre,skaduwee,2.0,Positif,Mot,shadow
muedi,barbe,baard,2.0,Positif,Mot,beard
nsuki,cheveux,hare,2.0,Positif,Mot,hair
kudiabakena,lamenter,kla,2.0,Positif,Verbe,lament
kuzakala,trembler,bewe,2.0,Positif,Verbe,tremble
kulaba,frotter,vryf,2.0,Positif,Verbe,rub
nvunda,tourbillon,warrelwind,2.0,Positif,Mot,whirlpool
mukenya,eclaire,ligte,4.0,Positif,Mot,illuminated
tshiululu,nuage,wolk,4.0,Positif,Mot,cloud
malemba,orage,storm,4.0,Positif,Mot,thunderstorm
kufunda,accuser,beskuldig,4.0,Positif,Mot,accuse
kansungansunga,discrimination,diskriminasie,4.0,Positif,Mot,discrimination
kuikisha,reposer,rus,4.0,Positif,Verbe,to rest
mulombi,mendier,smeek,4.0,Positif,Mot,beg
mudiavi,gourmand,gulsig,4.0,Positif,Mot,gourmand
muenantanda,citoyen,burger,4.0,Positif,Mot,citizen
kuadija,étaler,versprei,4.0,Positif,Verbe,spread
kuihila,sarcler,skoffel,4.0,Positif,Verbe,weed
kuhakula,castrer,kastreer,4.0,Positif,Verbe,castrate
kutengula,circoncire,besny,4.0,Positif,Verbe,circumcise
kubobesha,murmure,murmureer,4.0,Positif,Verbe,murmur
kunungana,murmurer,murmureer,4.0,Positif,Verbe,whisper
kuluatshika,vêtir,klee,4.0,Positif,Verbe,clothing
kuadika,habiller,aantrek,4.0,Positif,Verbe,dress
munganga,infirmier,verpleegster,4.0,Positif,Mot,nurse
kumanyisha,informer,inlig,4.0,Positif,Verbe,inform
kunvuija,expliquer,verduidelik,4.0,Positif,Verbe,explain
kunua,boire,drink,4.0,Positif,Verbe,drink
kusangisha,additionner,byvoeg,4.0,Positif,Verbe,add
nvita,guerre,oorlog,4.0,Positif,Mot,war
kujika,enterrer,begrawe,4.0,Positif,Verbe,bury
kuakaja,ajuster,aanpas,4.0,Positif,Verbe,adjust
kulela,accoucher,geboorte gee,4.0,Positif,Verbe,giving birth
kulengeja,embellir,versier,4.0,Positif,Verbe,beautify
kutokesha,purifier,suiwer,4.0,Positif,Verbe,purify
kabalamatuku,calendier,kalender,4.0,Positif,Mot,calendar
kuela,insérer,voeg in,4.0,Positif,Verbe,insert
kuludika,dresser,trein,4.0,Positif,Verbe,train
kubela,éduquer,opvoed,4.0,Positif,Verbe,educate
tshienzedi,acte,optree,4.0,Positif,Mot,act
kutshimuna,vaincre,oorwin,4.0,Positif,Verbe,defeat
kutumbisha,louer,prys,4.0,Positif,Verbe,to rent out
kukukuila,adorer,aanbid,4.0,Positif,Verbe,worship
kutangalaja,propager,propageer,4.0,Positif,Verbe,propagate
dizakala,tremblement,bewing,4.0,Positif,Mot,trembling
kuzakala,trembler,bewe,4.0,Positif,Verbe,tremble
kutshibuka,fracturer,fraktuur,-4.0,Negatif,Verbe,fracture
kukuta,rassasier,versadig,3.0,Positif,Verbe,satiate
kujima,eteindre,blus,3.0,Positif,Verbe,turn off
kutemesha,allumer,lig,3.0,Positif,Verbe,to light up
kusemena,approcher,benadering,3.0,Positif,Verbe,approach
tshipiminu,mesure,meet,3.0,Positif,Verbe,measure
kumonununa,revoir,hersien,3.0,Positif,Verbe,goodbye
kutshina,craindre,vrees,-1.0,Negatif,Verbe,to fear
miengu,nauser,naarheid,-1.0,Negatif,Mot,nausea
tshieleka,serment,eed,2.0,Positif,Mot,oath
kowela,nager,swem,2.0,Positif,Verbe,swim
kudina,noyer,verdrink,2.0,Positif,Verbe,walnut
kuhuyakana,respirer,asemhaal,2.0,Positif,Verbe,breathe
kuinyija,plonger,duik,2.0,Positif,Verbe,dive
kubola,mouiller,nat,2.0,Positif,Verbe,wet
kubungila,somnoler,dut,2.0,Positif,Verbe,to doze
kulota,rever,droom,2.0,Positif,Verbe,dream
butuku,nuit,nag,2.0,Positif,Mot,night
dituku,jour,dag,2.0,Positif,Mot,day
