CILUBA,French,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation
Nsangilu,assemblée,vergadering,umbuthano,1.0,Positif,Mot,assembly
Musoko,bourgeoise,bourgeois,bourgeois,1.0,Positif,Mot,bourgeois
Tshibombu,bourse,beursie,SOTCK Exchange,1.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,igatsha,1.0,Positif,Mot,branch
Mutoyi,bruit,geraas,isixokoxoko,1.0,Positif,Mot,noise
Tshikutu,buisson,bos,ihlathi,1.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,uphuzile,1.0,Positif,Mot,drinker
Ditalala,calme,kalmte,ukuthula,1.0,Positif,Mot,calm
Musonguedianganyi,calomniateur,lasteraar,umnyundeyeli,-7.0,Negatif,Mot,slanderer
Tshitudilu,camp,kamp,khempa,5.0,Positif,Mot,camp
Kapita,capitaine,kaptein,induna yamasosha,5.0,Positif,Mot,captain
Mupika,captif,gevangene,-banjiwe,5.0,Positif,Mot,captive
Lukanu,captivité,gevangenskap,ukubanjwa,5.0,Positif,Mot,captivity
Carrefour,masangu,masangu,masangu,5.0,Positif,Mot,masangu
Bukole,ardeur,ywer,adlangi kahle,5.0,Positif,Mot,ardor
Tshimuenenu,aspect,aspek,ukubonakala,5.0,Positif,Mot,appearance
Mushipianganyi,assassin,sluipmoordenaar,umbulali womholi womphakathi,-3.0,Negatif,Mot,assassin
Mikalu,borne,grens,Isikhumulo,1.0,Positif,Mot,terminal
Musoko,bourgeoise,bourgeois,bourgeois,1.0,Positif,Mot,bourgeois
Tshibombu,bourse,beursie,SOTCK Exchange,1.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,igatsha,1.0,Positif,Mot,branch
Mutoyi,bruit,geraas,isixokoxoko,1.0,Positif,Mot,noise
Tshikutu,buisson,bos,ihlathi,1.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,uphuzile,1.0,Positif,Mot,drinker
Ditalala,calme,kalm,ukuthula,1.0,Positif,Mot,calm
Musonguedianganyi,calomniateur,lasteraar,umnyundeyeli,-3.0,Negatif,Mot,slanderer
Tshitudilu,camp,kamp,khempa,2.0,Positif,Mot,camp
Kapita,capitaine,kaptein,induna yamasosha,2.0,Positif,Mot,captain
Mupika,captif,gevangene,-banjiwe,2.0,Positif,Mot,captive
Tshibombu,bourse,beursie,SOTCK Exchange,2.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,igatsha,2.0,Positif,Mot,branch
Mutoyi,bruit,geraas,isixokoxoko,2.0,Positif,Mot,noise
Tshikutu,buisson,bos,ihlathi,2.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,uphuzile,2.0,Positif,Mot,drinker
Ditalala,calme,kalm,ukuthula,2.0,Positif,Mot,calm
Kapita,capitaine,kaptein,induna yamasosha,2.0,Positif,Mot,captain
Bukole,ardeur,ywer,adlangi kahle,2.0,Positif,Mot,ardor
Tshimuenenu,aspect,aspek,ukubonakala,2.0,Positif,Mot,appearance
Mushipianganyi,assassin,sluipmoordenaar,umbulali womholi womphakathi,2.0,Positif,Mot,assassin
Dikima,assurance,versekering,umshwalense,2.0,Positif,Mot,insurance
Kuindila,attente,wag,-lindizayo,2.0,Positif,Mot,waiting
Ntema,attention,aandag,ukuqaphela,2.0,Positif,Mot,attention
Dikamakama,audace,vermetelheid,Okukholweni,4.0,Positif,Mot,audacity
Munvui,auditeur,luisteraar,umlaleli,4.0,Positif,Mot,listener
Mushipu,automne,herfs,ikwindla,4.0,Positif,Mot,autumn
Bukokeshi,autorité,gesag,isiphathimandla,4.0,Positif,Mot,authority
Didiundisha,avancement,bevordering,ukuqhubekela phambili,4.0,Positif,Mot,advancement
Ditamba,avantage,voordeel,imbuyiselo,4.0,Positif,Mot,advantage
Lukuka,Lukuka:avare,Lukuka: vrek,Lukaka: kabi,4.0,Positif,Mot,Lukuka:stingy
Tshipiminu,balance,balans,ukuzimelela,4.0,Positif,Mot,balance
Tshilulu,bande,band,isibopho,4.0,Positif,Mot,band
Mikalu,borne,grens,Isikhumulo,4.0,Positif,Mot,terminal
Musoko,bourgeoise,bourgeois,bourgeois,4.0,Positif,Mot,bourgeois
Tshibombu,bourse,beursie,SOTCK Exchange,4.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,igatsha,4.0,Positif,Mot,branch
Mutoyi,bruit,geraas,isixokoxoko,4.0,Positif,Mot,noise
Tshikutu,buisson,bos,ihlathi,4.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,uphuzile,4.0,Positif,Mot,drinker
Ditalala,calme,kalm,ukuthula,4.0,Positif,Mot,calm
Musonguedianganyi,calomniateur,lasteraar,umnyundeyeli,-3.0,Negatif,Mot,slanderer
Tshitudilu,camp,kamp,khempa,1.0,Positif,Mot,camp
Kapita,capitaine,kaptein,induna yamasosha,1.0,Positif,Mot,captain
Mupika,captif,gevange,-banjiwe,-3.0,Negatif,Mot,captive
Lukanu,captivité,gevangenskap,ukubanjwa,-7.0,Negatif,Mot,captivity
Carrefour,masangu,masangu,masangu,2.0,Positif,Mot,masangu
Bukole,ardeur,ywer,adlangi kahle,2.0,Positif,Mot,ardor
Tshimuenenu,aspect,aspek,ukubonakala,1.0,Positif,Mot,appearance
Mushipianganyi,assassin,sluipmoordenaar,umbulali womholi womphakathi,-9.0,Negatif,Mot,assassin
Mikalu,borne,grens,Isikhumulo,4.0,Positif,Mot,terminal
Musoko,bourgeoise,bourgeois,bourgeois,4.0,Positif,Mot,bourgeois
Tshibombu,bourse,beursie,SOTCK Exchange,4.0,Positif,Mot,sotck exchange 
Ditamba,branche,tak,igatsha,4.0,Positif,Mot,branch
Mutoyi,bruit,geraas,isixokoxoko,4.0,Positif,Mot,noise
Tshikutu,buisson,bos,ihlathi,4.0,Positif,Mot,bush
MunuWamaluvu,buveur,drinker,uphuzile,4.0,Positif,Mot,drinker
Ditalala,calme,kalm,ukuthula,4.0,Positif,Mot,calm
Carrefour,masangu,masangu,masangu,1.0,Positif,Mot,masangu
Bukole,ardeur,ywer,adlangi kahle,1.0,Positif,Mot,ardor
Tshimuenenu,aspect,aspek,ukubonakala,1.0,Positif,Mot,appearance
bunyi,Motbre,Motbre,IMotbre,1.0,Positif,Mot,Word
bapita,Motbreux,Motbreux,UMotbreux,1.0,Positif,Mot,Motbreux
kufikisha,noircir,swart maak,-mayela,1.0,Positif,Mot,blacken
kudisha,nourir,voer,idili,1.0,Positif,Mot,feed
kuledibua,naitre,gebore word,Ukuzalwa,1.0,Positif,Mot,to be born
tshipiatshipia,nouveau,nuut,-kwanamuhla,1.0,Positif,Mot,new
tetu,nous,ons,Thina,0.0,Neutre,Mot,We
kukoma,repasser,slaag weer,insimbi yoku-ayina,2.0,Positif,Verbe,iron
lusa,pitié,jammer,umunyu,2.0,Positif,Verbe,pity
kutela,énumérer,lys,bhala uhlu,2.0,Positif,Verbe,list
kututa,frapper,tref,shaya,2.0,Positif,Verbe,hit
kuenda,marcher,loop,ukuhamba,2.0,Positif,Verbe,to walk
kuseka,rigoler,lag,ukuhleka,2.0,Positif,Verbe,to laugh
mimueka,sourire,glimlag,ukumamatheka,2.0,Positif,Mot,smile
kuseka,rire,lag,gigitheka,2.0,Positif,Mot,laugh
kupeta,trouver,vind,fumana,2.0,Positif,Verbe,find
kukumbaja,accomplir,bereik,feza,2.0,Positif,Verbe,accomplish
kuhuja,remplir,vervul,gcwalisa,2.0,Positif,Verbe,fill
mulayi,promesse,belofte,thembisa,2.0,Positif,Verbe,promise
kupesha,donner,gee,khangeza,2.0,Positif,Verbe,give
kuja,danser,dans,ukudansa,2.0,Positif,Verbe,to dance
kuimba,chanter,sing,cula,2.0,Positif,Verbe,sing
kupangila,rater,mis,khumbula,2.0,Positif,Verbe,miss
tshikosu,raccourcis,kortpaaie,amashoshothi,2.0,Positif,Mot,shortcuts
kututa,fouetter,sweep,thwebula,2.0,Positif,Verbe,whip
dimanya,savoir,weet,bona,2.0,Positif,Verbe,know
kulala,dormir,slaap,ukulala,2.0,Positif,Verbe,sleep
kubika,réveiller,wakker word,phaphama,2.0,Positif,Verbe,wake
kukanga,fermer,maak toe,ngokuminyanisa,2.0,Positif,Verbe,close
kulomba,demander,vra,buza,2.0,Positif,Verbe,ask
kualuja,remettre,lewer,Ukubuyisela emuva,2.0,Positif,Verbe,to put back
kuteka,déposer,deposito,faka,2.0,Positif,Verbe,deposit
kulamba,préparer,voorberei,lungiselela,2.0,Positif,Verbe,prepare
kutua,manipuler,hanteer,khohlisa,2.0,Positif,Verbe,manipulate
lutandala,internet,internet,Isiqomanga ka-,2.0,Positif,Mot,Internet
kutshiankunya,mâcher,kou,hlafuna,2.0,Positif,Verbe,chew
kudilulula,ruminer,herkou,hlaba,2.0,Positif,Verbe,ruminate
kunyema,courir,hardloop,gijima,2.0,Positif,Verbe,run
kuipata,chasser,jag,jaha,2.0,Positif,Verbe,hunt
kunvua,comprendre,verstaan,ukuqondisisa,2.0,Positif,Verbe,to understand
kukupula,essuyer,vee,ukusula,2.0,Positif,Verbe,to wipe
bukenka,lumière,lig,-mhlophe,2.0,Positif,Mot,light
mundidimbi,ombre,skaduwee,ithunzi,2.0,Positif,Mot,shadow
muedi,barbe,baard,intshebe,2.0,Positif,Mot,beard
nsuki,cheveux,hare,uboya,2.0,Positif,Mot,hair
kudiabakena,lamenter,kla,umgulila wezulu,2.0,Positif,Verbe,lament
kuzakala,trembler,bewe,qhaqhazela,2.0,Positif,Verbe,tremble
kulaba,frotter,vryf,hlikihla,2.0,Positif,Verbe,rub
nvunda,tourbillon,warrelwind,shirlwind,2.0,Positif,Mot,whirlpool
mukenya,eclaire,ligte,kukhanyiswe,4.0,Positif,Mot,illuminated
tshiululu,nuage,wolk,amafu,4.0,Positif,Mot,cloud
malemba,orage,storm,isiphepho,4.0,Positif,Mot,thunderstorm
kufunda,accuser,beskuldig,beka icala,4.0,Positif,Mot,accuse
kansungansunga,discrimination,diskriminasie,ubandlululo,4.0,Positif,Mot,discrimination
kuikisha,reposer,rus,ukuphumula,4.0,Positif,Verbe,to rest
mulombi,mendier,smeek,cela,4.0,Positif,Mot,beg
mudiavi,gourmand,gulsig,igourmand,4.0,Positif,Mot,gourmand
muenantanda,citoyen,burger,isakhamuzi,4.0,Positif,Mot,citizen
kuadija,étaler,versprei,ukubhebhetheka,4.0,Positif,Verbe,spread
kuihila,sarcler,skoffel,ukhula,4.0,Positif,Verbe,weed
kuhakula,castrer,kastreer,xholosa,4.0,Positif,Verbe,castrate
kutengula,circoncire,besny,soka,4.0,Positif,Verbe,circumcise
kubobesha,murmure,murmureer,ukhololo,4.0,Positif,Verbe,murmur
kunungana,murmurer,murmureer,nyenyeza,4.0,Positif,Verbe,whisper
kuluatshika,vêtir,klee,mbathisa,4.0,Positif,Verbe,clothing
kuadika,habiller,aantrek,gqoka,4.0,Positif,Verbe,dress
munganga,infirmier,verpleegster,umhlengi,4.0,Positif,Mot,nurse
kumanyisha,informer,inlig,tshela,4.0,Positif,Verbe,inform
kunvuija,expliquer,verduidelik,chasisa,4.0,Positif,Verbe,explain
kunua,boire,drink,phuza,4.0,Positif,Verbe,drink
kusangisha,additionner,byvoeg,enezelela,4.0,Positif,Verbe,add
nvita,guerre,oorlog,ukulwa,4.0,Positif,Mot,war
kujika,enterrer,begrawe,ngcwaba,4.0,Positif,Verbe,bury
kuakaja,ajuster,aanpas,fanelisa,4.0,Positif,Verbe,adjust
kulela,accoucher,geboorte gee,zala,4.0,Positif,Verbe,giving birth
kulengeja,embellir,versier,hubela,4.0,Positif,Verbe,beautify
kutokesha,purifier,suiwer,hlanza,4.0,Positif,Verbe,purify
kabalamatuku,calendier,kalender,unsukuzonke,4.0,Positif,Mot,calendar
kuela,insérer,voeg in,faka,4.0,Positif,Verbe,insert
kuludika,dresser,trein,gqoka,4.0,Positif,Verbe,train
kubela,éduquer,opvoed,fundisa,4.0,Positif,Verbe,educate
tshienzedi,acte,optree,dlala,4.0,Positif,Mot,act
kutshimuna,vaincre,oorwin,nqoba,4.0,Positif,Verbe,defeat
kutumbisha,louer,prys,ukuqasha,4.0,Positif,Verbe,to rent out
kukukuila,adorer,aanbid,dumisa,4.0,Positif,Verbe,worship
kutangalaja,propager,propageer,landa,4.0,Positif,Verbe,propagate
dizakala,tremblement,bewing,ukuzamazama komhlaba okulamalisa amanje,4.0,Positif,Mot,trembling
kuzakala,trembler,bewe,qhaqhazela,4.0,Positif,Verbe,tremble
kutshibuka,fracturer,fraktuur,ukwaphuka,-4.0,Negatif,Verbe,fracture
kukuta,rassasier,versadig,isilingisi,3.0,Positif,Verbe,satiate
kujima,eteindre,blus,vala,3.0,Positif,Verbe,turn off
kutemesha,allumer,lig,ukukhanyisa,3.0,Positif,Verbe,to light up
kusemena,approcher,benadering,sondela,3.0,Positif,Verbe,approach
tshipiminu,mesure,meet,kala,3.0,Positif,Verbe,measure
kumonununa,revoir,hersien,Hamba kahle,3.0,Positif,Verbe,goodbye
kutshina,craindre,vrees,ukwesaba,-1.0,Negatif,Verbe,to fear
miengu,nauser,naarheid,ngenisa,-1.0,Negatif,Mot,nausea
tshieleka,serment,eed,isifungo,2.0,Positif,Mot,oath
kowela,nager,swem,bhukuda,2.0,Positif,Verbe,swim
kudina,noyer,verdrink,ziyadliwa,2.0,Positif,Verbe,walnut
kuhuyakana,respirer,asemhaal,phefumula,2.0,Positif,Verbe,breathe
kuinyija,plonger,duik,ziphonsa ngekhanda emanzini,2.0,Positif,Verbe,dive
kubola,mouiller,nat,-manzi,2.0,Positif,Verbe,wet
kubungila,somnoler,dut,qaphela,2.0,Positif,Verbe,to doze
kulota,rever,droom,iphupha,2.0,Positif,Verbe,dream
butuku,nuit,nag,ubusuku,2.0,Positif,Mot,night
dituku,jour,dag,usuku,2.0,Positif,Mot,day
ditunga,pays,land,izwe,2.0,Positif,Mot,country
kumuenena,dominer,domineer,busa,2.0,Positif,Verbe,dominate
tshimenga,ville,stad,idolobha,2.0,Positif,Mot,city
musoku,village,dorp,umuzi,2.0,Positif,Mot,village
kuvuma,vibrer,vibreer,vevezela,2.0,Positif,Mot,vibrate
mulondi,coureur,hardloper,umgijimi,2.0,Positif,Mot,runner
momunyi,voyan,siener,I-Clairvoyant,2.0,Positif,Mot,clairvoyant
nsanyanga,sentiment,gevoel,ukuzwakala,2.0,Positif,Mot,feeling
kujingila,souhaiter,wens,ukufisa,2.0,Positif,Verbe,to wish
kukehesha,reduire,verminder,phungula,2.0,Positif,Verbe,reduce
mavuala,Vagues,Golwe,Amatafula,-1.0,Negatif,Mot,Waves
tshipepela,tempête,storm,isivunguvungu,-3.0,Negatif,Mot,storm
kudiombo,décevoir,teleurstel,dumaza,-7.0,Negatif,Verbe,disappoint
kusambakaja,melanger,meng,xuba,4.0,Positif,Verbe,mix
kufua,mourir,sterf,shona,-9.0,Negatif,Verbe,die
kushima,mentir,lieg,ginqika,-4.0,Negatif,Verbe,lie
kulomba,mendier,smeek,cela,-3.0,Negatif,Verbe,beg
mulombi,mendiant,bedelaar,isinxibi,-2.0,Negatif,Mot,beggar
kukumbana,meriter,verdien,fanela,1.0,Positif,Verbe,deserve
dikumbana,merite,meriete,-sifanelile,1.0,Positif,Verbe,deserved
mudimu,metier,werk,umsebenzi,1.0,Positif,Verbe,job
mashimi,mensonge,lieg,ginqika,1.0,Positif,Mot,lie
munyengi,cambrioleur,inbreker,umgqekezi,-4.0,Negatif,Mot,burglar
lukombu,Balais,Besem,Imishanelo,3.0,Positif,Mot,Brooms
dipeji,Papier,Papier,Iphepha,3.0,Positif,Mot,Paper
mapapa,Babouche,Babouche,Ababungu,3.0,Positif,Mot,Babouche
dingaya,Manguier,Mango,i-Mango,3.0,Positif,Mot,Mango
dinyuka,Éponge,Spons,Isiponji,3.0,Positif,Mot,Sponge
sabanga,Savon,Seep,Insipho,3.0,Positif,Mot,Soap
dilata,Tôle,Lak,Ishidi yensimbi,3.0,Positif,Mot,Sheet metal
dibaya,Bois,Hout,Phuza,3.0,Positif,Mot,Drink
cikolora,Torchon,Skotdoek,Ithawula itiye,3.0,Positif,Mot,Dishcloth
nshiba,Bambou,Bamboes,Uqalo,3.0,Positif,Mot,Bamboo
nfatshiaka,Français,Franse,IsiFulentshi,3.0,Positif,Mot,French
Tshina,Puit,Put,Ngakho,3.0,Positif,Mot,Well
luesu,Marmite,Pot,Ibhodwe,3.0,Positif,Mot,Pot
mbabula,Brasero,Voorpot,Brazier,3.0,Positif,Mot,Brazier
nkutu,Cuillère,Lepel,Isipuni,3.0,Positif,Mot,Spoon
muhanji,Malaxeur,Menger,Okokuxuba,3.0,Positif,Mot,Mixer
Malala,Braise,Skooltjies,-Bonakala,3.0,Positif,Mot,Braised
mesa,Table,Tafel,Itafula,4.0,Positif,Mot,Table
nkuasa,Chaise,Stoel,Isihlalo,4.0,Positif,Mot,Chair
kabadi,Armoire,Kas,Ikhabethe,4.0,Positif,Mot,Cupboard
mufuku,Sac,Sak,Isikhwama,4.0,Positif,Mot,Bag
dikopu,Gobelet,Beker,Inkomishi,4.0,Positif,Mot,Cup
dilongu,Assiette,Bord,Ipuleti,4.0,Positif,Mot,Plate
didiotu,Brique,Baksteen,Isitini,4.0,Positif,Mot,Brick
mpanu,Poêle,Stof,Isitofu,4.0,Positif,Mot,Stove
nsuki,Cheveux,Haar,Uboya,4.0,Positif,Mot,Hair
mashinyi,Voiture,Motor,Imoto,4.0,Positif,Mot,Car
bulalu,Lit,Bed,Umbhede,4.0,Positif,Mot,Bed
nshinga,File,Lêer,Ifayili,4.0,Positif,Mot,File
difikadimpa,Bienvenue,Welkom,Ukuthakaselwa,4.0,Positif,Mot,Welcome
diewukanimenjicienabualu,Éluder,Ontwyk er,Balekela,4.0,Positif,Verbe,Evade
dianganimushingamukanemu,Ladéférence,Eerbied,Ukuthobela,4.0,Positif,Mot,The reference
dinianga,Annihiler,Vernietig,Bhubhisa,4.0,Positif,Verbe,Annihilate
divula,Exacerber,Vererger,Xakakha,4.0,Positif,Verbe,Exacerbate
Dijingilabuimpabuabakuabu,Bienveillance,Welwillendheid,Umusa,4.0,Positif,Mot,Kindness
mutoka(butoka)clair,Limpide,Helder,-Cwebile,4.0,Positif,Mot,Crystal clear
dépression(dibungama),Mélancolie,Melankolie,Celancholy,4.0,Positif,Mot,Melancholy
dinyunluka,Graviter,Gegraviteer,Msindo,4.0,Positif,Verbe,Gravitate
critiqueviolente;kubishamucinyangu,Diatribe,Tirel,I-diatribe,4.0,Positif,Mot,Diatribe
puhela;pauvreté,Indigence,Armoede,Indawo,4.0,Positif,Mot,Poverty
dote,Biuma,Biuma,Ugiya,4.0,Positif,Mot,Biuma
kusela,Marier,Trou,Gcagca,4.0,Positif,Verbe,Marry
kuipata,Chasser,Jag,Ukuzingela,4.0,Positif,Verbe,Hunt
kuelatshituha,Embrasser,Soen,Ukuqabula,4.0,Positif,Verbe,To kiss
kukolowa,Torcher,Fakkel,Isihlonti,4.0,Positif,Verbe,Torcher
kushipa,Tuer,Doodmaak,Bulala,-3.0,Negatif,Verbe,Kill
kuloba,Pêcher,Vis,Ona,2.0,Positif,Verbe,Sin
tshilembi,Chasseur,Jagter,Umzingeli,2.0,Positif,Verbe,Hunter
munganga,Médecin,Geneesheer,Udokotela,2.0,Positif,Mot,Doctor
mondopi,Guérisseur,Geneser,Umphilisi,2.0,Positif,Verbe,Healer
mupandishi,Sauveur,Verlosser,Umsindusi,2.0,Positif,Verbe,Savior
kuimba,Chanter,Sing,Cula,2.0,Positif,Verbe,Sing
kutanda,Tonner,Donderweer,Ukuduma,2.0,Positif,Verbe,Thunder
kutanta,Émerger,Te voorskyn,Hlaluka,2.0,Positif,Verbe,Emerge
kututa,Tapper,Tik,Ithekethe,2.0,Positif,Verbe,Tapper
kuambula,Puiser,Trek,Dweba,2.0,Positif,Verbe,Draw
kuangata,Puiser,Trek,Dweba,2.0,Positif,Verbe,Draw
matandu,Dispute,Argument,Phikisana,-4.0,Negatif,Verbe,Dispute
kututa,Congner,Kongres,Ingxumbu,-6.0,Negatif,Verbe,Congner
kubonda,Presser,Druk,Vova,2.0,Positif,Verbe,Squeeze
disanka,Allégresse,Vreugde,Injabulo,2.0,Positif,Mot,Joy
anyima,Âme,Siel,Umuphefumulo,2.0,Positif,Mot,Soul
Diyi,Voix,Stem,Iphimbo,2.0,Positif,Mot,Voice
tshiamua,Feràrepasser,Yster,insimbi yoku-ayina,2.0,Positif,Mot,iron
kuamuisha,Allaiter,Borsvoed,Ukuncelisa,2.0,Positif,Verbe,Breast-feed
kuanyisha,Admirer,Bewonder,Thanda,2.0,Positif,Verbe,Admire
kuambula,Transporter,Dra r,Thwala,2.0,Positif,Verbe,Carry
kutuala,Amener,Bring,Ukuletha,2.0,Positif,Verbe,To bring
kuela,Submerger,Dompel,Ukweqa,2.0,Positif,Verbe,Overwhelm
kuela,Tremper,Week,Manzisa,2.0,Positif,Verbe,Soak
kuela,Mettre,Sit,Beka,2.0,Positif,Verbe,Put
kulongolola,Préparer,Berei voor,Lungiselela,2.0,Positif,Verbe,Prepare
kulamba,Cuisiner,Kook,Pheka,2.0,Positif,Verbe,Cook
nsangilu,Assemblée,Vergadering,Umbuthano,2.0,Positif,Verbe,Assembly
Nzambi,Dieu,God,UNkulunkulu,2.0,Positif,Mot,God
Mfumu,Seigneur,Here,Ungqongqoshe,2.0,Positif,Mot,Lord
yehowa,Jéhovah,Jehovah,UJehova,2.0,Positif,Mot,Jehovah
muennenu,Avis,Kennisgewing,Isaziso,2.0,Positif,Mot,Notice
tshienabualu,Thème,Tema,Isiqubulo,2.0,Positif,Mot,Theme
wabukolabonso,Tout-puissant,Almagtig,-Na mandla onke,2.0,Positif,Mot,Almighty
sainteté,Tshijila,Tshijila,Tshijila,2.0,Positif,Mot,Tshijila
kutumbisha,Glorifier,Verheerlik,Khulisa,2.0,Positif,Mot,Glorify
kuenzela,Utiliser,Gebruik,Ukusebenzisa,2.0,Positif,Verbe,To use
kukanga,Bloquer,Blok,Ukuvimba,2.0,Positif,Verbe,To block
kulongesha,Enseigner,Leer,Fundisa,2.0,Positif,Verbe,Teach
kulongolola,Arranger,Rangskik,Hlela,2.0,Positif,Verbe,Arrange
pandalala,Trompette,Trompet,Icilongo,2.0,Positif,Mot,Trumpet
ngoma,Drum,Trom,Isigubhu,2.0,Positif,Mot,Drum
madimba,Xylophone,Xylofoon,I-XYLOPHONE,2.0,Positif,Mot,Xylophone
ngoma,Batterie,Tromstel,Ibhethri,2.0,Positif,Mot,Battery
tshindidimbi,Image,Beeld,Isithombe,2.0,Positif,Mot,Picture
tshihahu,Champ,Veld,Idlelo,2.0,Positif,Mot,Field
dongamu,Programme,Program,Okuzokwenzeka,2.0,Positif,Mot,Program
kuibidija,Entraîner,Oefen,Qeqesha,2.0,Positif,Verbe,Train
kubanga,Entamer,Begin,Suka,2.0,Positif,Verbe,Start
kujima,Éteindre,Skakel af,Vala,2.0,Positif,Verbe,Turn off
kutemesha,Allumer,Draai aan,Ukukhanyisa,2.0,Positif,Verbe,To light up
kujimina,Disparaitre,Verdwyn,Nyamalala,-3.0,Negatif,Verbe,Disappear
kutuhila,Disciper,Dissipline,Imfundiso yokulalela,4.0,Positif,Verbe,Disciper
bulelela,Vérité,Waarheid,Iqiniso,4.0,Positif,Mot,Truth
kamonakamba,Journaliste,Joernalis,Intatheli,4.0,Positif,Mot,Journalist
dijiba,Jourdain,Jordanië,UJordani,4.0,Positif,Mot,Jordan
kukatshila,Étonner,Verbaas,Inyakakhelwane,4.0,Positif,Verbe,Astonish
madileji,Orgueil,Trots,Ukuziqhenya,4.0,Positif,Mot,Pride
bulongama,Ordre,Orde,Hlela,4.0,Positif,Mot,Order
bibi,Mal,Boosheid,-Ngalungile,-2.0,Negatif,Mot,Wrong
mutumibua,Envoyé,Gestuur,-Thulile,3.0,Positif,Mot,Sent
mupostolo,Apôtre,Apostel,Umphostoli,3.0,Positif,Mot,Apostle
bupostolo,Apostolat,Apostelskap,Ukweyisatshiswa,3.0,Positif,Mot,Apostolate
bualuidi,Prêtrise,Priesterskap,Ingcebo,3.0,Positif,Mot,Priesthood
mukanda,Evangile,Evangelie,Izindaba ezinhle,3.0,Positif,Mot,Gospel
dilongesha,Prédication,Prediking,Ukushumayela,3.0,Positif,Mot,Preaching
mukanda,Épître,Epistel,Incwadi,3.0,Positif,Mot,Epistle
muyidi,Disciple,Dissipel,Umlandeli,3.0,Positif,Mot,Disciple
mulongi,Élève,Student,Umfundi,3.0,Positif,Mot,Pupil
kamua,Moustique,Muskie,Umiyane,3.0,Positif,Mot,Mosquito
Njinji,Mouche,Vlieg,Ndiza,3.0,Positif,Mot,Fly
kamonakamba,Journaliste,Joernalis,Intatheli,3.0,Positif,Mot,Journalist
muinvi,Voleur,Dief,Isela,-6.0,Negatif,Mot,Thief
Diyi,Volume,Volume,Ukuvimbanisa,2.0,Positif,Mot,Volume
nzembua,Courant,Huidig,Qephuza,4.0,Positif,Mot,Fluent
disanka,Bonheur,Geluk,Injabulo,1.0,Positif,Mot,Happiness
dibungama,Tristesse,Hartseer,Ukudabuka,-5.0,Negatif,Mot,Sadness
tshiji,Colère,Woede,Intukuthelo,-8.0,Negatif,Mot,Anger
bowa,Peur,Vrees,Ukwesaba,-4.0,Negatif,Mot,Fear
ditalala,Paix,Vrede,Ukuthula,2.0,Positif,Mot,Peace
kukuata,réussir,Slaag,phumelela,2.0,Positif,Verbe,succeed
kubula,Échec,Mislukking,Phaphalaza,2.0,Positif,Mot,Failure
ditekemena,Confiance,Vertroue,Themba,2.0,Positif,Mot,Trust
kuseka,Sourire,Glimlag,Ukumamatheka,2.0,Positif,Mot,Smile
bisonji,Larmes,Trane,Izinyembekathi,-3.0,Negatif,Mot,Tears
ditekemena,Espoir,Hoop,Ithemba,1.0,Positif,Mot,Hope
kuvuluka,souvenir,Onthou,ukukhumbula,1.0,Positif,Verbe,memory
muoyimukola,Courage,Moed,Isibindi,1.0,Positif,Mot,Courage
tungunuka,continuer,Voortgaan,qhubeka,1.0,Positif,Verbe,continue
mudikadila,Liberté,Vryheid,Inkululeko,1.0,Positif,Verbe,Freedom
kukudimuna,Transformer,Transformeer,Shintsha,1.0,Positif,Verbe,Transform
kukola,Grandir,Groei,Ukukhula,1.0,Positif,Verbe,To grow
kulongesha,enseigne,Leer,wafundisa,1.0,Positif,Verbe,taught
tshisumi,Persévérance,Volharding,Ukuphikelela,1.0,Positif,Mot,Perseverance
kubenga,Refuser,Weier,Ala,-7.0,Negatif,Verbe,Refuse
kubela,Réprimande,Berispe,Ukujezisa,3.0,Positif,Mot,Reprimand
kulomba,Demander,Vra,Buza,4.0,Positif,Verbe,Ask
ditekemena,Espoir,Hoop,Ithemba,7.0,Positif,Verbe,Hope
budu,Honte,Skande,Amahloni,-3.0,Negatif,Mot,Shame
lupepela,Air,Lug,Umoya,2.0,Positif,Verbe,Air
buloba,Monde,Wêreld,Izwe,2.0,Positif,Mot,World
anumpidieu,Immédiatement,Onmiddellik,Eduze,2.0,Positif,Mot,Immediately
bualubudimuakuezaka,Possible,Moontlik,-Enzekayo,2.0,Positif,Mot,Possible
bualubudikabuyimuakuezaka,Impossible,Onmoontlik,-Ngenakwenzeka,-4.0,Negatif,Mot,Impossible
buabualukayi,Pourquoi,Waarom,Kwani,0.0,Neutre,Mot,For what
biakana,Parfaite,Perfek,Gweda,2.0,Positif,Mot,Perfect
badisue,Egoïste,Selfsugtig,Ngokwakho uqobo,2.0,Positif,Mot,Self-centered
umueka,Visible,Sigbaar,Qavile,2.0,Positif,Mot,Visible
kayilulamatu,Infidèle,Ontrou,-Ngenalo iqiniso,-5.0,Negatif,Mot,Unfaithful
