CILUBA,French,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Tsonga_Translation
kubandisha,Elever,Verhoog,Phakamisa,3.0,Positif,Verbe,Elevate,Tlakusa
kumanya,Savoir,Weet,Ulwazi,2.0,Positif,Verbe,Know,Tiva
kulua,Venir,Kom,Iyeza,3.0,Positif,Verbe,Come,Tana
kuya,Partir,Verlaat,Shiya,2.0,Positif,Verbe,Leave,Suka
kualukila,Rentrer,Terugkeer,Phindela,2.0,Positif,Verbe,To return,Ku vuya
kulopoka,Sortir,Uitgaan,Phuma,4.0,Positif,Verbe,To go out,Ku huma
kuangula,Découvrir,Ontdek,Thola,3.0,Positif,Verbe,Discover,Ku kuma
kufuka,Inventer,Uitvind,Ukusungula,4.0,Positif,Verbe,Invent,Tshula
kuibaka,Construire,Bou,Yakha,3.0,Positif,Verbe,Build,Aka
kabubula,Détruire,Vernietig,Cekela phansi,-3.0,Negatif,Verbe,Destroy,Hlasela
kukosa,Casser,Breek,Ikhefu,-3.0,Negatif,Verbe,To break,Ku tshoveka
kukepesha,Réduire,Verminder,Vala,-4.0,Negatif,Verbe,Reduce,Hunguta
kuvua,Comprendre,Verstaan,Qonda,3.0,Positif,Verbe,To understand,Ku twisisa
kulonga,Apprendre,Leer,Funda,4.0,Positif,Verbe,Learn,Dyondza
kulongesha,Enseigner,Onderrig,Ukufundisa,4.0,Positif,Verbe,Teach,Dyondzisa
kelesha,Proposer,Voorstel,Phakamisa,3.0,Positif,Verbe,To propose,Ku ringanyeta
kubenga,Refuser,Weier,Enqaba,-3.0,Negatif,Verbe,Refuse,Ala
kusungula,Choisir,Kies,Khetha,3.0,Positif,Verbe,Choose,Hlawula
kuva,Écouter,Luister,Lalela,5.0,Positif,Verbe,Listen,Yingisela
kumona,Observer,Neem waar,Buka,2.0,Positif,Verbe,Observe,Valanga
kuelalungenyi,Réfléchir,Reflekteer,Cabanga,3.0,Positif,Verbe,To reflect on,Ku anakanyisisa hi swona
kudikonkoloja,Méditer,Mediteer,Zindla,1.0,Positif,Verbe,Meditate,Anakanyisisa
mutelu,Chémise,Hemp,I-Chemise,5.0,Positif,Verbe,Shirt,Hembhe
makasa,Pieds,Voete,Izinyawo,3.0,Positif,Verbe,Feet,Milenge
kutekemena,Espérer,Hoop,Ithemba,2.0,Positif,Verbe,Hope,Ntshembho
kuseka,Sourire,Glimlag,Mamatheka,6.0,Positif,Verbe,Smile,N&#39;wayitela
kudila,Pleurer,Huil,Ukukhala,-3.0,Negatif,Verbe,Cry,Rila
kukenya,Rire,Lag,Hleka,4.0,Positif,Verbe,Laugh,Hleka
kuelalubila,Crier,Skree,Khala,3.0,Positif,Verbe,Shout,Huwelela
kunungana,Chuchoter,Fluister,Hlebeza,-4.0,Negatif,Verbe,Whisper,Hlevetela
kumanisha,Communiquer,Kommunikeer,Xhumana,2.0,Positif,Verbe,Communicate,Burisana
kuvuija,Expliquer,Verduidelik,Chaza,5.0,Positif,Verbe,Explain,Hlamusela
kutubisha,Célébrer,Vier,Gubha,4.0,Positif,Verbe,Celebrate,Tlangela
kututabikashi,Applaudir,'n Applous,Shayela ihlombe,2.0,Positif,Verbe,Applaud,Ku phokotela mavoko
kuitaba,Supporter,Ondersteun,Usizo,2.0,Positif,Verbe,Support,Nseketelo
kubenga,Contester,Kompeteer,Ukuphikisana,4.0,Positif,Verbe,Challenge,Ntlhontlho
kuditshipa,Jurer,Vloek,Funga,6.0,Positif,Verbe,Swear,Rhukana
kushima,Mentir,Lieg,Amanga,-4.0,Negatif,Verbe,Lie,Vunwa
kuyukila,Dire,Sê,Yithi,3.0,Positif,Verbe,Say,Vula
kulonda,Raconter,Vertel,Tshela,2.0,Positif,Verbe,Tell,Byela
suki,Cheveux,Hare,Izinwele,6.0,Positif,Mot,Hair,Nsisi
kubikila,Appeler,Bel,Shaya ucingo,2.0,Positif,Verbe,To call,Ku bela riqingho
kuepuka,Eviter,Vermy,Gwema,5.0,Positif,Verbe,Avoid,Papalata
kuakidila,Accueillir,Verwelkom,Siyakwamukela,2.0,Positif,Verbe,To welcome,Ku amukela
kuelamoyi,Saluer,Groet,Bingelela,1.0,Positif,Verbe,Greet,Xeweta
kukelesha,Encourager,Moedig aan,Khuthaza,4.0,Positif,Verbe,Encourage,Khutaza
kukoleshangala,Consoler,Troos,I-console,2.0,Positif,Verbe,Console,Xikhomela-ndhawu
kueza,Agir,Tree op,Thatha isinyathelo,3.0,Positif,Verbe,Act,Nawu
kuadamuna,Réagir,Reageer,Phendula,5.0,Positif,Verbe,React,Angula
suki,Cheveux,Hare,Izinwele,3.0,Positif,Mot,Hair,Nsisi
kukubaja,Accomplir,Bereik,Feza,3.0,Positif,Verbe,Accomplish,Fikelela
kueza,Réaliser,Besef,Finyelela,4.0,Positif,Verbe,Realize,Lemuka
kukuata,Réussir,Slaag,Phumelela,3.0,Positif,Verbe,Succeed,Humelela
kubula,Échouer,Misluik,Yehluleka,-3.0,Positif,Verbe,Fail,Hluleka
kulongolo,Améliorer,Verbeter,Thuthukisa,3.0,Positif,Verbe,Improve,Antswisa
kushituluka,Changer,Verander,Shintsha,5.0,Positif,Verbe,To change,Ku cinca
kukudimuna,Transformer,Transformeer,Shintsha,2.0,Positif,Verbe,Transform,Ku hundzuka
kushitulula,Modifier,Wysig,Hlela,3.0,Positif,Verbe,To modify,Ku cinca
kukukuila,Adorer,Aanbid,Uthando,5.0,Positif,Verbe,Worship,Gandzela
kukina,Détester,Haat,Inzondo,-4.0,Negatif,Verbe,Hate,Venga
kushebula,Ignorer,Ignoreer,Yeqa,-4.0,Negatif,Verbe,Ignore,Honisa
kumanyinula,Reconnaître,Erken,Vuma,3.0,Positif,Verbe,Recognize,Lemuka
kuanyisha,Admirer,Bewonder,Yazisa,2.0,Positif,Verbe,Admire,Navela
kunemeka,Respecter,Respekteer,Inhlonipho,1.0,Positif,Verbe,Respect,Hlonipha
Mujilu,Artère,Slagaar,Umthambo,4.0,Positif,Mot,Artery,Nsinya wa ngati
Muedi,Barbe,Baard,Intshebe,4.0,Positif,Mot,Beard,Malevhu
Mukana,Bouche,Mond,Umlomo,2.0,Positif,Mot,Mouth,Nomu
Diboko,Bras,Arm,Ingalo,5.0,Positif,Mot,Arm,Voko
Bongo,Cerveau,Brein,Ubuchopho,3.0,Positif,Mot,Brain,Byongo
Lusuki,Cheveu,Hare,Izinwele,2.0,Positif,Mot,Hair,Nsisi
Kampombe,Cheville,Enkel,I-ankle,5.0,Positif,Mot,Ankle,Hlakala
Lukofi,Cil,Wimper,I-Eyelash,3.0,Positif,Mot,Eyelash,Xirhendzevutana xa mahlo
Muoyo,Cœur,Hart,Inhliziyo,5.0,Positif,Mot,Heart,Mbilu
Muongo,Colonnevertebrale,Ruggraat,Ikholomu ye-vertebral,3.0,Positif,Mot,Spine,Nkolo wa nkolo
Mbidi,Corps,Liggaam,Umzimba,6.0,Positif,Mot,Body,Miri
Lubadi,Cote,Rib,Isilinganiso,4.0,Positif,Mot,Side,Tlhelo
Nsingu,Cou,Nek,Intamo,3.0,Positif,Mot,Neck,Nhamu
Tshibalubalu,Crane,Skedel,I-crane,6.0,Positif,Mot,Skull,Xikandza
Lukenyibu,Coude,Elmboog,Indololwane,3.0,Positif,Mot,Elbow,Xikokola
Tshibelo,Cuissse,Dybene,Umhlathi,2.0,Positif,Mot,Thigh,Ndzhumbhu
Dino,Dent,Tand,Amazinyo,1.0,Positif,Mot,Tooth,Tino
Munu,Doingt,Vinger,I-Doatingt,1.0,Positif,Mot,Doingt,Ku endla tano
Nyima,Dos,Rug,Emuva,1.0,Positif,Mot,Back,Tlhelela
Dikaya,Epaule,Skouer,Ihlombe,1.0,Positif,Mot,Shoulder,Katla
Tshifu,Estomac,Maag,Isisu,3.0,Positif,Mot,Stomach,Khwiri
Ditaku,Fesse,Boud,I-Buttock,4.0,Positif,Mot,Buttock,Xitombo xa le ndzhaku
Mutshima,Foie,Lewer,Isibindi,3.0,Positif,Mot,Liver,Xivindzi
Mpala,Front,Voorkop,Ingaphambili,3.0,Positif,Mot,Forehead,Mombo
Tshinu,Genou,Knie,Idolo,5.0,Positif,Mot,Knee,Tsolo
Muminu,Gorge,Keel,Umphimbo,5.0,Positif,Mot,Throat,Nkolo
Lukundu,Hanche,Heup,I-Hip,2.0,Positif,Mot,Hip,Nyonga
Dila,Intestin,Darm,Isisu,2.0,Positif,Mot,Intestine,Marhumbu
Mukolo,Jambe,Been,Umlenze,5.0,Positif,Mot,Leg,Nenge
Ditama,Joue,Wang,Dlala,2.0,Positif,Mot,Plays,Ku tlanga
Ludimi,Langue,Tong,Ulimi,2.0,Positif,Mot,Language,Ririmi
Tshinsonyi,Larme,Skeur,Khala izinyembezi,5.0,Positif,Mot,Tear,Handzula
Mushiku,Lèvre,Lip,I-Lip,6.0,Positif,Mot,Lip,Milomu
Lubanga,Machoire,Kaak,I-Machoire,4.0,Positif,Mot,Jaw,Rihlaya
Tshianza,Main,Hand,Okuyinhloko,3.0,Positif,Mot,Hand,Voko
Lubanga,Menton,Ken,I-Chin,4.0,Positif,Mot,Chin,Rihlaya
Mumpenya,Moustache,Snor,I-Mustache,3.0,Positif,Mot,Mustache,Malebvu
Musunyi,Muscle,Spier,Umsipha,3.0,Positif,Mot,Muscle,Tihlampfana
Mumpempe,Narine,Neusgat,Ikhala,3.0,Positif,Mot,Nostril,Xirhendzevutani xa tintiho
Bongo,Nerf,Senuwee,Inzwa,2.0,Positif,Mot,Nerve,Nsinya wa misiha
Diulu,Nez,Neus,Ikhala,2.0,Positif,Mot,Nose,Nhompfu
Muofo,Motbrile,Motor,I-Motbrile,5.0,Positif,Mot,Motbrile,Motbrile ya xirhendzevutani
Dikoshi,Nuque,Stut,Intamo,3.0,Positif,Mot,Neck,Nhamu
Disu,Œil,Nek,Iso,3.0,Positif,Mot,Eye,Tihlo
Luzadi,Ongle,Oog,Isipikili,3.0,Positif,Mot,Nail,Xipikiri
Ditshi,Oreille,Nael,Indlebe,3.0,Positif,Mot,Ear,Ndleve
Muanawankasa,Orteil,Oor,Uzwane,3.0,Positif,Mot,Toe,Xikunwana xa xikunwana
Mufuba,Os,Toon,OS:,2.0,Positif,Mot,Bone,Rhambu
Tshilafinyeb,Paupière,Been,Ijwabu leso,6.0,Positif,Mot,Eyelid,Xirhendzevutana xa tihlo
Dikoba,Peau,Ooglid,Isikhumba,5.0,Positif,Mot,Skin,Nhlonghe
Dikasa,Pied,Vel,Unyawo,8.0,Positif,Mot,Foot,Nenge
Nshingu,Poignet,Voet,Isihlakala,9.0,Positif,Mot,Wrist,Xinungu
Dikoma,Poing,Pols,Isibhakela,4.0,Positif,Mot,Fist,Fist
Tshiadi,Poitrine,Vuis,Isifuba,3.0,Positif,Mot,Chest,Xifuva
Tshiadi,Pouce,Borskas,Inch,2.0,Positif,Mot,Thumb,Rigutsu
Mijilu,Pouls,Duim,I-pulse,1.0,Positif,Mot,Pulse,Ku ba ka mbilu
Tshisulusulu,Poumon,Pols,Amaphaphu,6.0,Positif,Mot,Lung,Mahahu
Konyi,Rein,Long,Izinso,7.0,Positif,Mot,Kidney,Yinso
Munyengu,Ride,Nier,Ukugibela,5.0,Positif,Mot,Wrinkled,Ku rhurhumela
Mate,Salive,Rimpel,Amathe,3.0,Positif,Mot,Saliva,Mathe ya kona
Dibele,Sein,Speeksel,Ibele,7.0,Positif,Mot,Breast,Xifuva
Dikiki,Sourcil,Borskas,I-Eyebrow,4.0,Positif,Mot,Eyebrow,Xikandza xa tihlo
Mashi,Sang,Wenkbrou,Igazi,3.0,Positif,Mot,Blood,Ngati
Bitoyikoyi,Squelette,Bloed,I-skeleton,3.0,Positif,Mot,Skeleton,Xirhendzevutana
Tshisululu,Sueur,Skelet,Umjuluko,4.0,Positif,Mot,Sweat,Nyuku
Tshikankanya,Talon,Sweet,Isithende,4.0,Positif,Mot,Heel,Xirhendze
Mujilu,Veine,Hak,I-Vein,2.0,Positif,Mot,Vein,Nsinya wa misiha
Difu,Ventre,Aar,Isisu,6.0,Positif,Mot,Belly,Khwiri
Mpala,Visage,Maag,Ubuso,4.0,Positif,Mot,Face,Xikandza
Dinda,Matin,Oggend,Ekuseni,3.0,Positif,Mot,Morning,Mixo
Mujalamuwadida,Midi,Middag,Emini,6.0,Positif,Mot,Noon,Nhlikanhi
Dilolo,Soir,Aand,Kusihlwa,4.0,Positif,Mot,Evening,Madyambu
Bufuku,Nuit,Nag,Ubusuku,-4.0,Negatif,Mot,Night,Madyambu
Dituku,Jour,Dag,Usuku,3.0,Positif,Mot,Day,Siku
Lubingu,Semaine,Week,Iviki,2.0,Positif,Mot,Week,Vhiki
Ngondo,Mois,Maand,Inyanga,1.0,Positif,Mot,Month,N&#39;hweti
Tshidimu,Anneé,Jaar,Unyaka,2.0,Positif,Mot,Year,Lembe
Munute,Minute,Minuut,Umzuzu,7.0,Positif,Mot,Minute,Minete
Dida,Heure,Uur,Isikhathi,8.0,Positif,Mot,Hour,Awara
Makelele,Hier,Gister,"IzoloA date such as '23 May 2010', %e is the day, %B the month and %Y the year",9.0,Positif,Mot,Yesterday,Tolo
Lelo,Aujourd'hui,Vandag,Namuhla,4.0,Positif,Mot,Today,Namuntlha
Makelela,Demain,Môre,Kusasa,3.0,Positif,Mot,Tomorrow,Mundzuku
Dimwe,Lundi,Maandag,UMsombuluko,2.0,Positif,Mot,Monday,Musumbhunuku
Dibiidi,Mardi,Dinsdag,ULwesibili,5.0,Positif,Mot,Tuesday,Ravumbirhi
Disatu,Mercredi,Woensdag,ULwesithathu,8.0,Positif,Mot,Wednesday,Ravunharhu
Dinayi,Jeudi,Donderdag,ULwesine,4.0,Positif,Mot,THURSDAY,RAVUMUNE
Ditanu,Vendredi,Vrydag,ULwesihlanu,3.0,Positif,Mot,Friday,Ravuntlhanu
Disambombo,Samedi,Saterdag,UMgqibelo,2.0,Positif,Mot,SATURDAY,MUQIBELA
Lumingu,Dimanche,Sondag,ISonto,3.0,Positif,Mot,Sunday,Sonto
Nyama,Animal,Dier,Isilwane,2.0,Positif,Mot,Animal,Xiharhi
Lubulubulu,Abeille,By,Inyosi,5.0,Positif,Mot,Bee,Nyoxi
Muanawamukoko,Agneau,Lam,IWundlu,7.0,Positif,Mot,Lamb,Nyimpfu
Mukanku,Aigle,Arend,Ukhozi,7.0,Positif,Mot,Eagle,Gama
Mpunda,Ane,Donkie,Imbongolo,3.0,Positif,Mot,Donkey,Mbhongolo
Ntande,Araignée,Spinnekop,Isicabucabu,1.0,Positif,Mot,Spider,Xihadyana xa xihadyana
Ntuba,Autruche,Volstruis,I-Chestnut,2.0,Positif,Mot,Ostrich,Ximanga xa ximanga
Dibata,Canard,Eend,Idada,2.0,Positif,Mot,Duck,Vhika
Kasha,Cerf,Hert,Izinyamazane,5.0,Positif,Mot,Deer,Mhala
Mfulansa,Chameau,Kameel,Ikamela,6.0,Positif,Mot,Camel,Kamela
Mpusu,Chat,Kat,Ikati,7.0,Positif,Mot,Cat,Ximanga
Kabalo,Cheval,Perd,Ihhashi,1.0,Positif,Mot,Horse,Hanci
Mbuji,Chèvre,Bok,Imbuzi,2.0,Positif,Mot,Goat,Mbuti
Kabwa,Chien,Hond,Inja,4.0,Positif,Mot,Dog,Mbyana
Ngulube,Cochon,Vark,Ingulube,5.0,Positif,Mot,Pig,Nguluve
Nzolo,Coq,Haan,I-rooster,6.0,Positif,Mot,Rooster,Nkuku
Lukala,Crabe,Krap,Inkalankala,4.0,Positif,Mot,Crab,Nkokotso
Tshiula,Crapaud,Padda,Ithoyizi,7.0,Positif,Mot,Toad,Ximanga
Ngandu,Crocodile,Krokodil,Ingwenya,7.0,Positif,Mot,Crocodile,Ngwenya
Kabundi,Ecureuil,Eekhoring,I-Squirrel,2.0,Positif,Mot,Squirrel,Maxinjani
Nzevu,Eléphant,Olifant,Indlovu,4.0,Positif,Mot,Elephant,Ndlopfu
Dilandi,Escargot,Slak,Umhlonyane,3.0,Positif,Mot,Snail,Humba
Kankenene,Fourmi,Mier,Intuthwane,3.0,Positif,Mot,Ant,Ant
Ngomba,Girafe,Kameelperd,Indlulamithi,5.0,Positif,Mot,Giraffe,Nghwazi ya ximanga
Nsokumuntu,Gorille,Gorilla,I-Gorilla,6.0,Positif,Mot,Gorilla,Gorilla
	Maleyaya,Malaria,Malaria,Umalaleveva,-3.0,Negatif,Mot,Malaria,Malariya ya malariya
	Malunvu,Alcool,Alkohol,Utshwala,-4.0,Negatif,Mot,Alcohol,Swipyopyi
	Manga,Fétiche,Fetisj,I-Fetish,-3.0,Negatif,Mot,Fetish,Fetish ya xitekela
	Ngumu, Information,Inligting,Imininingwane,3.0,Positif,Mot,Information,Marungula
	Blaba,Sable,Sand,Isihlabathi,6.0,Positif,Mot,Sand,Sava
	Buta,Sandre,Zander,I-Sandre,4.0,Positif,Mot,Sandre,Sandre
	Makuta,Argent,Geld,Isiliva,5.0,Positif,Mot,Money,Mali
	Mamu,Mère,Moeder,Umama,2.0,Positif,Mot,Mother,Manana
	Tatu, Père,Pa,Ubaba,6.0,Positif,Mot,Father,Tatana
	Dilongesha,  Enseignement,Onderrig,Imfundo,7.0,Positif,Mot,Education,Dyondzo
	Mulongeshi,  enseignant,Onderwyser,uthisha,9.0,Positif,Mot,teacher,mudyondzisi
	Kubungama,  Tristesse,Hartseer,Usizi,-4.0,Negatif,Mot,Sadness,Ku vilela
	Musangu,  Oreiller,Kussing,Umcamelo,3.0,Positif,Mot,Pillow,Xikhigelo
Vunda_vunda,  Tourbillon,Warrelwind,I-Tourbillon,5.0,Positif,Mot,Whirlpool,Xihahampfhuka xa Whirlpool
	Nvula,  Pluie,Reën,Imvula,3.0,Positif,Mot,Rain,Mpfula
	Bihu,  punaise,Gogga,ibhungane,2.0,Positif,Mot,thumbtack,xikhomela-ndhawu xa thumbtack
	Songakaji,  Jeunefemme,Jong Vrou,Owesifazane osemusha,7.0,Positif,Mot,Young woman,Wansati lontsongo
	Songaluma,  Jeunehomme,Jong Man,Insizwa,9.0,Positif,Mot,Young man,Jaha
	Maseba,  Oncle,Oom,Umalume,6.0,Positif,Mot,Uncle,Malume
	tatumukaji,  Tante,Tante,U-anti,5.0,Positif,Mot,Aunt,Hahani
kuenza	,  Faire,Doen,Enza,2.0,Positif,Mot,Do,Endla
	Menyi,  Urine,Urine,Umchamo,1.0,Positif,Mot,Urine,Nchuluko
Tuasakadila,  Merci,Dankie,Siyabonga,5.0,Positif,Mot,THANKS,INKOMU
	Kulala,  Dormir,Slaap,Ukulala,5.0,Positif,Mot,Sleep,Etlela
	KuTuta,  Frappe,Slaap,Isiteleka,-4.0,Negatif,Mot,Struck,Biwa
Kunyungulaka,  Tourner,Draai,Vula,3.0,Positif,Mot,Turn,Jika
	KuBâla,  Lire,Lees,Funda,4.0,Positif,Mot,Read,Hlaya
	KUdia,  Manger,Eet,Ukudla,2.0,Positif,Mot,Eat,Dyana
	Disama,  Maladie,Siekte,Isifo,-2.0,Negatif,Mot,Disease,Vuvabyi
	Ufua,  Mort,Dood,Ukufa,-3.0,Negatif,Mot,Dead,File
	Mufua,  Décédée,Oorlede,Kushonile,-1.0,Negatif,Mot,Deceased,Lovile
	Lusa,  Pitié,Jammer,Isihe,4.0,Positif,Mot,Pity,Ntwela vusiwana
	Nkenena,  Fourmis,Miere,Izintuthwane,5.0,Positif,Mot,Ants,Tinjiya
	Kanyunyi,  Oiseau,Voël,Inyoni,3.0,Positif,Mot,Bird,Xinyenyana
	Mubuluka,  Fou,Mal,Uyahlanya,-4.0,Negatif,Mot,Mad,Penga
	Mubanji,  Riche,Ryk,Ecebile,4.0,Positif,Mot,Rich,Rifumo
	Musedibua,  Marier,Trou,Shada,2.0,Positif,Mot,Marry,Vukati
	Kalulu,  Lapin,Konyn,Unogwaja,3.0,Positif,Mot,Rabbit,Mpfundla
	Dikalu,  Vélo,Fiets,Ibhayisikili,7.0,Positif,Mot,Bike,Xithuthuthu
	Bowa,  Peur,Vrees,Ukwesaba,-4.0,Negatif,Mot,Fear,Nchavo
	Boowa,  Champignons,Sampioene,Amakhowe,9.0,Positif,Mot,Mushrooms,Swikowa
	Diba,  Heure,Uur,Isikhathi,4.0,Positif,Mot,Hour,Awara
	Kaheji,  Saboté,Gesaboteer,Kubhujisiwe,-5.0,Negatif,Mot,Sabotaged,Ku onhiwa ka swilo
	Mukana,  Bouche,Mond,Umlomo,4.0,Positif,Mot,Mouth,Nomu
	Dingeya,  Mangue,Mango,Umango,6.0,Positif,Mot,Mango,Mango
	NtaMbua,  lion,Leeu,Ibhubesi,9.0,Positif,Mot,lion,nghala
	Soku,  Singe,Aap,Inkawu,5.0,Positif,Mot,Monkey,Nkawa
	Zevu,  Eléphant,Olifant,Indlovu,3.0,Positif,Mot,Elephant,Ndlopfu
	Mulangi,  bouteille,Bottel,ibhodlela,4.0,Positif,Mot,bottle,bodlhela
	Mayi,  Eau,Water,Amanzi,3.0,Positif,Mot,Water,Mati
	Muela,  Machette,Kassie,I-Machete,-4.0,Negatif,Mot,Machete,Machete ya xirhendzevutani
	Kasuyi,  Hache,Byl,I-ax,-4.0,Negatif,Mot,Ax,Xikele
	Tshasu,  Bêche,Graaf,I-spade,2.0,Positif,Mot,Spade,Spade
	Nteta,  Bâche,Seil,I-Tarpaulin,2.0,Positif,Mot,Tarpaulin,Tarpaulin ya xirhendzevutani
	Bulalu,  Moussa,Moussa,I-Moussa,1.0,Positif,Mot,Moussa,Moussa
	Kuhenda,  Injurier,Vloek,Kulimale,-3.0,Negatif,Mot,Insult,Ndzhukano
	Kutata,  Tamiser,Sif,I-Sieve,4.0,Positif,Mot,Sift,Sefa
	Tangila,  Regarde,Kyk,Bheka,3.0,Positif,Mot,Look at,Languta
	Lala,  Dors,Slaap,Ukulala,2.0,Positif,Mot,Sleep,Etlela
	Anu,  Seulement,Slegs,Kuphela,5.0,Positif,Mot,Only,Ntsena
	Angata,  Prends,Neem,Thatha,6.0,Positif,Mot,Take,Teka
	Ambula,  Transporte,Dra,Uyaphatha,8.0,Positif,Mot,Transport,Xifambo
	Alunja,  Remet,Sit Terug,Isaphulelo,9.0,Positif,Mot,Hand over,Nyika nyiketa
	Alukila,  Retourne,Terug,Ukubuyisela,6.0,Positif,Mot,Return,Tlhelela
	Dikasa,  Pieds,Voete,Izinyawo,5.0,Positif,Mot,Feet,Milenge
	Amba,  Dit,Sê,Kusho,4.0,Positif,Mot,Said,Vurile
	Ambakaja,  Superposer,Superponeer,Mboza,4.0,Positif,Mot,Overlay,Ku hlanganisiwa ka swilo
	Ambulula,  Répète,R herhaal,Ukuphindaphinda,1.0,Positif,Mot,Repeated,Ku phindha-phindhiwa
	Ambelu,  Dehors,Buite,Ngaphandle,3.0,Positif,Mot,Out,Handle
	Dilongo,  Assiette,Bord,Ipuleti,2.0,Positif,Mot,Plate,Ndyelo
	BaLedi,  Parents,Ouers,Abazali,6.0,Positif,Mot,Parents,Vatswari
	Banga,  Commence,Begin,Kuyaqala,7.0,Positif,Mot,Begin,Sungula
	Tshifulu,  Chapeau,Hoed,Isigqoko,8.0,Positif,Mot,Hat,Xihuku
	Tshilamba,  Habit,Klere,Umkhuba,9.0,Positif,Mot,Habit,Ntolovelo
	Tshilamba,  Pond,Dam,Ichibi,4.0,Positif,Mot,Pond,Xidan&#39;wana
	Tshisamba,  Origine,Oorsprong,Umsuka,3.0,Positif,Mot,Origin,Sukaka kona
	Tshikadilu,  Comportement,Gedrag,Ukuziphatha,2.0,Positif,Mot,Behavior,Hanyelo
	Manayi,  Jeu,Spel,Ngo-Th,2.0,Positif,Mot,Game,Ntlangu
	Tshibulundu,  Ballon,Bal,Ibhaluni,1.0,Positif,Mot,Ball,Bolo
Cingu_mapanga,  Cigale,Sikada,I-Cicada,1.0,Positif,Mot,Cicada,Xitsongwatsongwana xa Cicada
	Kuhanga,  Echoué,Mislukteer,Yehlulekile,3.0,Positif,Mot,Failed,Hluleka
	Kuhangila,  Manqué,Gemis,Ilahlekile,-4.0,Negatif,Mot,Lack,Mpfumaleko
	Dikenga,  Souffrance,Lyding,Ukuhlupheka,-3.0,Negatif,Mot,Suffering,Hlupheka
	Dikenga,  Galère,Swaarkry,I-Galley,-4.0,Negatif,Mot,Galley,Galley
	Dinanga,  Amour,Liefde,Uthando,3.0,Positif,Mot,Love,Rirhandzu
	Dignoka,  Punition,Straf,Isijeziso,2.0,Positif,Mot,Punishment,Ku xupuriwa
	Mubanji,  Riche,Ryk,Ecebile,1.0,Positif,Mot,Rich,Rifumo
	Bulanda,  Pauvreté,Armoede,Ubumpofu,-5.0,Negatif,Mot,Poverty,Vusweti
	Budisu,  Orgueil,Trots,Ukuziqhenya,-2.0,Negatif,Mot,Pride,Manyunyu
	Dihoyi,  Misère,Ellende,Ubumpofu,-1.0,Negatif,Mot,Misery,Maxangu
	Matandu,  Querelle,Rusie,I-quarrel,-1.0,Negatif,Mot,Quarrel,Kwetlembetana
	Bulaku,  Injure,Belediging,Ukulimala,-1.0,Negatif,Mot,Insult,Ndzhukano
	Mujika,  Célibataire,Enkellopend,Okungashadile,4.0,Negatif,Mot,Bachelor,Nghwendza
	Mulobi,  Conducteur,Bestuurder,Umshayeli,5.0,Positif,Mot,Driver,Muchayeri
	Mibi,  Pécher,Sonde,Ukona,-3.0,Negatif,Mot,Sin,Xidyoho
	Kakone,  ÉcoMotiste,Ekomotoris,I-EcoMotist,7.0,Positif,Mot,EcoMotist,Mutivi wa EcoMotist
	Magnimela,  Ingénieur,Ingenieur,Unjiniyela,7.0,Positif,Mot,Engineer,Muinjhinere
	Bihu,Punaise,Gogga,Isinambuzane sombhede,-1.0,Negatif,Mot,Thumbtack,Xikhomela-ndhawu
bilunga,patate,aartappel,amazambane,5.0,Positif,Mot,potato,zambala
mayi,eau,water,Amanzi,8.0,Positif,Mot,water,mati
Nsoku,singe,aap,inkawu,-3.0,Negatif,Mot,monkey,nkawa
dinanga,amour,liefde,uthando,8.0,Positif,Mot,love,rirhandzu
kanemu,respect,respek,inhlonipho,7.0,Positif,Mot,respect,hlonipha
ditumikila,obeissance,gehoorsaamheid,ukulalela,6.0,Positif,Mot,obedience,ku yingisa
lusa,pardon,vergifnis,ngiyaxolisa,8.0,Positif,Mot,pardon,khomeriwa
luaku,viens,kom,woza,5.0,Positif,Mot,come,tana
kuata,prend,neem,kuthatha,7.0,Positif,Mot,takes,swi teka
lusaa,pitié,genade,isihawu,5.0,Positif,Mot,pity,ntwela vusiwana
kalulu,lapin,haas,unogwaja,4.0,Positif,Mot,rabbit,mpfundla
nioka,serpent,slang,inyoka,-2.0,Negatif,Mot,snake,nyoka
mpatu,canard,eend,idada,3.0,Positif,Mot,duck,vhika
masanka,joie,vreugde,injabulo,3.0,Positif,Mot,joy,ntsako
bipeta,resultat,resultaat,umphumela,3.0,Positif,Mot,result,mbuyelo
nsuki,cheuveux,hare,i-cheuveux,3.0,Positif,Mot,hair,nsisi
nkuasa,chaise,stoel,isihlalo,3.0,Positif,Mot,chair,xitulu
tshibasa,banc,bankie,ibhentshi,3.0,Positif,Mot,bench,benci
mapapa,babouche,pantoffel,ihlibhisi,3.0,Positif,Mot,babouche,babouche
bisabata,chaussure,skoen,isicathulo,3.0,Positif,Mot,shoe,xihlangi
dilata,tole,plaatmetaal,i-tole,3.0,Positif,Mot,sheet metal,xiphepherhele xa nsimbi
mpusu,chat,kat,Ikati,3.0,Positif,Mot,cat,ximanga
luremba,caholin,caholin,i-caholin,3.0,Positif,Mot,caholin,caholin
nkotshi,veste,baadjie,ibhantshi,3.0,Positif,Mot,jacket,jazi
muanya,diasteme,diastema,i-diastma,3.0,Positif,Mot,diastema,vuvabyi bya diastema
ndaku,partez,gaan,ukuhamba,3.0,Positif,Mot,leave,suka
