French_norm,Nature_std,Score_int,Sentiment_std,priority,english,notes,source,qa_status_translate
joyeusement,other,4.0,positive,medium,happily,auto:gcp,gcp,ok
joyeux,other,6.0,positive,medium,happy,auto:gcp,gcp,ok
jube,other,5.0,positive,medium,jube,auto:gcp,gcp,ok
jubiler,other,-5.0,negative,medium,to rejoice,auto:gcp,gcp,ok
jubilé,other,-4.0,negative,medium,jubilee,auto:gcp,gcp,ok
judiciaire,other,6.0,positive,medium,judicial,auto:gcp,gcp,ok
jugulaire,other,-6.0,negative,medium,jugular,auto:gcp,gcp,ok
juguler,other,6.0,positive,medium,to curb,auto:gcp,gcp,ok
jumeau,other,-5.0,negative,medium,twin,auto:gcp,gcp,ok
jumelage,other,6.0,positive,medium,twinning,auto:gcp,gcp,ok
jupe,other,5.0,positive,medium,skirt,auto:gcp,gcp,ok
jurement,other,6.0,positive,medium,oath,auto:gcp,gcp,ok
jurer,verb,6.0,positive,medium,swear,auto:gcp,gcp,ok
justice,other,4.0,positive,medium,justice,auto:gcp,gcp,ok
justification,other,5.0,positive,medium,justification,auto:gcp,gcp,ok
kobail,other,3.0,positive,medium,kobail,auto:gcp,gcp,ok
kuenza,other,6.0,positive,medium,kuenza,auto:gcp,gcp,ok
kukulakaja,other,6.0,positive,medium,kukulakaja,auto:gcp,gcp,ok
l'ombrage,other,3.0,positive,medium,the shading,auto:gcp,gcp,ok
l'oseille,other,3.0,positive,medium,sorrel,auto:gcp,gcp,ok
labeur,other,5.0,positive,medium,labor,auto:gcp,gcp,ok
labourer,verb,5.0,positive,medium,plow,auto:gcp,gcp,ok
ladéférence,other,4.0,positive,medium,deference,auto:gcp,gcp,ok
laine,other,4.0,positive,medium,wool,auto:gcp,gcp,ok
laisser,other,5.0,positive,medium,to leave ,auto:gcp,gcp,ok
laisser,verb,3.0,positive,medium,to leave ,auto:gcp,gcp,ok
lait,other,3.0,positive,medium,milk,auto:gcp,gcp,ok
lamanter,verb,-5.0,negative,medium,manatee,auto:gcp,gcp,ok
langage,other,6.0,positive,medium,language,auto:gcp,gcp,ok
lanuit,other,5.0,positive,medium,the night,auto:gcp,gcp,ok
lapin,other,3.0,positive,medium,rabbit,auto:gcp,gcp,ok
larmes,other,-3.0,negative,medium,tears,auto:gcp,gcp,ok
lecture,other,5.0,positive,medium,reading,auto:gcp,gcp,ok
lenteur,other,3.0,positive,medium,slowness,auto:gcp,gcp,ok
lesanges,other,4.0,positive,medium,angels,auto:gcp,gcp,ok
lesgens,other,4.0,positive,medium,people,auto:gcp,gcp,ok
lessaints,other,4.0,positive,medium,lessains,auto:gcp,gcp,ok
lettre,other,3.0,neutral,medium,letter,auto:gcp,gcp,ok
lettre de recommandation,expr,6.0,positive,medium,letter of recommendation,auto:gcp,gcp,ok
liberté,other,3.0,positive,medium,freedom,auto:gcp,gcp,ok
lien,other,4.0,positive,medium,link,auto:gcp,gcp,ok
limpide,other,4.0,positive,medium,clear,auto:gcp,gcp,ok
linceul,other,-5.0,negative,medium,shroud,auto:gcp,gcp,ok
lion,other,3.0,positive,medium,lion,auto:gcp,gcp,ok
lire,other,4.0,positive,medium,read,auto:gcp,gcp,ok
lire,verb,4.0,positive,medium,read,auto:gcp,gcp,ok
lis,other,5.0,positive,medium,read,auto:gcp,gcp,ok
livide,other,-6.0,negative,medium,livid,auto:gcp,gcp,ok
livre,other,4.0,positive,medium,book,auto:gcp,gcp,ok
lièvre,other,3.0,positive,medium,hare,auto:gcp,gcp,ok
logement,other,5.0,positive,medium,accommodation,auto:gcp,gcp,ok
loger,verb,4.0,positive,medium,to lodge,auto:gcp,gcp,ok
louer,verb,4.0,positive,medium,to rent out,auto:gcp,gcp,ok
lukuka:avare,other,4.0,positive,medium,lukuka:stingy,auto:gcp,gcp,ok
lunatique,other,-6.0,negative,medium,moody,auto:gcp,gcp,ok
lécher,verb,4.0,positive,medium,lick,auto:gcp,gcp,ok
léger,other,3.0,positive,medium,light,auto:gcp,gcp,ok
lépreux,other,-6.0,negative,medium,leper,auto:gcp,gcp,ok
lévite,other,5.0,positive,medium,Levite,auto:gcp,gcp,ok
lézard,other,3.0,positive,medium,lizard,auto:gcp,gcp,ok
l’argent,other,4.0,positive,medium,money,auto:gcp,gcp,ok
macadame,other,4.0,positive,medium,tarmac,auto:gcp,gcp,ok
machette,other,-4.0,positive,medium,machete,auto:gcp,gcp,ok
machoire,other,4.0,positive,medium,jaw,auto:gcp,gcp,ok
magicien,other,4.0,positive,medium,magician,auto:gcp,gcp,ok
magistrat,other,,,medium,magistrate,auto:gcp,gcp,ok
maison,other,3.0,positive,medium,House,auto:gcp,gcp,ok
"mal, mauvais",expr,-6.0,negative,medium,"bad, evil",auto:gcp,gcp,ok
malaria,other,-3.0,negative,medium,malaria,auto:gcp,gcp,ok
malaxeur,other,3.0,positive,medium,mixer,auto:gcp,gcp,ok
malette,other,3.0,positive,medium,briefcase,auto:gcp,gcp,ok
malgré moi,expr,-3.0,negative,medium,in spite of myself,auto:gcp,gcp,ok
malheur,other,-5.0,negative,medium,misfortune,auto:gcp,gcp,ok
mancher,verb,3.0,positive,medium,to handle,auto:gcp,gcp,ok
mange,other,6.0,positive,medium,eaten,auto:gcp,gcp,ok
mangeur,other,3.0,neutral,medium,eater,auto:gcp,gcp,ok
mangue,other,3.0,positive,medium,mango,auto:gcp,gcp,ok
manguier,other,3.0,positive,medium,mango,auto:gcp,gcp,ok
manifestation,other,6.0,positive,medium,demonstration,auto:gcp,gcp,ok
manière,other,4.0,positive,medium,manner,auto:gcp,gcp,ok
manque,verb,-3.0,negative,medium,lack,auto:gcp,gcp,ok
manquer,other,4.0,positive,medium,miss,auto:gcp,gcp,ok
manqué,other,-4.0,negative,medium,lack,auto:gcp,gcp,ok
manupuler,verb,3.0,positive,medium,manipulate,auto:gcp,gcp,ok
maranatha,other,5.0,positive,medium,maranatha,auto:gcp,gcp,ok
marchand,other,4.0,positive,medium,merchant,auto:gcp,gcp,ok
marche,verb,3.0,positive,medium,walk,auto:gcp,gcp,ok
marchepied,other,4.0,positive,medium,step,auto:gcp,gcp,ok
mardi,other,5.0,positive,medium,Tuesday,auto:gcp,gcp,ok
mari,other,3.0,positive,medium,husband,auto:gcp,gcp,ok
marmite,other,3.0,positive,medium,pot,auto:gcp,gcp,ok
marquer,verb,3.0,positive,medium,mark,auto:gcp,gcp,ok
marteau,other,5.0,positive,medium,hammer,auto:gcp,gcp,ok
matelot,other,4.0,positive,medium,sailor,auto:gcp,gcp,ok
mechant,other,-4.0,negative,medium,wicked,auto:gcp,gcp,ok
mechant,verb,3.0,positive,medium,wicked,auto:gcp,gcp,ok
meilleur,other,3.0,positive,medium,best,auto:gcp,gcp,ok
melanger,verb,4.0,positive,medium,mix,auto:gcp,gcp,ok
mendiant,other,-4.0,negative,medium,beggar,auto:gcp,gcp,ok
mendier,other,4.0,positive,medium,beg,auto:gcp,gcp,ok
mendier,verb,-5.0,negative,medium,beg,auto:gcp,gcp,ok
mentir,verb,-4.0,negative,medium,lie,auto:gcp,gcp,ok
message,other,3.0,positive,medium,message,auto:gcp,gcp,ok
messager,other,3.0,positive,medium,messenger,auto:gcp,gcp,ok
mesure,verb,3.0,positive,medium,measure,auto:gcp,gcp,ok
mettredansunechose,verb,3.0,positive,medium,put into something,auto:gcp,gcp,ok
milieu,other,4.0,positive,medium,medium,auto:gcp,gcp,ok
miroir,other,4.0,positive,medium,mirror,auto:gcp,gcp,ok
misericordieux,other,5.0,positive,medium,merciful,auto:gcp,gcp,ok
miséricorde,other,3.0,positive,medium,mercy,auto:gcp,gcp,ok
modifier,verb,3.0,positive,medium,to modify,auto:gcp,gcp,ok
moindre,other,-3.0,negative,medium,lesser,auto:gcp,gcp,ok
moisson,other,3.0,positive,medium,harvest,auto:gcp,gcp,ok
monter,verb,3.0,positive,medium,to go up,auto:gcp,gcp,ok
montrer,other,4.0,positive,medium,to show,auto:gcp,gcp,ok
moquerie,other,5.0,positive,medium,mockery,auto:gcp,gcp,ok
moqueur,other,-5.0,negative,medium,mocking,auto:gcp,gcp,ok
mortel,other,-6.0,negative,medium,mortal,auto:gcp,gcp,ok
morçau,other,-3.0,negative,medium,piece,auto:gcp,gcp,ok
mot,other,4.0,positive,medium,word,auto:gcp,gcp,ok
motbrile,other,5.0,positive,medium,motbrile,auto:gcp,gcp,ok
motmer,verb,3.0,positive,medium,motmer,auto:gcp,gcp,ok
mouche,other,3.0,positive,medium,fly ,auto:gcp,gcp,ok
moucher,verb,4.0,positive,medium,blow your nose,auto:gcp,gcp,ok
mouiller,verb,-6.0,negative,medium,wet,auto:gcp,gcp,ok
mourir,other,4.0,positive,medium,die,auto:gcp,gcp,ok
moustache,other,3.0,positive,medium,mustache,auto:gcp,gcp,ok
moustique,other,3.0,positive,medium,mosquito,auto:gcp,gcp,ok
mouvais,other,4.0,positive,medium,bad,auto:gcp,gcp,ok
muet,other,3.0,positive,medium,mute,auto:gcp,gcp,ok
multiplier,verb,4.0,positive,medium,multiply,auto:gcp,gcp,ok
murant,other,-5.0,negative,medium,walling,auto:gcp,gcp,ok
murmur,verb,4.0,positive,medium,whisper,auto:gcp,gcp,ok
murmurateur,other,-6.0,negative,medium,murmurer,auto:gcp,gcp,ok
murmure,other,-6.0,negative,medium,murmur,auto:gcp,gcp,ok
murmure,verb,4.0,positive,medium,murmur,auto:gcp,gcp,ok
murmurer,verb,4.0,positive,medium,whisper,auto:gcp,gcp,ok
murs,other,5.0,positive,medium,walls,auto:gcp,gcp,ok
muscle,other,3.0,positive,medium,muscle,auto:gcp,gcp,ok
mutuel,other,3.0,positive,medium,mutual,auto:gcp,gcp,ok
myrrhe,other,3.0,positive,medium,myrrh,auto:gcp,gcp,ok
mère,other,3.0,positive,medium,mother,auto:gcp,gcp,ok
mélancolie,other,4.0,positive,medium,melancholy,auto:gcp,gcp,ok
mémoire,other,6.0,positive,medium,memory,auto:gcp,gcp,ok
méprisable,other,-3.0,positive,medium,contemptible,auto:gcp,gcp,ok
mériter,verb,4.0,positive,medium,deserve,auto:gcp,gcp,ok
métier,other,6.0,positive,medium,job,auto:gcp,gcp,ok
nager,verb,4.0,positive,medium,swim,auto:gcp,gcp,ok
naissance,verb,3.0,positive,medium,birth,auto:gcp,gcp,ok
nard,other,6.0,positive,medium,nard,auto:gcp,gcp,ok
narine,other,3.0,positive,medium,nostril,auto:gcp,gcp,ok
nation,other,-5.0,negative,medium,nation,auto:gcp,gcp,ok
naturellement,other,5.0,positive,medium,naturally,auto:gcp,gcp,ok
nauser,verb,-4.0,negative,medium,nauseate,auto:gcp,gcp,ok
neige,other,6.0,positive,medium,snow,auto:gcp,gcp,ok
nerf,other,3.0,positive,medium,nerve,auto:gcp,gcp,ok
netoyer,verb,4.0,positive,medium,clean,auto:gcp,gcp,ok
nier,verb,-5.0,negative,medium,deny,auto:gcp,gcp,ok
noble,other,4.0,positive,medium,noble,auto:gcp,gcp,ok
noixdepalme,other,5.0,positive,medium,palm nut,auto:gcp,gcp,ok
nourire,verb,6.0,positive,medium,to feed,auto:gcp,gcp,ok
nourrice,other,5.0,positive,medium,nurse,auto:gcp,gcp,ok
nourrisson,other,5.0,positive,medium,infant,auto:gcp,gcp,ok
noyer,verb,-5.0,negative,medium,walnut,auto:gcp,gcp,ok
nudité,other,3.0,positive,medium,nudity,auto:gcp,gcp,ok
nuit,other,-5.0,negative,medium,night,auto:gcp,gcp,ok
nullement,other,-6.0,negative,medium,not at all,auto:gcp,gcp,ok
nuque,other,3.0,positive,medium,neck,auto:gcp,gcp,ok
nécessaire,other,-3.0,negative,medium,necessary,auto:gcp,gcp,ok
nécessairement,other,6.0,positive,medium,necessarily,auto:gcp,gcp,ok
nécessiteuse,other,-4.0,negative,medium,needy,auto:gcp,gcp,ok
nécessité,other,6.0,positive,medium,need,auto:gcp,gcp,ok
négliger,other,-5.0,negative,medium,neglect,auto:gcp,gcp,ok
obeir,verb,3.0,positive,medium,obey,auto:gcp,gcp,ok
obeisance,other,3.0,positive,medium,obedience,auto:gcp,gcp,ok
obeissance,other,6.0,positive,medium,obedience,auto:gcp,gcp,ok
obergine,other,5.0,positive,medium,obergine,auto:gcp,gcp,ok
obligation,other,-3.0,negative,medium,obligation,auto:gcp,gcp,ok
obliger,verb,4.0,positive,medium,to obligate,auto:gcp,gcp,ok
obscur,other,-5.0,negative,medium,obscure,auto:gcp,gcp,ok
obstacle,other,-6.0,negative,medium,obstacle,auto:gcp,gcp,ok
oeuil,other,3.0,positive,medium,eye,auto:gcp,gcp,ok
offenser,verb,3.0,positive,medium,offend,auto:gcp,gcp,ok
offrir,verb,3.0,positive,medium,to offer,auto:gcp,gcp,ok
oindre,verb,4.0,positive,medium,anoint,auto:gcp,gcp,ok
oiseau,other,5.0,positive,medium,bird,auto:gcp,gcp,ok
oiseaux,other,3.0,positive,medium,birds,auto:gcp,gcp,ok
oiseux,other,-5.0,negative,medium,bird,auto:gcp,gcp,ok
oncle,other,6.0,positive,medium,uncle,auto:gcp,gcp,ok
ongle,other,3.0,positive,medium,nail,auto:gcp,gcp,ok
onguent,other,3.0,positive,medium,ointment,auto:gcp,gcp,ok
"onze, onzième",expr,6.0,positive,medium,"eleven, eleventh",auto:gcp,gcp,ok
"opinion, propos",expr,4.0,positive,medium,"opinion, remarks",auto:gcp,gcp,ok
opérant,other,3.0,positive,medium,operating,auto:gcp,gcp,ok
orage,other,4.0,positive,medium,thunderstorm,auto:gcp,gcp,ok
orage,verb,5.0,positive,medium,thunderstorm,auto:gcp,gcp,ok
orageux,other,6.0,positive,medium,stormy,auto:gcp,gcp,ok
orateur,other,3.0,positive,medium,speaker,auto:gcp,gcp,ok
organisation,other,3.0,positive,medium,organization,auto:gcp,gcp,ok
orner,other,5.0,positive,medium,adorn,auto:gcp,gcp,ok
orner,verb,5.0,positive,medium,adorn,auto:gcp,gcp,ok
orphelin,other,-6.0,negative,medium,orphan,auto:gcp,gcp,ok
orteil,other,3.0,positive,medium,toe,auto:gcp,gcp,ok
orteils,other,5.0,positive,medium,toes,auto:gcp,gcp,ok
oublieux,other,-5.0,negative,medium,forgetful,auto:gcp,gcp,ok
ouil,other,3.0,positive,medium,yes,auto:gcp,gcp,ok
paisible,other,3.0,positive,medium,peaceful,auto:gcp,gcp,ok
paisiblement,other,-3.0,positive,medium,peacefully,auto:gcp,gcp,ok
pantalon,other,5.0,positive,medium,pants,auto:gcp,gcp,ok
papayer,verb,3.0,positive,medium,papaya,auto:gcp,gcp,ok
paralytique,other,-6.0,negative,medium,paralytic,auto:gcp,gcp,ok
parapluie,other,3.0,positive,medium,umbrella,auto:gcp,gcp,ok
parcelle,other,3.0,positive,medium,plot,auto:gcp,gcp,ok
pardonner,verb,-3.0,negative,medium,forgive,auto:gcp,gcp,ok
pareil,other,4.0,positive,medium,The same,auto:gcp,gcp,ok
parents,other,6.0,positive,medium,parents,auto:gcp,gcp,ok
parenté,other,6.0,positive,medium,relationship,auto:gcp,gcp,ok
paresse,other,3.0,positive,medium,laziness,auto:gcp,gcp,ok
parfait,other,5.0,positive,medium,Perfect,auto:gcp,gcp,ok
paroi blanchie,expr,-3.0,negative,medium,whitewashed wall,auto:gcp,gcp,ok
parole,other,6.0,positive,medium,speech,auto:gcp,gcp,ok
partez,other,3.0,positive,medium,leave,auto:gcp,gcp,ok
participant,other,6.0,positive,medium,participant,auto:gcp,gcp,ok
participation,verb,4.0,positive,medium,participation,auto:gcp,gcp,ok
partir,verb,3.0,positive,medium,leave,auto:gcp,gcp,ok
parure,other,3.0,positive,medium,adornment,auto:gcp,gcp,ok
passage,other,4.0,positive,medium,passage,auto:gcp,gcp,ok
passible,other,5.0,positive,medium,liable,auto:gcp,gcp,ok
patate,other,5.0,positive,medium,potato,auto:gcp,gcp,ok
pauvreté,other,-5.0,negative,medium,poverty,auto:gcp,gcp,ok
pauvreté,verb,5.0,positive,medium,poverty,auto:gcp,gcp,ok
payer,other,3.0,positive,medium,pay,auto:gcp,gcp,ok
pecher,verb,-3.0,negative,medium,sin,auto:gcp,gcp,ok
peine,other,-4.0,positive,medium,penalty,auto:gcp,gcp,ok
peiné,other,-4.0,negative,medium,penalty,auto:gcp,gcp,ok
pensee,verb,6.0,positive,medium,thought,auto:gcp,gcp,ok
penser,verb,3.0,positive,medium,think,auto:gcp,gcp,ok
percevoir,verb,4.0,positive,medium,perceive,auto:gcp,gcp,ok
perclus,other,-5.0,negative,medium,crippled,auto:gcp,gcp,ok
perfection,other,5.0,positive,medium,perfection,auto:gcp,gcp,ok
perfectionnement,verb,3.0,positive,medium,improvement,auto:gcp,gcp,ok
perfidie,verb,-6.0,negative,medium,perfidy,auto:gcp,gcp,ok
periode,other,3.0,positive,medium,period,auto:gcp,gcp,ok
permanent,other,4.0,positive,medium,permanent,auto:gcp,gcp,ok
perplexité,other,-5.0,negative,medium,perplexity,auto:gcp,gcp,ok
persévérer,other,4.0,positive,medium,persevere,auto:gcp,gcp,ok
pesant,other,-3.0,negative,medium,heavy,auto:gcp,gcp,ok
pete,verb,-3.0,negative,medium,pete,auto:gcp,gcp,ok
petite foi,expr,-3.0,negative,medium,little faith,auto:gcp,gcp,ok
petittrou,other,3.0,positive,medium,small hole,auto:gcp,gcp,ok
peur,other,-4.0,negative,medium,fear,auto:gcp,gcp,ok
pieds,verb,3.0,positive,medium,feet,auto:gcp,gcp,ok
pierds,other,3.0,positive,medium,stones,auto:gcp,gcp,ok
pierre,other,3.0,positive,medium,rock ,auto:gcp,gcp,ok
pierre (cause d'achoppement),expr,5.0,positive,medium,stone (cause of stumbling),auto:gcp,gcp,ok
piesse,other,3.0,positive,medium,piesse,auto:gcp,gcp,ok
pipi,other,6.0,positive,medium,pee,auto:gcp,gcp,ok
pite,other,-4.0,negative,medium,pite,auto:gcp,gcp,ok
pitié,other,4.0,positive,medium,pity,auto:gcp,gcp,ok
pièce,other,4.0,positive,medium,piece,auto:gcp,gcp,ok
piège,other,-3.0,positive,medium,trap,auto:gcp,gcp,ok
piétiner,other,3.0,positive,medium,trample,auto:gcp,gcp,ok
piété,other,4.0,positive,medium,piety,auto:gcp,gcp,ok
plaie,other,3.0,positive,medium,wound,auto:gcp,gcp,ok
plaisanterie,other,5.0,positive,medium,joke,auto:gcp,gcp,ok
plaisir,other,6.0,positive,medium,pleasure,auto:gcp,gcp,ok
plaisir,verb,4.0,positive,medium,pleasure,auto:gcp,gcp,ok
pleur,other,-6.0,negative,medium,cry,auto:gcp,gcp,ok
pleurer,verb,-4.0,negative,medium,cry,auto:gcp,gcp,ok
pleuvoir,other,3.0,positive,medium,rain,auto:gcp,gcp,ok
pleuvoir,verb,4.0,positive,medium,rain,auto:gcp,gcp,ok
plier,verb,3.0,positive,medium,bend,auto:gcp,gcp,ok
plonger,other,-3.0,negative,medium,dive,auto:gcp,gcp,ok
plume,other,3.0,positive,medium,feather,auto:gcp,gcp,ok
plâtre,other,3.0,positive,medium,plaster,auto:gcp,gcp,ok
plénitude,other,6.0,positive,medium,fullness,auto:gcp,gcp,ok
pocession,other,3.0,positive,medium,possession,auto:gcp,gcp,ok
poind,other,6.0,positive,medium,point,auto:gcp,gcp,ok
poitrine,other,3.0,positive,medium,chest,auto:gcp,gcp,ok
pont,other,3.0,positive,medium,bridge,auto:gcp,gcp,ok
populace,other,-5.0,negative,medium,populace,auto:gcp,gcp,ok
porc,other,3.0,positive,medium,pork,auto:gcp,gcp,ok
porte,other,5.0,positive,medium,door,auto:gcp,gcp,ok
possession,other,5.0,positive,medium,possession,auto:gcp,gcp,ok
potier,other,6.0,positive,medium,potter,auto:gcp,gcp,ok
pourceau,other,-6.0,negative,medium,pig,auto:gcp,gcp,ok
poursuivre,other,4.0,positive,medium,pursue,auto:gcp,gcp,ok
pousser,verb,4.0,positive,medium,push,auto:gcp,gcp,ok
poussière,other,3.0,positive,medium,dust,auto:gcp,gcp,ok
pouvoir,other,3.0,positive,medium,power,auto:gcp,gcp,ok
poêle,other,4.0,positive,medium,stove,auto:gcp,gcp,ok
precher,verb,3.0,positive,medium,preach,auto:gcp,gcp,ok
premier,other,5.0,positive,medium,first,auto:gcp,gcp,ok
prends,other,6.0,positive,medium,take,auto:gcp,gcp,ok
preparer,verb,3.0,positive,medium,prepare,auto:gcp,gcp,ok
pressoire,other,6.0,positive,medium,press,auto:gcp,gcp,ok
preuve,other,4.0,positive,medium,evidence,auto:gcp,gcp,ok
prier,verb,3.0,positive,medium,pray,auto:gcp,gcp,ok
prince,other,4.0,positive,medium,prince,auto:gcp,gcp,ok
principal,other,4.0,positive,medium,main,auto:gcp,gcp,ok
principe,other,6.0,positive,medium,principle,auto:gcp,gcp,ok
prisonnier,other,-6.0,negative,medium,prisoner,auto:gcp,gcp,ok
prière,other,3.0,positive,medium,prayer,auto:gcp,gcp,ok
probleme,other,3.0,positive,medium,issue,auto:gcp,gcp,ok
problèm,other,4.0,positive,medium,problem,auto:gcp,gcp,ok
problème,other,3.0,positive,medium,issue,auto:gcp,gcp,ok
proclamer,verb,4.0,positive,medium,proclaim,auto:gcp,gcp,ok
procès,other,-6.0,negative,medium,trial,auto:gcp,gcp,ok
prodige,other,4.0,positive,medium,prodigy,auto:gcp,gcp,ok
produit,other,5.0,positive,medium,product,auto:gcp,gcp,ok
profit,other,4.0,positive,medium,profit,auto:gcp,gcp,ok
profitable,other,5.0,positive,medium,profitable,auto:gcp,gcp,ok
prolonger,other,3.0,positive,medium,extend,auto:gcp,gcp,ok
promesse,other,5.0,positive,medium,promise,auto:gcp,gcp,ok
promesses,other,5.0,positive,medium,promises,auto:gcp,gcp,ok
propager,verb,4.0,positive,medium,spread,auto:gcp,gcp,ok
prophète,other,5.0,positive,medium,prophet,auto:gcp,gcp,ok
prophétesse,other,5.0,positive,medium,prophetess,auto:gcp,gcp,ok
prophétique,other,5.0,positive,medium,prophetic,auto:gcp,gcp,ok
propitiation,other,3.0,positive,medium,propitiation,auto:gcp,gcp,ok
proposer,verb,3.0,positive,medium,to propose,auto:gcp,gcp,ok
prostituer,other,-3.0,negative,medium,prostitute,auto:gcp,gcp,ok
prostitution,other,3.0,positive,medium,prostitution,auto:gcp,gcp,ok
prosélyte,other,6.0,positive,medium,proselyte,auto:gcp,gcp,ok
proteger,verb,3.0,positive,medium,protect,auto:gcp,gcp,ok
protocole,other,4.0,positive,medium,protocol,auto:gcp,gcp,ok
protèger,verb,4.0,positive,medium,protect,auto:gcp,gcp,ok
protéger,verb,4.0,positive,medium,protect,auto:gcp,gcp,ok
préférence,other,6.0,positive,medium,preference,auto:gcp,gcp,ok
préparation,verb,4.0,positive,medium,preparation,auto:gcp,gcp,ok
présence,other,6.0,positive,medium,presence,auto:gcp,gcp,ok
présence,verb,4.0,positive,medium,presence,auto:gcp,gcp,ok
présent,other,4.0,positive,medium,here,auto:gcp,gcp,ok
prêt,other,6.0,positive,medium,ready,auto:gcp,gcp,ok
prêtrise,other,3.0,positive,medium,priesthood,auto:gcp,gcp,ok
publier,verb,3.0,positive,medium,publish,auto:gcp,gcp,ok
puce,other,3.0,positive,medium,chip,auto:gcp,gcp,ok
puissant,other,6.0,positive,medium,powerful,auto:gcp,gcp,ok
puit,other,3.0,positive,medium,well,auto:gcp,gcp,ok
puits,other,-5.0,negative,medium,well,auto:gcp,gcp,ok
punir,verb,3.0,positive,medium,punish,auto:gcp,gcp,ok
pur,other,3.0,positive,medium,pure,auto:gcp,gcp,ok
purification,other,4.0,positive,medium,purification,auto:gcp,gcp,ok
purifier,verb,4.0,positive,medium,purify,auto:gcp,gcp,ok
pute,other,4.0,positive,medium,whore,auto:gcp,gcp,ok
pâture,other,5.0,positive,medium,pasture,auto:gcp,gcp,ok
père,other,3.0,positive,medium,father,auto:gcp,gcp,ok
pécher,other,-3.0,negative,medium,sin,auto:gcp,gcp,ok
pénétrant,other,5.0,positive,medium,penetrating,auto:gcp,gcp,ok
quadrant,other,3.0,positive,medium,quadrant,auto:gcp,gcp,ok
quitter,verb,-4.0,negative,medium,to leave,auto:gcp,gcp,ok
racheter,verb,3.0,positive,medium,redeem,auto:gcp,gcp,ok
rafraîchissement,other,3.0,positive,medium,refreshment,auto:gcp,gcp,ok
rage/colere,other,-3.0,negative,medium,rage/anger,auto:gcp,gcp,ok
ramasse,verb,4.0,positive,medium,pick up,auto:gcp,gcp,ok
rancune,other,-6.0,negative,medium,grudge,auto:gcp,gcp,ok
ranger,verb,5.0,positive,medium,to put away,auto:gcp,gcp,ok
ransembler,verb,3.0,positive,medium,to reassemble,auto:gcp,gcp,ok
rassasier,other,3.0,positive,medium,to satiate,auto:gcp,gcp,ok
rassasier,verb,3.0,positive,medium,to satiate,auto:gcp,gcp,ok
rat,other,5.0,positive,medium,rat,auto:gcp,gcp,ok
ravin,other,3.0,positive,medium,ravine,auto:gcp,gcp,ok
realiser,verb,4.0,positive,medium,realize,auto:gcp,gcp,ok
reception,verb,3.0,positive,medium,reception,auto:gcp,gcp,ok
recevoir,verb,3.0,positive,medium,receive,auto:gcp,gcp,ok
recolter,verb,4.0,positive,medium,harvest,auto:gcp,gcp,ok
reconnaissance,other,4.0,positive,medium,acknowledgement,auto:gcp,gcp,ok
reconnaitre,other,3.0,positive,medium,recognize,auto:gcp,gcp,ok
reconnaître,verb,3.0,positive,medium,recognize,auto:gcp,gcp,ok
recouvrement,other,5.0,positive,medium,recovery,auto:gcp,gcp,ok
redressement,other,3.0,positive,medium,recovery,auto:gcp,gcp,ok
refaire,verb,3.0,positive,medium,redo,auto:gcp,gcp,ok
regarde,other,3.0,positive,medium,look at,auto:gcp,gcp,ok
regretter,verb,-3.0,negative,medium,regret,auto:gcp,gcp,ok
reguler,verb,3.0,positive,medium,regulate,auto:gcp,gcp,ok
reine,other,4.0,positive,medium,queen,auto:gcp,gcp,ok
reins,other,-3.0,negative,medium,kidneys,auto:gcp,gcp,ok
relèvement,other,4.0,positive,medium,recovery,auto:gcp,gcp,ok
remarche,verb,3.0,positive,medium,walk again,auto:gcp,gcp,ok
remporter,verb,4.0,positive,medium,win,auto:gcp,gcp,ok
renard,other,-6.0,negative,medium,fox,auto:gcp,gcp,ok
rencontre,other,3.0,positive,medium,encounter,auto:gcp,gcp,ok
rendreheureux,verb,6.0,positive,medium,make happy,auto:gcp,gcp,ok
renfermer,other,3.0,positive,medium,to enclose,auto:gcp,gcp,ok
repentance,other,4.0,positive,medium,repentance,auto:gcp,gcp,ok
repentance,verb,5.0,positive,medium,repentance,auto:gcp,gcp,ok
repentir,verb,6.0,positive,medium,repentance,auto:gcp,gcp,ok
repot,other,3.0,positive,medium,repot,auto:gcp,gcp,ok
reprimande,other,-4.0,negative,medium,reprimand,auto:gcp,gcp,ok
reprises,other,3.0,neutral,medium,covers,auto:gcp,gcp,ok
reproche,other,-6.0,negative,medium,reproach,auto:gcp,gcp,ok
reprocher,verb,3.0,positive,medium,to reproach,auto:gcp,gcp,ok
représenter,verb,4.0,positive,medium,represent,auto:gcp,gcp,ok
respect,other,4.0,positive,medium,respect,auto:gcp,gcp,ok
respecter,other,4.0,positive,medium,respect,auto:gcp,gcp,ok
respiration,other,4.0,positive,medium,breathing,auto:gcp,gcp,ok
ressemblance,other,5.0,positive,medium,resemblance,auto:gcp,gcp,ok
ressembler,verb,3.0,positive,medium,look like,auto:gcp,gcp,ok
resultat,other,3.0,positive,medium,result,auto:gcp,gcp,ok
retentissant,other,5.0,positive,medium,resounding,auto:gcp,gcp,ok
retirer,verb,4.0,positive,medium,withdraw,auto:gcp,gcp,ok
retourne,other,6.0,positive,medium,returns,auto:gcp,gcp,ok
retrouver,verb,5.0,positive,medium,find,auto:gcp,gcp,ok
reunion,other,4.0,positive,medium,meeting,auto:gcp,gcp,ok
reusir,verb,5.0,positive,medium,to succeed,auto:gcp,gcp,ok
