CILUBA,French,French_norm,Score,Score_int,Sentiment,Sentiment_std,Nature,Nature_std,qa_status,english,notes,source,qa_status_translate
tshikolowu,Torchon,torchon,1.0,1.0,Positif,positive,Mot,other,ok,dishcloth,auto:gcp,gcp,ok
mutshi,Plante,plante,1.0,1.0,Positif,positive,Mot,other,ok,plant,auto:gcp,gcp,ok
mbindi,Corps,corps,1.0,1.0,Positif,positive,Mot,other,ok,body,auto:gcp,gcp,ok
nzembua,Courant,courant,1.0,1.0,Positif,positive,Mot,other,ok,fluent,auto:gcp,gcp,ok
ngumu,Information,information,1.0,1.0,Positif,positive,Mot,other,ok,information,auto:gcp,gcp,ok
kuakula,Parler,parler,1.0,1.0,Positif,positive,Verbe,verb,ok,talk,auto:gcp,gcp,ok
kudia,Manger,manger,1.0,1.0,Positif,positive,Verbe,verb,ok,eat,auto:gcp,gcp,ok
kuvila,Nier,nier,1.0,1.0,Positif,positive,Verbe,verb,ok,deny,auto:gcp,gcp,ok
maja,Danse,danse,1.0,1.0,Positif,positive,Verbe,verb,ok,dance,auto:gcp,gcp,ok
kutuadija,Désormais,désormais,1.0,1.0,Positif,positive,Mot,other,ok,From now on,auto:gcp,gcp,ok
bulongama,Ordre,ordre,1.0,1.0,Positif,positive,Mot,other,ok,order,auto:gcp,gcp,ok
tshitalu,Cadavre,cadavre,-7.0,-7.0,Negatif,negative,Mot,other,ok,corpse,auto:gcp,gcp,ok
lufu,Mort,mort,-9.0,-9.0,Negatif,negative,Mot,other,ok,dead,auto:gcp,gcp,ok
nzambi,Dieu,dieu,9.0,9.0,Positif,positive,Mot,other,ok,God,auto:gcp,gcp,ok
musalayi,Militaire,militaire,-2.0,-2.0,Negatif,negative,Mot,other,ok,military,auto:gcp,gcp,ok
pulushi,Policier,policier,-1.0,-1.0,Negatif,negative,Mot,other,ok,police officer,auto:gcp,gcp,ok
kukumbaja,Ajouter,ajouter,3.0,3.0,Positif,positive,Verbe,verb,ok,add,auto:gcp,gcp,ok
muloji,Sorcier,sorcier,-7.0,-7.0,Negatif,negative,Mot,other,ok,sorcerer,auto:gcp,gcp,ok
mianda,Histoire,histoire,4.0,4.0,Positif,positive,Mot,other,ok,history,auto:gcp,gcp,ok
kuleja,Montrer,montrer,4.0,4.0,Positif,positive,Mot,other,ok,to show,auto:gcp,gcp,ok
bindidimbi,Image,image,4.0,4.0,Positif,positive,Mot,other,ok,picture,auto:gcp,gcp,ok
ndumba,Pute,pute,4.0,4.0,Positif,positive,Mot,other,ok,whore,auto:gcp,gcp,ok
nzubu,Maison,maison,4.0,4.0,Positif,positive,Mot,other,ok,House,auto:gcp,gcp,ok
kulama,Protéger,protéger,4.0,4.0,Positif,positive,Verbe,verb,ok,protect,auto:gcp,gcp,ok
nsentedi,Sentinelle,sentinelle,4.0,4.0,Positif,positive,Mot,other,ok,sentinel,auto:gcp,gcp,ok
nyoka,Serpent,serpent,-5.0,-5.0,Negatif,negative,Mot,other,ok,snake,auto:gcp,gcp,ok
bualu,Probleme,probleme,3.0,3.0,Positif,positive,Mot,other,ok,issue,auto:gcp,gcp,ok
mudimu,Travail,travail,3.0,3.0,Positif,positive,Mot,other,ok,work,auto:gcp,gcp,ok
munyinyi,Viande,viande,3.0,3.0,Positif,positive,Mot,other,ok,meat,auto:gcp,gcp,ok
tshito,Plâtre,plâtre,3.0,3.0,Positif,positive,Mot,other,ok,plaster,auto:gcp,gcp,ok
mputa,Plaie,plaie,3.0,3.0,Positif,positive,Mot,other,ok,wound,auto:gcp,gcp,ok
tshimanu,Mur,mur,3.0,3.0,Positif,positive,Mot,other,ok,wall,auto:gcp,gcp,ok
tshingoma,Arme,arme,-3.0,-3.0,Negatif,negative,Mot,other,ok,armed,auto:gcp,gcp,ok
kulekela,Laisser,laisser,5.0,5.0,Positif,positive,Mot,other,ok,to leave,auto:gcp,gcp,ok
kuehuka,Eviter,eviter,5.0,5.0,Positif,positive,Mot,other,ok,avoid,auto:gcp,gcp,ok
muinshi,Pilon,pilon,5.0,5.0,Positif,positive,Mot,other,ok,pestle,auto:gcp,gcp,ok
muhanji,Malaxeur,malaxeur,5.0,5.0,Positif,positive,Mot,other,ok,mixer,auto:gcp,gcp,ok
tshinu,Mortier,mortier,5.0,5.0,Positif,positive,Mot,other,ok,mortar,auto:gcp,gcp,ok
mpuku,Rat,rat,5.0,5.0,Positif,positive,Mot,other,ok,rat,auto:gcp,gcp,ok
mbindi,Corps,corps,5.0,5.0,Positif,positive,Mot,other,ok,body,auto:gcp,gcp,ok
luhangu,Parcelle,parcelle,5.0,5.0,Positif,positive,Mot,other,ok,plot,auto:gcp,gcp,ok
lubilu,Vitesse,vitesse,5.0,5.0,Positif,positive,Mot,other,ok,speed,auto:gcp,gcp,ok
tshibi,Porte,porte,5.0,5.0,Positif,positive,Mot,other,ok,door,auto:gcp,gcp,ok
disu,Œil,œil,5.0,5.0,Positif,positive,Mot,other,ok,eye,auto:gcp,gcp,ok
ditshi,Oreille,oreille,5.0,5.0,Positif,positive,Mot,other,ok,ear,auto:gcp,gcp,ok
dinanga,Amour,amour,5.0,5.0,Positif,positive,Mot,other,ok,love,auto:gcp,gcp,ok
mukanda,Livre,livre,5.0,5.0,Positif,positive,Mot,other,ok,book,auto:gcp,gcp,ok
mutshi,Arbre,arbre,5.0,5.0,Positif,positive,Mot,other,ok,TREE,auto:gcp,gcp,ok
bukondo,Filet,filet,5.0,5.0,Positif,positive,Mot,other,ok,net,auto:gcp,gcp,ok
bisonsa,Herbes,herbes,5.0,5.0,Positif,positive,Mot,other,ok,herbs,auto:gcp,gcp,ok
mukidi,Canal,canal,5.0,5.0,Positif,positive,Mot,other,ok,channel,auto:gcp,gcp,ok
katumba,Tracteur,tracteur,5.0,5.0,Positif,positive,Mot,other,ok,tractor,auto:gcp,gcp,ok
mateta,Examen,examen,5.0,5.0,Positif,positive,Mot,other,ok,exam,auto:gcp,gcp,ok
lukombo,Balais,balais,5.0,5.0,Positif,positive,Mot,other,ok,brooms,auto:gcp,gcp,ok
lumbombo,Hypocrisie,hypocrisie,-6.0,-6.0,Negatif,negative,Mot,other,ok,hypocrisy,auto:gcp,gcp,ok
Akula,parle,parle,2.0,2.0,Positif,positive,Verbe,verb,ok,speak,auto:gcp,gcp,ok
Akulula,reparler,reparler,2.0,2.0,Positif,positive,Verbe,verb,ok,talk again,auto:gcp,gcp,ok
Akaja,Arranger,arranger,2.0,2.0,Positif,positive,Verbe,verb,ok,arrange,auto:gcp,gcp,ok
Akajulula,réarranger,réarranger,2.0,2.0,Positif,positive,Verbe,verb,ok,rearrange,auto:gcp,gcp,ok
Ambulula,répète,répète,2.0,2.0,Positif,positive,Verbe,verb,ok,repeated,auto:gcp,gcp,ok
Aluja,remet,remet,2.0,2.0,Positif,positive,Verbe,verb,ok,hands over,auto:gcp,gcp,ok
Alujulula,réremettre,réremettre,2.0,2.0,Positif,positive,Verbe,verb,ok,to hand over,auto:gcp,gcp,ok
Andamuna,repond,repond,2.0,2.0,Positif,positive,Verbe,verb,ok,answers,auto:gcp,gcp,ok
Ambuluja,dépêcher,dépêcher,2.0,2.0,Positif,positive,Verbe,verb,ok,hurry,auto:gcp,gcp,ok
Amba:dire,dire,dire,2.0,2.0,Positif,positive,Verbe,verb,ok,say,auto:gcp,gcp,ok
Ambulula,répéter,répéter,2.0,2.0,Positif,positive,Verbe,verb,ok,repeat,auto:gcp,gcp,ok
Angula,ramasser,ramasser,2.0,2.0,Positif,positive,Verbe,verb,ok,pick up,auto:gcp,gcp,ok
Angulula,reramasse,reramasse,2.0,2.0,Positif,positive,Verbe,verb,ok,recollect,auto:gcp,gcp,ok
Ambakaja,superposer,superposer,2.0,2.0,Positif,positive,Verbe,verb,ok,superimpose,auto:gcp,gcp,ok
Andamuna,répondre,répondre,2.0,2.0,Positif,positive,Verbe,verb,ok,answer,auto:gcp,gcp,ok
Angata,prend,prend,2.0,2.0,Positif,positive,Verbe,verb,ok,takes,auto:gcp,gcp,ok
Bukenka,lumière,lumière,2.0,2.0,Positif,positive,Verbe,verb,ok,light,auto:gcp,gcp,ok
Bikasa,cérémoniecoutumière,cérémoniecoutumière,2.0,2.0,Positif,positive,Mot,other,ok,customary ceremony,auto:gcp,gcp,ok
Buloba,terre,terre,2.0,2.0,Positif,positive,Mot,other,ok,earth,auto:gcp,gcp,ok
Binsonji,leslarmes,leslarmes,2.0,2.0,Positif,positive,Mot,other,ok,tears,auto:gcp,gcp,ok
Bilela,jeu,jeu,2.0,2.0,Positif,positive,Mot,other,ok,game,auto:gcp,gcp,ok
Bilamba,habits,habits,2.0,2.0,Positif,positive,Mot,other,ok,clothes,auto:gcp,gcp,ok
Biluatu,vêtements,vêtements,2.0,2.0,Positif,positive,Mot,other,ok,clothes,auto:gcp,gcp,ok
Busuyi,Caboche,caboche,2.0,2.0,Positif,positive,Mot,other,ok,noggin,auto:gcp,gcp,ok
Bufuki,créature,créature,2.0,2.0,Positif,positive,Mot,other,ok,creature,auto:gcp,gcp,ok
Biunvuidi,écouteurs,écouteurs,2.0,2.0,Positif,positive,Mot,other,ok,headphones,auto:gcp,gcp,ok
Biuma,dote,dote,2.0,2.0,Positif,positive,Mot,other,ok,dowry,auto:gcp,gcp,ok
Binvundu,désordres,désordres,-8.0,-8.0,Negatif,negative,Mot,other,ok,disorders,auto:gcp,gcp,ok
Bilongu,fleurs,fleurs,6.0,6.0,Positif,positive,Mot,other,ok,flowers,auto:gcp,gcp,ok
Bunia,plier,plier,6.0,6.0,Positif,positive,Verbe,verb,ok,bend,auto:gcp,gcp,ok
Bulela,connaissance,connaissance,6.0,6.0,Positif,positive,Mot,other,ok,awareness,auto:gcp,gcp,ok
Bujitu,poind,poind,6.0,6.0,Positif,positive,Mot,other,ok,point,auto:gcp,gcp,ok
Bunsantu,sainteté,sainteté,6.0,6.0,Positif,positive,Mot,other,ok,holiness,auto:gcp,gcp,ok
Busenji,imbécillité,imbécillité,-3.0,-3.0,Negatif,negative,Mot,other,ok,imbecility,auto:gcp,gcp,ok
Bantu,lesgens,lesgens,4.0,4.0,Positif,positive,Mot,other,ok,people,auto:gcp,gcp,ok
Bansantu,lessaints,lessaints,4.0,4.0,Positif,positive,Mot,other,ok,lessains,auto:gcp,gcp,ok
Banjelu,lesanges,lesanges,4.0,4.0,Positif,positive,Mot,other,ok,angels,auto:gcp,gcp,ok
Buinvi,levol,levol,-7.0,-7.0,Negatif,negative,Mot,other,ok,theft,auto:gcp,gcp,ok
Buikila,ferme,ferme,-5.0,-5.0,Negatif,negative,Mot,other,ok,farm,auto:gcp,gcp,ok
Butaka,sexe,sexe,3.0,3.0,Positif,positive,Mot,other,ok,sex,auto:gcp,gcp,ok
Bualu,lit,lit,3.0,3.0,Positif,positive,Mot,other,ok,bed,auto:gcp,gcp,ok
Bufuka,fertile,fertile,3.0,3.0,Positif,positive,Mot,other,ok,fertile,auto:gcp,gcp,ok
Bueja,entre,entre,3.0,3.0,Positif,positive,Mot,other,ok,between,auto:gcp,gcp,ok
Buatu,bateau,bateau,3.0,3.0,Positif,positive,Mot,other,ok,boat,auto:gcp,gcp,ok
Benga,réfut,réfut,3.0,3.0,Positif,positive,Mot,other,ok,refutation,auto:gcp,gcp,ok
Bukula,farine,farine,3.0,3.0,Positif,positive,Mot,other,ok,flour,auto:gcp,gcp,ok
Busa,l'oseille,l'oseille,3.0,3.0,Positif,positive,Mot,other,ok,sorrel,auto:gcp,gcp,ok
Bundu,honte,honte,-7.0,-7.0,Negatif,negative,Mot,other,ok,shame,auto:gcp,gcp,ok
Bintu,choses,choses,3.0,3.0,Positif,positive,Mot,other,ok,things,auto:gcp,gcp,ok
Bilela,blague,blague,3.0,3.0,Positif,positive,Mot,other,ok,joke,auto:gcp,gcp,ok
Bînenka,trèsbien,trèsbien,3.0,3.0,Positif,positive,Mot,other,ok,Alright,auto:gcp,gcp,ok
Dîku,famille,famille,3.0,3.0,Positif,positive,Mot,other,ok,family,auto:gcp,gcp,ok
Bidia,foufou,foufou,3.0,3.0,Positif,positive,Mot,other,ok,crazy,auto:gcp,gcp,ok
Dikalu,vélo,vélo,3.0,3.0,Positif,positive,Mot,other,ok,bike,auto:gcp,gcp,ok
Dikasa,pied,pied,3.0,3.0,Positif,positive,Mot,other,ok,foot,auto:gcp,gcp,ok
Disambila,prière,prière,3.0,3.0,Positif,positive,Mot,other,ok,prayer,auto:gcp,gcp,ok
Dikumi,dix,dix,3.0,3.0,Positif,positive,Mot,other,ok,ten,auto:gcp,gcp,ok
Difu,ventre,ventre,3.0,3.0,Positif,positive,Mot,other,ok,belly,auto:gcp,gcp,ok
Diakalenga,bonheur,bonheur,3.0,3.0,Positif,positive,Mot,other,ok,happiness,auto:gcp,gcp,ok
Dîkisha,repot,repot,3.0,3.0,Positif,positive,Mot,other,ok,repot,auto:gcp,gcp,ok
Dikumbi,parapluie,parapluie,3.0,3.0,Positif,positive,Mot,other,ok,umbrella,auto:gcp,gcp,ok
Dindila,attente,attente,3.0,3.0,Positif,positive,Mot,other,ok,waiting,auto:gcp,gcp,ok
Disoso,trou,trou,3.0,3.0,Positif,positive,Mot,other,ok,hole,auto:gcp,gcp,ok
Dikela,petittrou,petittrou,3.0,3.0,Positif,positive,Mot,other,ok,small hole,auto:gcp,gcp,ok
Dilongu,casserole,casserole,3.0,3.0,Positif,positive,Mot,other,ok,pan,auto:gcp,gcp,ok
Ditalaji,l'ombrage,l'ombrage,3.0,3.0,Positif,positive,Mot,other,ok,the shading,auto:gcp,gcp,ok
Diata,piétiner,piétiner,3.0,3.0,Positif,positive,Mot,other,ok,trample,auto:gcp,gcp,ok
Dienzejibua,obligation,obligation,3.0,3.0,Positif,positive,Mot,other,ok,obligation,auto:gcp,gcp,ok
Diandamuna,réponse,réponse,3.0,3.0,Positif,positive,Mot,other,ok,answer,auto:gcp,gcp,ok
Dikokesha,gouverner,gouverner,3.0,3.0,Positif,positive,Verbe,verb,ok,govern,auto:gcp,gcp,ok
Diobesha,marquer,marquer,3.0,3.0,Positif,positive,Verbe,verb,ok,mark,auto:gcp,gcp,ok
Dituntumuna,transporter,transporter,3.0,3.0,Positif,positive,Verbe,verb,ok,carry,auto:gcp,gcp,ok
Diambuluisha,aider,aider,3.0,3.0,Positif,positive,Verbe,verb,ok,help,auto:gcp,gcp,ok
Dibandishibua,élever,élever,3.0,3.0,Positif,positive,Verbe,verb,ok,raise,auto:gcp,gcp,ok
Dibanjija,dédicacé,dédicacé,3.0,3.0,Positif,positive,Mot,other,ok,dedication,auto:gcp,gcp,ok
Dilombodibua,êtreconduit,êtreconduit,3.0,3.0,Positif,positive,Mot,other,ok,to be led,auto:gcp,gcp,ok
Dipangadika,décision,décision,3.0,3.0,Positif,positive,Mot,other,ok,decision,auto:gcp,gcp,ok
Didisuila,publier,publier,3.0,3.0,Positif,positive,Verbe,verb,ok,publish,auto:gcp,gcp,ok
Disama,maladie,maladie,3.0,3.0,Positif,positive,Mot,other,ok,disease,auto:gcp,gcp,ok
Diepuka,dévier,dévier,3.0,3.0,Positif,positive,Verbe,verb,ok,deviate,auto:gcp,gcp,ok
Dielakana,confondre,confondre,3.0,3.0,Positif,positive,Verbe,verb,ok,to confuse,auto:gcp,gcp,ok
Dialakana,envier,envier,3.0,3.0,Positif,positive,Verbe,verb,ok,envy,auto:gcp,gcp,ok
Dîtu,forêt,forêt,3.0,3.0,Positif,positive,Mot,other,ok,forest,auto:gcp,gcp,ok
Ebeja,demander,demander,3.0,3.0,Positif,positive,Verbe,verb,ok,ask,auto:gcp,gcp,ok
Elela,mettre,mettre,3.0,3.0,Positif,positive,Verbe,verb,ok,put,auto:gcp,gcp,ok
Elesha,mettredansunechose,mettredansunechose,3.0,3.0,Positif,positive,Verbe,verb,ok,put into something,auto:gcp,gcp,ok
Enzela,faire,faire,3.0,3.0,Positif,positive,Verbe,verb,ok,TO DO,auto:gcp,gcp,ok
Enzulula,refaire,refaire,3.0,3.0,Positif,positive,Verbe,verb,ok,redo,auto:gcp,gcp,ok
Enda,marche,marche,3.0,3.0,Positif,positive,Verbe,verb,ok,walk,auto:gcp,gcp,ok
Endulula,remarche,remarche,3.0,3.0,Positif,positive,Verbe,verb,ok,walk again,auto:gcp,gcp,ok
Eku,ici,ici,3.0,3.0,Positif,positive,Mot,other,ok,here,auto:gcp,gcp,ok
Enda,marcher,marcher,3.0,3.0,Positif,positive,Verbe,verb,ok,to walk,auto:gcp,gcp,ok
Funda,écrire,écrire,3.0,3.0,Positif,positive,Verbe,verb,ok,to write,auto:gcp,gcp,ok
Fundulula,réécrire,réécrire,3.0,3.0,Positif,positive,Verbe,verb,ok,rewrite,auto:gcp,gcp,ok
Fimbu,foué,foué,3.0,3.0,Positif,positive,Mot,other,ok,crazy,auto:gcp,gcp,ok
Ikila,causer,causer,3.0,3.0,Positif,positive,Verbe,verb,ok,cause,auto:gcp,gcp,ok
Indila,attend,attend,3.0,3.0,Positif,positive,Verbe,verb,ok,wait,auto:gcp,gcp,ok
Ikala,soit,soit,0.0,0.0,Neutre,neutral,Verbe,verb,ok,either,auto:gcp,gcp,ok
Kasuyi,haché,haché,3.0,3.0,Positif,positive,Mot,other,ok,ax,auto:gcp,gcp,ok
Kela,couto,couto,3.0,3.0,Positif,positive,Mot,other,ok,couto,auto:gcp,gcp,ok
Kalalu,berceau,berceau,3.0,3.0,Positif,positive,Mot,other,ok,cradle,auto:gcp,gcp,ok
Kalulu,lapin,lapin,3.0,3.0,Positif,positive,Mot,other,ok,rabbit,auto:gcp,gcp,ok
Kawundu,eguille,eguille,3.0,3.0,Positif,positive,Mot,other,ok,needle,auto:gcp,gcp,ok
Kenga,souffres,souffres,3.0,3.0,Positif,positive,Mot,other,ok,suffers,auto:gcp,gcp,ok
Kanga,ferme,ferme,3.0,3.0,Positif,positive,Mot,other,ok,farm,auto:gcp,gcp,ok
Konga,s'informer,s'informer,3.0,3.0,Positif,positive,Verbe,verb,ok,to inquire,auto:gcp,gcp,ok
Kupuekela,abaissement,abaissement,3.0,3.0,Positif,positive,Mot,other,ok,lowering,auto:gcp,gcp,ok
Kulekela,abandon,abandon,3.0,3.0,Positif,positive,Mot,other,ok,abandon,auto:gcp,gcp,ok
Mukumike,abattu,abattu,3.0,3.0,Positif,positive,Mot,other,ok,shot dead,auto:gcp,gcp,ok
Mudishikamine,affranchi,affranchi,3.0,3.0,Positif,positive,Mot,other,ok,freed,auto:gcp,gcp,ok
Muenatshinyangu,abominable,abominable,3.0,3.0,Positif,positive,Mot,other,ok,abominable,auto:gcp,gcp,ok
Bidia,agapes,agapes,3.0,3.0,Positif,positive,Mot,other,ok,feasts,auto:gcp,gcp,ok
Kujimija,abolition,abolition,3.0,3.0,Positif,positive,Mot,other,ok,abolition,auto:gcp,gcp,ok
Tshiakanetshiditshianyisha,agreeable,agreeable,3.0,3.0,Positif,positive,Mot,other,ok,pleasant,auto:gcp,gcp,ok
Tshiabuny,abondamment,abondamment,3.0,3.0,Positif,positive,Mot,other,ok,abundantly,auto:gcp,gcp,ok
Bidimu,age,age,3.0,3.0,Positif,positive,Mot,other,ok,age,auto:gcp,gcp,ok
Kuvula,abondance,abondance,3.0,3.0,Positif,positive,Mot,other,ok,abundance,auto:gcp,gcp,ok
Dieba,aiguillon,aiguillon,3.0,3.0,Positif,positive,Mot,other,ok,sting,auto:gcp,gcp,ok
Kumusha,abrogation,abrogation,3.0,3.0,Positif,positive,Mot,other,ok,repeal,auto:gcp,gcp,ok
Mapuapua,aile,aile,3.0,3.0,Positif,positive,Mot,other,ok,wing,auto:gcp,gcp,ok
Dipumbishibua,absence,absence,3.0,3.0,Positif,positive,Mot,other,ok,absence,auto:gcp,gcp,ok
Kukuabu,ailleurs,ailleurs,3.0,3.0,Positif,positive,Mot,other,ok,elsewhere,auto:gcp,gcp,ok
Bululu,absinthe,absinthe,3.0,3.0,Positif,positive,Mot,other,ok,absinthe,auto:gcp,gcp,ok
Tshimuenenu,airapparencevisuel,airapparencevisuel,3.0,3.0,Positif,positive,Mot,other,ok,airappearancevisual,auto:gcp,gcp,ok
Menemene,absolument,absolument,3.0,3.0,Positif,positive,Mot,other,ok,absolutely,auto:gcp,gcp,ok
Tshituilu,aire,aire,3.0,3.0,Positif,positive,Mot,other,ok,area,auto:gcp,gcp,ok
Tshiakuitaba,acceptable,acceptable,3.0,3.0,Positif,positive,Mot,other,ok,acceptable,auto:gcp,gcp,ok
Butalale,aise,aise,3.0,3.0,Positif,positive,Mot,other,ok,easy,auto:gcp,gcp,ok
Tshibueledi,accès,accès,3.0,3.0,Positif,positive,Mot,other,ok,access,auto:gcp,gcp,ok
Mupepele,aisé,aisé,3.0,3.0,Positif,positive,Mot,other,ok,easy,auto:gcp,gcp,ok
Kudiunda,accroissement,accroissement,3.0,3.0,Positif,positive,Mot,other,ok,increase,auto:gcp,gcp,ok
Tshiakudia,aliment,aliment,3.0,3.0,Positif,positive,Mot,other,ok,food,auto:gcp,gcp,ok
Dikumbana,accomplissement,accomplissement,3.0,3.0,Positif,positive,Mot,other,ok,accomplishment,auto:gcp,gcp,ok
Mifuanu,allégorique,allégorique,3.0,3.0,Positif,positive,Mot,other,ok,allegorical,auto:gcp,gcp,ok
Diyidimue,accord,accord,3.0,3.0,Positif,positive,Mot,other,ok,agreement,auto:gcp,gcp,ok
Disanka,allégresse,allégresse,3.0,3.0,Positif,positive,Mot,other,ok,joy,auto:gcp,gcp,ok
Mubandi,accusateur,accusateur,3.0,3.0,Positif,positive,Mot,other,ok,accuser,auto:gcp,gcp,ok
Tshipungidi,alliance,alliance,3.0,3.0,Positif,positive,Mot,other,ok,alliance,auto:gcp,gcp,ok
Bubandi,accusation,accusation,3.0,3.0,Positif,positive,Mot,other,ok,charge,auto:gcp,gcp,ok
Bulopo,ambassade,ambassade,3.0,3.0,Positif,positive,Mot,other,ok,embassy,auto:gcp,gcp,ok
Dipeta,acquisition,acquisition,3.0,3.0,Positif,positive,Mot,other,ok,acquisition,auto:gcp,gcp,ok
Bulunda,amitié,amitié,3.0,3.0,Positif,positive,Mot,other,ok,friendship,auto:gcp,gcp,ok
Tshienzedi,action,action,3.0,3.0,Positif,positive,Mot,other,ok,action,auto:gcp,gcp,ok
Bikole,amèrement,amèrement,3.0,3.0,Positif,positive,Mot,other,ok,bitterly,auto:gcp,gcp,ok
Disuminyina,activité,activité,3.0,3.0,Positif,positive,Mot,other,ok,activity,auto:gcp,gcp,ok
Tshidimu,an,an,3.0,3.0,Positif,positive,Mot,other,ok,year,auto:gcp,gcp,ok
Muenamudimu,administrateur,administrateur,3.0,3.0,Positif,positive,Mot,other,ok,administrator,auto:gcp,gcp,ok
Mulawu,anathème,anathème,3.0,3.0,Positif,positive,Mot,other,ok,anathema,auto:gcp,gcp,ok
Kudimusha,admonestation,admonestation,3.0,3.0,Positif,positive,Mot,other,ok,admonition,auto:gcp,gcp,ok
Nkambua,ancêtre,ancêtre,3.0,3.0,Positif,positive,Mot,other,ok,ancestor,auto:gcp,gcp,ok
Dipiana,adoption,adoption,3.0,3.0,Positif,positive,Mot,other,ok,adoption,auto:gcp,gcp,ok
Dikenga,angoisse,angoisse,3.0,3.0,Positif,positive,Mot,other,ok,anguish,auto:gcp,gcp,ok
Mukukuidi,adorateur,adorateur,3.0,3.0,Positif,positive,Mot,other,ok,worshipper,auto:gcp,gcp,ok
Dimueneka,apparition,apparition,3.0,3.0,Positif,positive,Mot,other,ok,appearance,auto:gcp,gcp,ok
Masandi,adultère,adultère,-5.0,-5.0,Negatif,negative,Mot,other,ok,adultery,auto:gcp,gcp,ok
Dibikila,appel,appel,1.0,1.0,Positif,positive,Mot,other,ok,call,auto:gcp,gcp,ok
Muenalukuna,adversaire,adversaire,-1.0,-1.0,Negatif,negative,Mot,other,ok,opponent,auto:gcp,gcp,ok
Dibikidibua,vocation,vocation,1.0,1.0,Positif,positive,Mot,other,ok,vocation,auto:gcp,gcp,ok
Nsangilu,assemblée,assemblée,1.0,1.0,Positif,positive,Mot,other,ok,assembly,auto:gcp,gcp,ok
Musoko,bourgeoise,bourgeoise,1.0,1.0,Positif,positive,Mot,other,ok,bourgeois,auto:gcp,gcp,ok
Tshibombu,bourse,bourse,1.0,1.0,Positif,positive,Mot,other,ok,sotck exchange,auto:gcp,gcp,ok
Ditamba,branche,branche,1.0,1.0,Positif,positive,Mot,other,ok,branch,auto:gcp,gcp,ok
Mutoyi,bruit,bruit,1.0,1.0,Positif,positive,Mot,other,ok,noise,auto:gcp,gcp,ok
Tshikutu,buisson,buisson,1.0,1.0,Positif,positive,Mot,other,ok,bush,auto:gcp,gcp,ok
MunuWamaluvu,buveur,buveur,1.0,1.0,Positif,positive,Mot,other,ok,drinker,auto:gcp,gcp,ok
Ditalala,calme,calme,1.0,1.0,Positif,positive,Mot,other,ok,calm,auto:gcp,gcp,ok
Musonguedianganyi,calomniateur,calomniateur,-7.0,-7.0,Negatif,negative,Mot,other,ok,slanderer,auto:gcp,gcp,ok
Tshitudilu,camp,camp,5.0,5.0,Positif,positive,Mot,other,ok,camp,auto:gcp,gcp,ok
Kapita,capitaine,capitaine,5.0,5.0,Positif,positive,Mot,other,ok,captain,auto:gcp,gcp,ok
Mupika,captif,captif,5.0,5.0,Positif,positive,Mot,other,ok,captive,auto:gcp,gcp,ok
Lukanu,captivité,captivité,5.0,5.0,Positif,positive,Mot,other,ok,captivity,auto:gcp,gcp,ok
Carrefour,masangu,masangu,5.0,5.0,Positif,positive,Mot,other,ok,masangu,auto:gcp,gcp,ok
Bukole,ardeur,ardeur,5.0,5.0,Positif,positive,Mot,other,ok,ardor,auto:gcp,gcp,ok
Tshimuenenu,aspect,aspect,5.0,5.0,Positif,positive,Mot,other,ok,appearance,auto:gcp,gcp,ok
Mushipianganyi,assassin,assassin,-3.0,-3.0,Negatif,negative,Mot,other,ok,assassin,auto:gcp,gcp,ok
Mikalu,borne,borne,1.0,1.0,Positif,positive,Mot,other,ok,terminal,auto:gcp,gcp,ok
Musoko,bourgeoise,bourgeoise,1.0,1.0,Positif,positive,Mot,other,ok,bourgeois,auto:gcp,gcp,ok
Tshibombu,bourse,bourse,1.0,1.0,Positif,positive,Mot,other,ok,sotck exchange,auto:gcp,gcp,ok
Ditamba,branche,branche,1.0,1.0,Positif,positive,Mot,other,ok,branch,auto:gcp,gcp,ok
Mutoyi,bruit,bruit,1.0,1.0,Positif,positive,Mot,other,ok,noise,auto:gcp,gcp,ok
Tshikutu,buisson,buisson,1.0,1.0,Positif,positive,Mot,other,ok,bush,auto:gcp,gcp,ok
MunuWamaluvu,buveur,buveur,1.0,1.0,Positif,positive,Mot,other,ok,drinker,auto:gcp,gcp,ok
Ditalala,calme,calme,1.0,1.0,Positif,positive,Mot,other,ok,calm,auto:gcp,gcp,ok
Musonguedianganyi,calomniateur,calomniateur,-3.0,-3.0,Negatif,negative,Mot,other,ok,slanderer,auto:gcp,gcp,ok
Tshitudilu,camp,camp,2.0,2.0,Positif,positive,Mot,other,ok,camp,auto:gcp,gcp,ok
Kapita,capitaine,capitaine,2.0,2.0,Positif,positive,Mot,other,ok,captain,auto:gcp,gcp,ok
Mupika,captif,captif,2.0,2.0,Positif,positive,Mot,other,ok,captive,auto:gcp,gcp,ok
Tshibombu,bourse,bourse,2.0,2.0,Positif,positive,Mot,other,ok,sotck exchange,auto:gcp,gcp,ok
Ditamba,branche,branche,2.0,2.0,Positif,positive,Mot,other,ok,branch,auto:gcp,gcp,ok
Mutoyi,bruit,bruit,2.0,2.0,Positif,positive,Mot,other,ok,noise,auto:gcp,gcp,ok
Tshikutu,buisson,buisson,2.0,2.0,Positif,positive,Mot,other,ok,bush,auto:gcp,gcp,ok
