CILUBA,French,French_norm,Score,Score_int,Sentiment,Sentiment_std,Nature,Nature_std,qa_status
kusabakena,rencontrer,rencontrer,1.0,1.0,Positif,positive,Mot,other,ok
kulondabualu,ranconter,ranconter,1.0,1.0,Positif,positive,Mot,other,ok
butuku,nuit,nuit,1.0,1.0,Positif,positive,Mot,other,ok
mudinda,matin,matin,1.0,1.0,Positif,positive,Mot,other,ok
kukubaja,ajoutre,ajoutre,1.0,1.0,Positif,positive,Verbe,verb,ok
kukeresha,diminuer,diminuer,1.0,1.0,Positif,positive,Verbe,verb,ok
kuhishisha,depasser,depasser,1.0,1.0,Positif,positive,Verbe,verb,ok
kuvudija,augmenter,augmenter,1.0,1.0,Positif,positive,Verbe,verb,ok
cihidi,niveau,niveau,1.0,1.0,Positif,positive,Mot,other,ok
kufilamuenenu,commenter,commenter,1.0,1.0,Positif,positive,Verbe,verb,ok
kukudimuna,interpreter,interpreter,1.0,1.0,Positif,positive,Verbe,verb,ok
bimpabikola,superbe,superbe,1.0,1.0,Positif,positive,Mot,other,ok
disama,maladie,maladie,1.0,1.0,Positif,positive,Mot,other,ok
lukosu,toux,toux,1.0,1.0,Positif,positive,Mot,other,ok
difu,ventre,ventre,1.0,1.0,Positif,positive,Mot,other,ok
bualubudibuezeka,evenement,evenement,1.0,1.0,Positif,positive,Mot,other,ok
kubanga,debut,debut,1.0,1.0,Positif,positive,Mot,other,ok
kukanga,fermer,fermer,1.0,1.0,Positif,positive,Verbe,verb,ok
dibanjidibua,investutire,investutire,1.0,1.0,Positif,positive,Verbe,verb,ok
dilongeshibua,farmation,farmation,1.0,1.0,Positif,positive,Mot,other,ok
kukonkola,toquer,toquer,1.0,1.0,Positif,positive,Verbe,verb,ok
kukalaba,ramper,ramper,1.0,1.0,Positif,positive,Verbe,verb,ok
kuitaba,decrocher,decrocher,1.0,1.0,Positif,positive,Verbe,verb,ok
cidicihitakudifuma,resement,resement,1.0,1.0,Positif,positive,Mot,other,ok
bualubuenyi,nouvelle,nouvelle,1.0,1.0,Positif,positive,Mot,other,ok
kujingulula,decouvere,decouvere,1.0,1.0,Positif,positive,Verbe,verb,ok
kuibaka,construiction,construiction,1.0,1.0,Positif,positive,Mot,other,ok
mushimi,source,source,1.0,1.0,Positif,positive,Mot,other,ok
difutu,salaire,salaire,1.0,1.0,Positif,positive,Mot,other,ok
manayi,amisement,amisement,1.0,1.0,Positif,positive,Mot,other,ok
difucila,location,location,1.0,1.0,Positif,positive,Mot,other,ok
kuyobola,provoquer,provoquer,1.0,1.0,Positif,positive,Verbe,verb,ok
biamushindu,different,different,1.0,1.0,Positif,positive,Mot,other,ok
kujamaja,tremousser,tremousser,1.0,1.0,Positif,positive,Verbe,verb,ok
kunyunga,mouvement,mouvement,1.0,1.0,Positif,positive,Mot,other,ok
tulu,someil,someil,1.0,1.0,Positif,positive,Mot,other,ok
citanaji,divertisement,divertisement,1.0,1.0,Positif,positive,Mot,other,ok
nyungilukilu,environnement,environnement,1.0,1.0,Positif,positive,Mot,other,ok
cidicienzeka,foctionnement,foctionnement,1.0,1.0,Positif,positive,Mot,other,ok
cilenga,beau,beau,1.0,1.0,Positif,positive,Mot,other,ok
diboku,bras,bras,1.0,1.0,Positif,positive,Mot,other,ok
lupeepepele,vent,vent,1.0,1.0,Positif,positive,Mot,other,ok
cinwinu,verre,verre,1.0,1.0,Positif,positive,Mot,other,ok
cisalu,vaccin,vaccin,1.0,1.0,Positif,positive,Mot,other,ok
mikadila,libre,libre,1.0,1.0,Positif,positive,Verbe,verb,ok
kapepelelupepele,Air,air,1.0,1.0,Positif,positive,Mot,other,ok
Mutshi,Arbre,arbre,1.0,1.0,Positif,positive,Mot,other,ok
Mujiluwamashimakunze,Artère,artère,1.0,1.0,Positif,positive,Mot,other,ok
MuediMuevu,Barbe,barbe,1.0,1.0,Positif,positive,Mot,other,ok
Mutshi,Bois,bois,1.0,1.0,Positif,positive,Mot,other,ok
Mukana,Bouche,bouche,1.0,1.0,Positif,positive,Mot,other,ok
Ditamba,Branche,branche,1.0,1.0,Positif,positive,Mot,other,ok
Diboko,Bras,bras,1.0,1.0,Positif,positive,Mot,other,ok
DitshimaDifuima,Brouillard,brouillard,1.0,1.0,Positif,positive,Mot,other,ok
Bongabwamuntu,Cerveau,cerveau,1.0,1.0,Positif,positive,Mot,other,ok
KadilKapia,Chaleur,chaleur,1.0,1.0,Positif,positive,Mot,other,ok
Lusukikasuki,Cheveu,cheveu,1.0,1.0,Positif,positive,Mot,other,ok
Kampombekampombo,Cheville,cheville,1.0,1.0,Positif,positive,Mot,other,ok
Diulu,Ciel,ciel,1.0,1.0,Positif,positive,Mot,other,ok
Lukofi,Cil,cil,1.0,1.0,Positif,positive,Mot,other,ok
Muoyo,Cœur,cœur,1.0,1.0,Positif,positive,Mot,other,ok
MubidiMbidi,Corps,corps,1.0,1.0,Positif,positive,Mot,other,ok
LubadiLubaleLubanji,Côte,côte,1.0,1.0,Positif,positive,Mot,other,ok
Nshingu,Cou,cou,1.0,1.0,Positif,positive,Mot,other,ok
Lukenyibu,Coude,coude,1.0,1.0,Positif,positive,Mot,other,ok
DikaluDilangi,Couleur,couleur,1.0,1.0,Positif,positive,Mot,other,ok
TshibalubaluKabalubalu,Crâne,crâne,1.0,1.0,Positif,positive,Mot,other,ok
TshibeluTshioko,Cuisse,cuisse,1.0,1.0,Positif,positive,Mot,other,ok
Dinu,Dent,dent,1.0,1.0,Positif,positive,Mot,other,ok
TshipepeleButoke,Désert,désert,1.0,1.0,Positif,positive,Mot,other,ok
Munu,Doigt,doigt,1.0,1.0,Positif,positive,Mot,other,ok
Nyima,Dos,dos,1.0,1.0,Positif,positive,Mot,other,ok
Maayi,Eau,eau,1.0,1.0,Positif,positive,Mot,other,ok
MupenyiMukenya,Eclair,eclair,1.0,1.0,Positif,positive,Mot,other,ok
DikayaDipeka,Epaule,epaule,1.0,1.0,Positif,positive,Mot,other,ok
TshifuTshifue,Estomac,estomac,1.0,1.0,Positif,positive,Mot,other,ok
Mutooto,Etoile,etoile,1.0,1.0,Positif,positive,Mot,other,ok
TshiamuTshifike,Fer,fer,1.0,1.0,Positif,positive,Mot,other,ok
DitakuDitengi,Fesse,fesse,1.0,1.0,Positif,positive,Mot,other,ok
Dibeji,Feuille,feuille,1.0,1.0,Positif,positive,Mot,other,ok
Tshilongo,Fleur,fleur,1.0,1.0,Positif,positive,Mot,other,ok
Musulu,Fleuve,fleuve,1.0,1.0,Positif,positive,Mot,other,ok
Mutshima,Foie,foie,1.0,1.0,Positif,positive,Mot,other,ok
Ditu,Forêt,forêt,1.0,1.0,Positif,positive,Mot,other,ok
Mashika,Froid,froid,1.0,1.0,Positif,positive,Verbe,verb,ok
Mpala,Front,front,1.0,1.0,Positif,positive,Mot,other,ok
MuinshiMuishi,Fumée,fumée,1.0,1.0,Positif,positive,Verbe,verb,ok
Tshinu,Genou,genou,1.0,1.0,Positif,positive,Mot,other,ok
MaayiMakuatakaneDibue,Glace,glace,1.0,1.0,Positif,positive,Mot,other,ok
DiminuMuminu,Gorge,gorge,1.0,1.0,Positif,positive,Mot,other,ok
Lukundu,Hanche,hanche,1.0,1.0,Positif,positive,Mot,other,ok
TshisosaTshilu,Herbe,herbe,1.0,1.0,Positif,positive,Mot,other,ok
NkoloTshidilaTshitamba,Île,île,1.0,1.0,Positif,positive,Mot,other,ok
DitangalalaDiaMaayi,Inondation,inondation,1.0,1.0,Positif,positive,Mot,other,ok
Dila,Intestin,intestin,1.0,1.0,Positif,positive,Mot,other,ok
Mukolo,Jambe,jambe,1.0,1.0,Positif,positive,Mot,other,ok
Ditama,Joue,joue,1.0,1.0,Positif,positive,Verbe,verb,ok
Dijiba,Lac,lac,1.0,1.0,Positif,positive,Mot,other,ok
Ludimi,Langue,langue,1.0,1.0,Positif,positive,Mot,other,ok
Tshinsonji,Larme,larme,1.0,1.0,Positif,positive,Mot,other,ok
Mushiku,Lèvre,lèvre,1.0,1.0,Positif,positive,Mot,other,ok
Munya,Lumière,lumière,1.0,1.0,Positif,positive,Mot,other,ok
Muenji,Lune,lune,1.0,1.0,Positif,positive,Mot,other,ok
Lubanga,Mâchoire,mâchoire,1.0,1.0,Positif,positive,Mot,other,ok
Tshianza,Main,main,1.0,1.0,Positif,positive,Mot,other,ok
Tshibanga,Menton,menton,1.0,1.0,Positif,positive,Mot,other,ok
Mbu,Mer,mer,1.0,1.0,Positif,positive,Mot,other,ok
Buloba,Monde,monde,1.0,1.0,Positif,positive,Mot,other,ok
Mukuna,Montagne,montagne,1.0,1.0,Positif,positive,Mot,other,ok
Mumpenya,Moustache,moustache,1.0,1.0,Positif,positive,Mot,other,ok
MusunyiDikoyi,Muscle,muscle,1.0,1.0,Positif,positive,Mot,other,ok
Mumpempe,Narine,narine,1.0,1.0,Positif,positive,Mot,other,ok
Bonga,Nerf,nerf,1.0,1.0,Positif,positive,Mot,other,ok
Diulu,Nez,nez,1.0,1.0,Positif,positive,Mot,other,ok
Muofo,Motbril,motbril,1.0,1.0,Positif,positive,Mot,other,ok
Dikoshi,Nuque,nuque,1.0,1.0,Positif,positive,Mot,other,ok
Disu,Œil,œil,1.0,1.0,Positif,positive,Mot,other,ok
Luzadi,Ongle,ongle,1.0,1.0,Positif,positive,Mot,other,ok
Ditshi,Oreille,oreille,1.0,1.0,Positif,positive,Mot,other,ok
MuanawaNkasa,Orteil,orteil,1.0,1.0,Positif,positive,Mot,other,ok
Mufuba,Os,os,1.0,1.0,Positif,positive,Mot,other,ok
Tshilafinye,Paupière,paupière,1.0,1.0,Positif,positive,Mot,other,ok
Dikoba,Peau,peau,1.0,1.0,Positif,positive,Mot,other,ok
Dikasa,Pied,pied,1.0,1.0,Positif,positive,Mot,other,ok
Nshinguwadiboko,Poignet,poignet,1.0,1.0,Positif,positive,Mot,other,ok
Dinkomo,Poing,poing,1.0,1.0,Positif,positive,Mot,other,ok
Tshiadi,Poitrine,poitrine,1.0,1.0,Positif,positive,Mot,other,ok
Tshiala,Pouce,pouce,1.0,1.0,Positif,positive,Mot,other,ok
Mujiluudiutaka,pouls,pouls,1.0,1.0,Positif,positive,Mot,other,ok
Tshisulusulu,Poumon,poumon,1.0,1.0,Positif,positive,Mot,other,ok
LupuishiLusoka,Poussière,poussière,1.0,1.0,Positif,positive,Mot,other,ok
KonyiKamuma,Rein,rein,1.0,1.0,Positif,positive,Mot,other,ok
MunyenguMufudi,Ride,ride,1.0,1.0,Positif,positive,Mot,other,ok
LuteMate,Salive,salive,1.0,1.0,Positif,positive,Mot,other,ok
Mashi,Sang,sang,1.0,1.0,Positif,positive,Mot,other,ok
Dibele,Sein,sein,1.0,1.0,Positif,positive,Mot,other,ok
Dikiki,Sourcil,sourcil,1.0,1.0,Positif,positive,Mot,other,ok
BikoyikoyiMifuba,Squelette,squelette,1.0,1.0,Positif,positive,Mot,other,ok
Tshisululu,Sueur,sueur,1.0,1.0,Positif,positive,Mot,other,ok
Tshikankanya,Talon,talon,1.0,1.0,Positif,positive,Mot,other,ok
Mujilu,Veine,veine,1.0,1.0,Positif,positive,Mot,other,ok
Difu,Ventre,ventre,1.0,1.0,Positif,positive,Mot,other,ok
Mpala,Visage,visage,1.0,1.0,Positif,positive,Mot,other,ok
kapepelelupepele,Air,air,1.0,1.0,Positif,positive,Mot,other,ok
Mutshi,Arbre,arbre,1.0,1.0,Positif,positive,Mot,other,ok
Mujiluwamashimakunze,Artère,artère,1.0,1.0,Positif,positive,Mot,other,ok
MuediMuevu,Barbe,barbe,1.0,1.0,Positif,positive,Mot,other,ok
Mutshi,Bois,bois,1.0,1.0,Positif,positive,Mot,other,ok
Mukana,Bouche,bouche,1.0,1.0,Positif,positive,Mot,other,ok
Ditamba,Branche,branche,1.0,1.0,Positif,positive,Mot,other,ok
Diboko,Bras,bras,1.0,1.0,Positif,positive,Mot,other,ok
DitshimaDifuima,Brouillard,brouillard,1.0,1.0,Positif,positive,Mot,other,ok
Bongabwamuntu,Cerveau,cerveau,1.0,1.0,Positif,positive,Mot,other,ok
KadilKapia,Chaleur,chaleur,1.0,1.0,Positif,positive,Mot,other,ok
Lusukikasuki,Cheveu,cheveu,1.0,1.0,Positif,positive,Mot,other,ok
Kampombekampombo,Cheville,cheville,1.0,1.0,Positif,positive,Mot,other,ok
Diulu,Ciel,ciel,1.0,1.0,Positif,positive,Mot,other,ok
Lukofi,Cil,cil,1.0,1.0,Positif,positive,Mot,other,ok
Muoyo,Cœur,cœur,1.0,1.0,Positif,positive,Mot,other,ok
MubidiMbidi,Corps,corps,1.0,1.0,Positif,positive,Mot,other,ok
LubadiLubaleLubanji,Côte,côte,1.0,1.0,Positif,positive,Mot,other,ok
Nshingu,Cou,cou,1.0,1.0,Positif,positive,Mot,other,ok
Lukenyibu,Coude,coude,1.0,1.0,Positif,positive,Mot,other,ok
DikaluDilangi,Couleur,couleur,1.0,1.0,Positif,positive,Mot,other,ok
TshibalubaluKabalubalu,Crâne,crâne,1.0,1.0,Positif,positive,Mot,other,ok
TshibeluTshioko,Cuisse,cuisse,1.0,1.0,Positif,positive,Mot,other,ok
Dinu,Dent,dent,1.0,1.0,Positif,positive,Mot,other,ok
TshipepeleButoke,Désert,désert,1.0,1.0,Positif,positive,Mot,other,ok
Munu,Doigt,doigt,1.0,1.0,Positif,positive,Mot,other,ok
Nyima,Dos,dos,1.0,1.0,Positif,positive,Mot,other,ok
Maayi,Eau,eau,1.0,1.0,Positif,positive,Mot,other,ok
MupenyiMukenya,Eclair,eclair,1.0,1.0,Positif,positive,Mot,other,ok
DikayaDipeka,Epaule,epaule,1.0,1.0,Positif,positive,Mot,other,ok
TshifuTshifue,Estomac,estomac,1.0,1.0,Positif,positive,Mot,other,ok
Mutooto,Etoile,etoile,1.0,1.0,Positif,positive,Mot,other,ok
TshiamuTshifike,Fer,fer,1.0,1.0,Positif,positive,Mot,other,ok
DitakuDitengi,Fesse,fesse,1.0,1.0,Positif,positive,Mot,other,ok
Dibeji,Feuille,feuille,1.0,1.0,Positif,positive,Mot,other,ok
Tshilongo,Fleur,fleur,1.0,1.0,Positif,positive,Mot,other,ok
Musulu,Fleuve,fleuve,1.0,1.0,Positif,positive,Mot,other,ok
Mutshima,Foie,foie,1.0,1.0,Positif,positive,Mot,other,ok
Ditu,Forêt,forêt,1.0,1.0,Positif,positive,Mot,other,ok
Mashika,Froid,froid,1.0,1.0,Positif,positive,Mot,other,ok
Mpala,Front,front,1.0,1.0,Positif,positive,Mot,other,ok
MuinshiMuishi,Fumée,fumée,1.0,1.0,Positif,positive,Mot,other,ok
Tshinu,Genou,genou,1.0,1.0,Positif,positive,Mot,other,ok
MaayiMakuatakaneDibue,Glace,glace,1.0,1.0,Positif,positive,Mot,other,ok
DiminuMuminu,Gorge,gorge,1.0,1.0,Positif,positive,Mot,other,ok
Lukundu,Hanche,hanche,1.0,1.0,Positif,positive,Mot,other,ok
TshisosaTshilu,Herbe,herbe,1.0,1.0,Positif,positive,Mot,other,ok
NkoloTshidilaTshitamba,Île,île,1.0,1.0,Positif,positive,Mot,other,ok
DitangalalaDiaMaayi,Inondation,inondation,1.0,1.0,Positif,positive,Mot,other,ok
Dila,Intestin,intestin,1.0,1.0,Positif,positive,Mot,other,ok
Mukolo,Jambe,jambe,1.0,1.0,Positif,positive,Mot,other,ok
Ditama,Joue,joue,1.0,1.0,Positif,positive,Mot,other,ok
Dijiba,Lac,lac,1.0,1.0,Positif,positive,Mot,other,ok
Ludimi,Langue,langue,1.0,1.0,Positif,positive,Mot,other,ok
Tshinsonji,Larme,larme,1.0,1.0,Positif,positive,Mot,other,ok
Mushiku,Lèvre,lèvre,1.0,1.0,Positif,positive,Mot,other,ok
Munya,Lumière,lumière,1.0,1.0,Positif,positive,Mot,other,ok
Muenji,Lune,lune,1.0,1.0,Positif,positive,Mot,other,ok
Lubanga,Mâchoire,mâchoire,3.0,3.0,Positif,positive,Mot,other,ok
Tshianza,Main,main,3.0,3.0,Positif,positive,Mot,other,ok
Tshibanga,Menton,menton,3.0,3.0,Positif,positive,Mot,other,ok
Mbu,Mer,mer,3.0,3.0,Positif,positive,Mot,other,ok
Buloba,Monde,monde,3.0,3.0,Positif,positive,Mot,other,ok
Mukuna,Montagne,montagne,3.0,3.0,Positif,positive,Mot,other,ok
Mumpenya,Moustache,moustache,3.0,3.0,Positif,positive,Mot,other,ok
MusunyiDikoyi,Muscle,muscle,3.0,3.0,Positif,positive,Mot,other,ok
Mumpempe,Narine,narine,3.0,3.0,Positif,positive,Mot,other,ok
Bonga,Nerf,nerf,3.0,3.0,Positif,positive,Mot,other,ok
Diulu,Nez,nez,3.0,3.0,Positif,positive,Mot,other,ok
Muofo,Motbril,motbril,3.0,3.0,Positif,positive,Mot,other,ok
Dikoshi,Nuque,nuque,3.0,3.0,Positif,positive,Mot,other,ok
Disu,Œil,œil,3.0,3.0,Positif,positive,Mot,other,ok
Luzadi,Ongle,ongle,3.0,3.0,Positif,positive,Mot,other,ok
Ditshi,Oreille,oreille,3.0,3.0,Positif,positive,Mot,other,ok
MuanawaNkasa,Orteil,orteil,3.0,3.0,Positif,positive,Mot,other,ok
Mufuba,Os,os,3.0,3.0,Positif,positive,Mot,other,ok
Tshilafinye,Paupière,paupière,3.0,3.0,Positif,positive,Mot,other,ok
Dikoba,Peau,peau,3.0,3.0,Positif,positive,Mot,other,ok
Dikasa,Pied,pied,3.0,3.0,Positif,positive,Mot,other,ok
Nshinguwadiboko,Poignet,poignet,3.0,3.0,Positif,positive,Mot,other,ok
Dinkomo,Poing,poing,3.0,3.0,Positif,positive,Mot,other,ok
Tshiadi,Poitrine,poitrine,3.0,3.0,Positif,positive,Mot,other,ok
Tshiala,Pouce,pouce,3.0,3.0,Positif,positive,Mot,other,ok
Mujiluudiutaka,pouls,pouls,3.0,3.0,Positif,positive,Mot,other,ok
Tshisulusulu,Poumon,poumon,3.0,3.0,Positif,positive,Mot,other,ok
LupuishiLusoka,Poussière,poussière,3.0,3.0,Positif,positive,Mot,other,ok
KonyiKamuma,Rein,rein,3.0,3.0,Positif,positive,Mot,other,ok
MunyenguMufudi,Ride,ride,3.0,3.0,Positif,positive,Mot,other,ok
LuteMate,Salive,salive,3.0,3.0,Positif,positive,Mot,other,ok
Mashi,Sang,sang,3.0,3.0,Positif,positive,Mot,other,ok
Dibele,Sein,sein,3.0,3.0,Positif,positive,Mot,other,ok
Dikiki,Sourcil,sourcil,3.0,3.0,Positif,positive,Mot,other,ok
BikoyikoyiMifuba,Squelette,squelette,3.0,3.0,Positif,positive,Mot,other,ok
Tshisululu,Sueur,sueur,3.0,3.0,Positif,positive,Mot,other,ok
Tshikankanya,Talon,talon,3.0,3.0,Positif,positive,Mot,other,ok
Mujilu,Veine,veine,3.0,3.0,Positif,positive,Mot,other,ok
Difu,Ventre,ventre,3.0,3.0,Positif,positive,Mot,other,ok
Mpala,Visage,visage,3.0,3.0,Positif,positive,Mot,other,ok
Muji,Racine,racine,3.0,3.0,Positif,positive,Mot,other,ok
kuya,partir,partir,3.0,3.0,Positif,positive,Verbe,verb,ok
kuja,danser,danser,3.0,3.0,Positif,positive,Verbe,verb,ok
kuenda,marcher,marcher,3.0,3.0,Positif,positive,Verbe,verb,ok
kumuana,voir,voir,3.0,3.0,Positif,positive,Verbe,verb,ok
kuelameji,penser,penser,3.0,3.0,Positif,positive,Verbe,verb,ok
kualukila,revenir,revenir,3.0,3.0,Positif,positive,Verbe,verb,ok
kuakula,parler,parler,3.0,3.0,Positif,positive,Verbe,verb,ok
kuya,partir,partir,3.0,3.0,Positif,positive,Verbe,verb,ok
kunyema,courir,courir,3.0,3.0,Positif,positive,Verbe,verb,ok
kuyalubilu,fuir,fuir,3.0,3.0,Positif,positive,Verbe,verb,ok
kudila,pleurer,pleurer,-4.0,-4.0,Negatif,negative,Verbe,verb,ok
kunyingalala,regretter,regretter,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
kutangalaja,disperser,disperser,-6.0,-6.0,Negatif,negative,Verbe,verb,ok
kuabanya,partager,partager,3.0,3.0,Positif,positive,Verbe,verb,ok
kuakaja,ranger,ranger,5.0,5.0,Positif,positive,Verbe,verb,ok
kuhangila,manque,manque,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
kulenga,toucher,toucher,4.0,4.0,Positif,positive,Verbe,verb,ok
kukuata,attrapper,attrapper,4.0,4.0,Positif,positive,Verbe,verb,ok
kuseka,sourir,sourir,3.0,3.0,Positif,positive,Verbe,verb,ok
kuakaja,corriger,corriger,3.0,3.0,Positif,positive,Verbe,verb,ok
kuhetulula,recevoir,recevoir,3.0,3.0,Positif,positive,Verbe,verb,ok
kumuanununa,revoir,revoir,3.0,3.0,Positif,positive,Verbe,verb,ok
kufunda,accuser,accuser,-4.0,-4.0,Negatif,negative,Verbe,verb,ok
kutalama,vigilant,vigilant,3.0,3.0,Positif,positive,Verbe,verb,ok
kuangata,prendre,prendre,3.0,3.0,Positif,positive,Verbe,verb,ok
kubenga,refuser,refuser,-5.0,-5.0,Negatif,negative,Verbe,verb,ok
kunanga,aimer,aimer,3.0,3.0,Positif,positive,Verbe,verb,ok
kuheta,reception,reception,3.0,3.0,Positif,positive,Verbe,verb,ok
kusambila,prier,prier,3.0,3.0,Positif,positive,Verbe,verb,ok
kuenzabibi,pecher,pecher,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
kuyisha,precher,precher,3.0,3.0,Positif,positive,Verbe,verb,ok
kumanyisha,informer,informer,3.0,3.0,Positif,positive,Verbe,verb,ok
kuamba,communiquer,communiquer,3.0,3.0,Positif,positive,Verbe,verb,ok
kuhecha,offrir,offrir,3.0,3.0,Positif,positive,Verbe,verb,ok
kunyingalaja,offenser,offenser,3.0,3.0,Positif,positive,Verbe,verb,ok
kumbuka,quitter,quitter,-4.0,-4.0,Negatif,negative,Verbe,verb,ok
kututa,frapper,frapper,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
kozola,dessiner,dessiner,3.0,3.0,Positif,positive,Verbe,verb,ok
bubanji,richesse,richesse,4.0,4.0,Positif,positive,Mot,other,ok
disanka,joie,joie,3.0,3.0,Positif,positive,Mot,other,ok
lukinu,haine,haine,-3.0,-3.0,Negatif,negative,Mot,other,ok
ciji,mechant,mechant,-4.0,-4.0,Negatif,negative,Mot,other,ok
kutuma,envoyer,envoyer,3.0,3.0,Positif,positive,Verbe,verb,ok
kusumba,acheter,acheter,3.0,3.0,Positif,positive,Verbe,verb,ok
kuambulula,repeter,repeter,3.0,3.0,Positif,positive,Verbe,verb,ok
kuamba,dire,dire,3.0,3.0,Positif,positive,Verbe,verb,ok
kusokoka,cacher,cacher,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
kuleja,exposer,exposer,3.0,3.0,Positif,positive,Verbe,verb,ok
nkuasa,chaise,chaise,3.0,3.0,Positif,positive,Verbe,verb,ok
mesa,table,table,3.0,3.0,Positif,positive,Mot,other,ok
katambua,tabourer,tabourer,3.0,3.0,Positif,positive,Mot,other,ok
kukola,grandire,grandire,3.0,3.0,Positif,positive,Verbe,verb,ok
kubanda,monter,monter,3.0,3.0,Positif,positive,Verbe,verb,ok
kupueka,desandre,desandre,3.0,3.0,Positif,positive,Verbe,verb,ok
kualukila,reguler,reguler,3.0,3.0,Positif,positive,Verbe,verb,ok
meji,sagesse,sagesse,3.0,3.0,Positif,positive,Mot,other,ok
dinanga,amour,amour,3.0,3.0,Positif,positive,Mot,other,ok
lungenji,intelligence,intelligence,3.0,3.0,Positif,positive,Mot,other,ok
kudila,pleurer,pleurer,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
cibuta,sac,sac,3.0,3.0,Positif,positive,Mot,other,ok
lupangu,parcelle,parcelle,3.0,3.0,Positif,positive,Mot,other,ok
nzubu,maison,maison,3.0,3.0,Positif,positive,Mot,other,ok
citendelelu,eglise,eglise,5.0,5.0,Positif,positive,Mot,other,ok
lumuenu,miroir,miroir,4.0,4.0,Positif,positive,Mot,other,ok
kulombola,diriger,diriger,2.0,2.0,Positif,positive,Verbe,verb,ok
kutela,proclamer,proclamer,4.0,4.0,Positif,positive,Verbe,verb,ok
kukumbaja,ajouter,ajouter,6.0,6.0,Positif,positive,Verbe,verb,ok
kudia,manger,manger,3.0,3.0,Positif,positive,Verbe,verb,ok
kuheja,saboter,saboter,-5.0,-5.0,Negatif,negative,Verbe,verb,ok
kuakula,parler,parler,3.0,3.0,Positif,positive,Verbe,verb,ok
kulongolola,preparer,preparer,6.0,6.0,Positif,positive,Verbe,verb,ok
kuinyika,Motmer,motmer,3.0,3.0,Positif,positive,Verbe,verb,ok
kuiba,voler,voler,-2.0,-2.0,Negatif,negative,Verbe,verb,ok
kuangatulula,reprendre,reprendre,5.0,5.0,Positif,positive,Verbe,verb,ok
terminer,finir,finir,4.0,4.0,Positif,positive,Verbe,verb,ok
cilongelu,ecole,ecole,6.0,6.0,Positif,positive,Mot,other,ok
kuntetula,copier,copier,3.0,3.0,Positif,positive,Verbe,verb,ok
kukehecha,diminuer,diminuer,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
kuambula,transporter,transporter,3.0,3.0,Positif,positive,Verbe,verb,ok
njila,route,route,4.0,4.0,Positif,positive,Mot,other,ok
machinyi,vehucule,vehucule,4.0,4.0,Positif,positive,Mot,other,ok
kusambuka,traverser,traverser,4.0,4.0,Positif,positive,Verbe,verb,ok
cilamba,pont,pont,3.0,3.0,Positif,positive,Mot,other,ok
kuikila,atterir,atterir,4.0,4.0,Positif,positive,Verbe,verb,ok
cisumbu,groupe,groupe,5.0,5.0,Positif,positive,Mot,other,ok
mukanda,livre,livre,4.0,4.0,Positif,positive,Mot,other,ok
mukandawanzambi,bible,bible,3.0,3.0,Positif,positive,Mot,other,ok
mutelu,chemise,chemise,2.0,2.0,Positif,positive,Mot,other,ok
mupanu,pantalon,pantalon,5.0,5.0,Positif,positive,Mot,other,ok
kusangisha,ransembler,ransembler,3.0,3.0,Positif,positive,Verbe,verb,ok
kuakaja,nettoyer,nettoyer,4.0,4.0,Positif,positive,Verbe,verb,ok
kuteka,placer,placer,4.0,4.0,Positif,positive,Verbe,verb,ok
kubusha,enlever,enlever,3.0,3.0,Positif,positive,Verbe,verb,ok
kunvuala,porter,porter,2.0,2.0,Positif,positive,Verbe,verb,ok
kuimba,chanter,chanter,4.0,4.0,Positif,positive,Verbe,verb,ok
kuiba,voler,voler,-3.0,-3.0,Negatif,negative,Verbe,verb,ok
kushituluka,changer,changer,5.0,5.0,Positif,positive,Verbe,verb,ok
kueza,faire,faire,4.0,4.0,Positif,positive,Verbe,verb,ok
kuya,Aller,aller,3.0,3.0,Positif,positive,Verbe,verb,ok
kunanga,Aimer,aimer,3.0,3.0,Positif,positive,Verbe,verb,ok
kudia,Manger,manger,3.0,3.0,Positif,positive,Verbe,verb,ok
kunua,Boire,boire,4.0,4.0,Positif,positive,Verbe,verb,ok
kuimba,Chanter,chanter,5.0,5.0,Positif,positive,Verbe,verb,ok
kuja,Danser,danser,5.0,5.0,Positif,positive,Verbe,verb,ok
kulonga,Étudier,étudier,5.0,5.0,Positif,positive,Verbe,verb,ok
kuakula,Parler,parler,5.0,5.0,Positif,positive,Verbe,verb,ok
kuteleja,Écouter,écouter,3.0,3.0,Positif,positive,Verbe,verb,ok
kutangila,Regarder,regarder,2.0,2.0,Positif,positive,Verbe,verb,ok
kufunda,Écrire,écrire,2.0,2.0,Positif,positive,Verbe,verb,ok
kunyema,Courir,courir,1.0,1.0,Positif,positive,Verbe,verb,ok
kuenda,Marcher,marcher,1.0,1.0,Positif,positive,Verbe,verb,ok
kutumpika,Sauter,sauter,3.0,3.0,Positif,positive,Verbe,verb,ok
