CILUBA,French,Score,Sentiment,Nature,
"	Mulobi",  Conducteur,5,Positif,Mot,
"	Mibi",  Pécher,-3,Negatif,Mot,
"	Kakone",  ÉcoMotiste,7,Positif,Mot,
"	Magnimela",  Ingénieur,7,Positif,Mot,
"	Bihu",Punaise,-1,Negatif,Mot,
bilunga,patate,5,Positif,Mot,
mayi,eau,8,Positif,Mot,
Nsoku,singe,-3,Negatif,Mot,
dinanga,amour,8,Positif,Mot,
kanemu,respect,7,Positif,Mot,
ditumikila,obeissance,6,Positif,Mot,
lusa,pardon,8,Positif,Mot,
luaku,viens,5,Positif,Mot,
kuata,prend,7,Positif,Mot,
lusaa,pitié,5,Positif,Mot,
kalulu,lapin,4,Positif,Mot,
nioka,serpent,-2,Negatif,Mot,
mpatu,canard,3,Positif,Mot,
masanka,joie,3,Positif,Mot,
bipeta,resultat,3,Positif,Mot,
nsuki,cheuveux,3,Positif,Mot,
nkuasa,chaise,3,Positif,Mot,
tshibasa,banc,3,Positif,Mot,
mapapa,babouche,3,Positif,Mot,
bisabata,chaussure,3,Positif,Mot,
dilata,tole,3,Positif,Mot,
mpusu,chat,3,Positif,Mot,
luremba,caholin,3,Positif,Mot,
nkotshi,veste,3,Positif,Mot,
muanya,diasteme,3,Positif,Mot,
ndaku,partez,3,Positif,Mot,
kambumba,seau,3,Positif,Mot,
kabasa,tabouret,3,Positif,Mot,
mutshioku,fatigue,-4,Negatif,Mot,
kankudumbua,pigeon,1,Positif,Mot,
tshibuta,sac,1,Positif,Mot,
musulu,riviere,1,Positif,Mot,
lomba,demande,1,Positif,Verbe,
luaku,viens,1,Positif,Mot,
dikisha,repos,1,Positif,Mot,
losa,riz,1,Positif,Mot,
nkunda,haricot,1,Positif,Mot,
diba,montre,1,Positif,Mot,
bubanji,richesse,1,Positif,Mot,
Kunvua,ecouter,1,Positif,Verbe,
Kumona,voir,1,Positif,Verbe,
Makasa,pied,1,Positif,Mot,
Kulamba,preparer,1,Positif,Verbe,
Kuteka,deposser,1,Positif,Verbe,
Kuangata,prendre,1,Positif,Verbe,
Kuenda,marcher,1,Positif,Verbe,
Kuvuala,porter,1,Positif,Verbe,
Kutela,coudre,1,Positif,Verbe,
Kusumba,acheter,1,Positif,Verbe,
Kuteka,deposer,1,Positif,Verbe,
Kusukula,nettoyer,1,Positif,Verbe,
Bisekiseki,legumes,1,Positif,Mot,
Nsuwu,soupe,1,Positif,Mot,
Kusomba,s'asoire,1,Positif,Verbe,
menji,intelligence,1,Positif,Mot,
Kuendesha,rouler,1,Positif,Verbe,
Machinyi,voiture,1,Positif,Mot,
Kadiendelandela,Moto,1,Positif,Mot,
Dikalu,velo,1,Positif,Mot,
Nsuki,cheveux,1,Positif,Mot,
Bilamba,habit,1,Positif,Mot,
Tshimanu,mure,1,Positif,Mot,
Kuwuyakana,respirer,1,Positif,Verbe,
Bukula,farine,1,Positif,Mot,
Tshiomba,manioc,1,Positif,Mot,
Matala,Maïs,1,Positif,Mot,
Menu,dents,1,Positif,Mot,
Nshinga,fil,1,Positif,Mot,
Mievu,barbe,1,Positif,Mot,
Cilongo,fleur,1,Positif,Mot,
Dilongu,assiete,1,Positif,Mot,
Mbidika,crush,1,Positif,Mot,
Dikowu,gobelet,1,Positif,Mot,
Tshiamua,fer,1,Positif,Mot,
Buanga,médicaments,1,Positif,Mot,
Milombu,prière,1,Positif,Verbe,
Misambu,chanson,1,Positif,Mot,
Tshisanji,radio,1,Positif,Mot,
Kutemeshe,allumer,1,Positif,Verbe,
Bianza,main,1,Positif,Mot,
Maboku,bras,1,Positif,Mot,
Kukuata,tenir,1,Positif,Verbe,
Nkosthi,veste,1,Positif,Mot,
Mutelu,chemise,1,Positif,Mot,
Nkanzu,robe,1,Positif,Mot,
Bimuma,fruits,1,Positif,Mot,
Mbota,bouton,1,Positif,Mot,
Disu,oeil,1,Positif,Mot,
Matshi,oreille,1,Positif,Mot,
Diulu,nez,1,Positif,Mot,
Tshifulu,chapeau,1,Positif,Mot,
Kuenda,marcher,1,Positif,Verbe,
Nshingu,cou,1,Positif,Mot,
Mikolu,jambes,1,Positif,Mot,
Nzadi,ongle,1,Positif,Mot,
Kumusha,enlever,1,Positif,Verbe,
tshivunga,jupons,1,Positif,Mot,
nzala,famine,1,Positif,Mot,
kumuana,Voir,1,Positif,Verbe,
kunyema,Fuir,1,Positif,Verbe,
kunaya,Jouer,1,Positif,Verbe,
kuhotela,Importuner,-5,Negatif,Verbe,
tshisanji,Radio,3,Positif,Mot,
mukaji,Femme,3,Positif,Mot,
buimpa,Beauté,3,Positif,Mot,
ndundu,Ballon,3,Positif,Mot,
bulaba,Terre,3,Positif,Mot,
duilu,Ciel,3,Positif,Mot,
dibua,Pierre,3,Positif,Mot,
tshinkeunda,Papayer,3,Positif,Verbe,
tshiadi,Poitrine,3,Positif,Mot,
tshilama,Pagne,3,Positif,Mot,
dikohu,Gobelet,3,Positif,Mot,
bisabata,Chaussure,3,Positif,Mot,
tshibuta,Malette,3,Positif,Mot,
muhanu,Pantalon,3,Positif,Mot,
mutelu,Chemise,3,Positif,Mot,
nzala,Famine,-7,Negatif,Mot,
nkuasa,Chaise,2,Positif,Mot,
bula,Lit,2,Positif,Mot,
tshimfuanyi,Visage,2,Positif,Mot,
malata,Tôles,2,Positif,Mot,
bukula,Farine,2,Positif,Mot,
mucima,Foie,2,Positif,Mot,
ditabuja,Foi,2,Positif,Mot,
musangu,Fois,2,Positif,Mot,
musambu,Chanson,2,Positif,Mot,
lubalenga,Rate,2,Positif,Mot,
moyi,Cœur,2,Positif,Mot,
buloji,Sorcellerie,-5,Negatif,Mot,
Oiseau=nyunyi,Oiseau,6,Positif,Mot,
nkosa,Souris,-2,Negatif,Mot,
nyama,Animaux,1,Positif,Mot,
dihota,Bêtise,1,Positif,Mot,
kabonkoshi,Crane,1,Positif,Mot,
kulala,Dormir,1,Positif,Mot,
tshikolowu,Torchon,1,Positif,Mot,
mutshi,Plante,1,Positif,Mot,
mbindi,Corps,1,Positif,Mot,
nzembua,Courant,1,Positif,Mot,
ngumu,Information,1,Positif,Mot,
kuakula,Parler,1,Positif,Verbe,
kudia,Manger,1,Positif,Verbe,
kuvila,Nier,1,Positif,Verbe,
maja,Danse,1,Positif,Verbe,
kutuadija,Désormais,1,Positif,Mot,
bulongama,Ordre,1,Positif,Mot,
tshitalu,Cadavre,-7,Negatif,Mot,
lufu,Mort,-9,Negatif,Mot,
nzambi,Dieu,9,Positif,Mot,
musalayi,Militaire,-2,Negatif,Mot,
pulushi,Policier,-1,Negatif,Mot,
kukumbaja,Ajouter,3,Positif,Verbe,
muloji,Sorcier,-7,Negatif,Mot,
mianda,Histoire,4,Positif,Mot,
kuleja,Montrer,4,Positif,Mot,
bindidimbi,Image,4,Positif,Mot,
ndumba,Pute,4,Positif,Mot,
nzubu,Maison,4,Positif,Mot,
kulama,Protéger,4,Positif,Verbe,
nsentedi,Sentinelle,4,Positif,Mot,
nyoka,Serpent,-5,Negatif,Mot,
bualu,Probleme,3,Positif,Mot,
mudimu,Travail,3,Positif,Mot,
munyinyi,Viande,3,Positif,Mot,
tshito,Plâtre,3,Positif,Mot,
mputa,Plaie,3,Positif,Mot,
tshimanu,Mur,3,Positif,Mot,
tshingoma,Arme,-3,Negatif,Mot,
kulekela,Laisser,5,Positif,Mot,
kuehuka,Eviter,5,Positif,Mot,
muinshi,Pilon,5,Positif,Mot,
muhanji,Malaxeur,5,Positif,Mot,
tshinu,Mortier,5,Positif,Mot,
mpuku,Rat,5,Positif,Mot,
mbindi,Corps,5,Positif,Mot,
luhangu,Parcelle,5,Positif,Mot,
lubilu,Vitesse,5,Positif,Mot,
tshibi,Porte,5,Positif,Mot,
disu,Œil,5,Positif,Mot,
ditshi,Oreille,5,Positif,Mot,
dinanga,Amour,5,Positif,Mot,
mukanda,Livre,5,Positif,Mot,
mutshi,Arbre,5,Positif,Mot,
bukondo,Filet,5,Positif,Mot,
bisonsa,Herbes,5,Positif,Mot,
mukidi,Canal,5,Positif,Mot,
katumba,Tracteur,5,Positif,Mot,
mateta,Examen,5,Positif,Mot,
lukombo,Balais,5,Positif,Mot,
lumbombo,Hypocrisie,-6,Negatif,Mot,
Akula,parle,2,Positif,Verbe,
Akulula,reparler,2,Positif,Verbe,
Akaja,Arranger,2,Positif,Verbe,
Akajulula,réarranger,2,Positif,Verbe,
Ambulula,répète,2,Positif,Verbe,
Aluja,remet,2,Positif,Verbe,
Alujulula,réremettre,2,Positif,Verbe,
Andamuna,repond,2,Positif,Verbe,
Ambuluja,dépêcher,2,Positif,Verbe,
Amba:dire,dire,2,Positif,Verbe,
Ambulula,répéter,2,Positif,Verbe,
Angula,ramasser,2,Positif,Verbe,
Angulula,reramasse,2,Positif,Verbe,
Ambakaja,superposer,2,Positif,Verbe,
Andamuna,répondre,2,Positif,Verbe,
Angata,prend,2,Positif,Verbe,
Bukenka,lumière,2,Positif,Verbe,
Bikasa,cérémoniecoutumière,2,Positif,Mot,
Buloba,terre,2,Positif,Mot,
Binsonji,leslarmes,2,Positif,Mot,
Bilela,jeu,2,Positif,Mot,
Bilamba,habits,2,Positif,Mot,
Biluatu,vêtements,2,Positif,Mot,
Busuyi,Caboche,2,Positif,Mot,
Bufuki,créature,2,Positif,Mot,
Biunvuidi,écouteurs,2,Positif,Mot,
Biuma,dote,2,Positif,Mot,
Binvundu,désordres,-8,Negatif,Mot,
Bilongu,fleurs,6,Positif,Mot,
Bunia,plier,6,Positif,Verbe,
Bulela,connaissance,6,Positif,Mot,
Bujitu,poind,6,Positif,Mot,
Bunsantu,sainteté,6,Positif,Mot,
Busenji,imbécillité,-3,Negatif,Mot,
Bantu,lesgens,4,Positif,Mot,
Bansantu,lessaints,4,Positif,Mot,
Banjelu,lesanges,4,Positif,Mot,
Buinvi,levol,-7,Negatif,Mot,
Buikila,ferme,-5,Negatif,Mot,
Butaka,sexe,3,Positif,Mot,
Bualu,lit,3,Positif,Mot,
Bufuka,fertile,3,Positif,Mot,
Bueja,entre,3,Positif,Mot,
Buatu,bateau,3,Positif,Mot,
Benga,réfut,3,Positif,Mot,
Bukula,farine,3,Positif,Mot,
Busa,l'oseille,3,Positif,Mot,
Bundu,honte,-7,Negatif,Mot,
Bintu,choses,3,Positif,Mot,
Bilela,blague,3,Positif,Mot,
Bînenka,trèsbien,3,Positif,Mot,
Dîku,famille,3,Positif,Mot,
Bidia,foufou,3,Positif,Mot,
Dikalu,vélo,3,Positif,Mot,
Dikasa,pied,3,Positif,Mot,
Disambila,prière,3,Positif,Mot,
Dikumi,dix,3,Positif,Mot,
Difu,ventre,3,Positif,Mot,
Diakalenga,bonheur,3,Positif,Mot,
Dîkisha,repot,3,Positif,Mot,
Dikumbi,parapluie,3,Positif,Mot,
Dindila,attente,3,Positif,Mot,
Disoso,trou,3,Positif,Mot,
Dikela,petittrou,3,Positif,Mot,
Dilongu,casserole,3,Positif,Mot,
Ditalaji,l'ombrage,3,Positif,Mot,
Diata,piétiner,3,Positif,Mot,
Dienzejibua,obligation,3,Positif,Mot,
Diandamuna,réponse,3,Positif,Mot,
Dikokesha,gouverner,3,Positif,Verbe,
Diobesha,marquer,3,Positif,Verbe,
Dituntumuna,transporter,3,Positif,Verbe,
Diambuluisha,aider,3,Positif,Verbe,
Dibandishibua,élever,3,Positif,Verbe,
Dibanjija,dédicacé,3,Positif,Mot,
Dilombodibua,êtreconduit,3,Positif,Mot,
Dipangadika,décision,3,Positif,Mot,
Didisuila,publier,3,Positif,Verbe,
Disama,maladie,3,Positif,Mot,
Diepuka,dévier,3,Positif,Verbe,
Dielakana,confondre,3,Positif,Verbe,
Dialakana,envier,3,Positif,Verbe,
Dîtu,forêt,3,Positif,Mot,
Ebeja,demander,3,Positif,Verbe,
Elela,mettre,3,Positif,Verbe,
Elesha,mettredansunechose,3,Positif,Verbe,
Enzela,faire,3,Positif,Verbe,
Enzulula,refaire,3,Positif,Verbe,
Enda,marche,3,Positif,Verbe,
Endulula,remarche,3,Positif,Verbe,
Eku,ici,3,Positif,Mot,
Enda,marcher,3,Positif,Verbe,
Funda,écrire,3,Positif,Verbe,
Fundulula,réécrire,3,Positif,Verbe,
Fimbu,foué,3,Positif,Mot,
Ikila,causer,3,Positif,Verbe,
Indila,attend,3,Positif,Verbe,
Ikala,soit,0,Neutre,Verbe,
Kasuyi,haché,3,Positif,Mot,
Kela,couto,3,Positif,Mot,
Kalalu,berceau,3,Positif,Mot,
Kalulu,lapin,3,Positif,Mot,
Kawundu,eguille,3,Positif,Mot,
Kenga,souffres,3,Positif,Mot,
Kanga,ferme,3,Positif,Mot,
Konga,s'informer,3,Positif,Verbe,
Kupuekela,abaissement,3,Positif,Mot,
Kulekela,abandon,3,Positif,Mot,
Mukumike,abattu,3,Positif,Mot,
Mudishikamine,affranchi,3,Positif,Mot,
Muenatshinyangu,abominable,3,Positif,Mot,
Bidia,agapes,3,Positif,Mot,
Kujimija,abolition,3,Positif,Mot,
Tshiakanetshiditshianyisha,agreeable,3,Positif,Mot,
Tshiabuny,abondamment,3,Positif,Mot,
Bidimu,age,3,Positif,Mot,
Kuvula,abondance,3,Positif,Mot,
Dieba,aiguillon,3,Positif,Mot,
Kumusha,abrogation,3,Positif,Mot,
Mapuapua,aile,3,Positif,Mot,
Dipumbishibua,absence,3,Positif,Mot,
Kukuabu,ailleurs,3,Positif,Mot,
Bululu,absinthe,3,Positif,Mot,
Tshimuenenu,airapparencevisuel,3,Positif,Mot,
Menemene,absolument,3,Positif,Mot,
Tshituilu,aire,3,Positif,Mot,
Tshiakuitaba,acceptable,3,Positif,Mot,
Butalale,aise,3,Positif,Mot,
Tshibueledi,accès,3,Positif,Mot,
Mupepele,aisé,3,Positif,Mot,
Kudiunda,accroissement,3,Positif,Mot,
Tshiakudia,aliment,3,Positif,Mot,
Dikumbana,accomplissement,3,Positif,Mot,
Mifuanu,allégorique,3,Positif,Mot,
Diyidimue,accord,3,Positif,Mot,
Disanka,allégresse,3,Positif,Mot,
Mubandi,accusateur,3,Positif,Mot,
Tshipungidi,alliance,3,Positif,Mot,
Bubandi,accusation,3,Positif,Mot,
Bulopo,ambassade,3,Positif,Mot,
Dipeta,acquisition,3,Positif,Mot,
Bulunda,amitié,3,Positif,Mot,
Tshienzedi,action,3,Positif,Mot,
Bikole,amèrement,3,Positif,Mot,
Disuminyina,activité,3,Positif,Mot,
Tshidimu,an,3,Positif,Mot,
Muenamudimu,administrateur,3,Positif,Mot,
Mulawu,anathème,3,Positif,Mot,
Kudimusha,admonestation,3,Positif,Mot,
Nkambua,ancêtre,3,Positif,Mot,
Dipiana,adoption,3,Positif,Mot,
Dikenga,angoisse,3,Positif,Mot,
Mukukuidi,adorateur,3,Positif,Mot,
Dimueneka,apparition,3,Positif,Mot,
Masandi,adultère,-5,Negatif,Mot,
Dibikila,appel,1,Positif,Mot,
Muenalukuna,adversaire,-1,Negatif,Mot,
Dibikidibua,vocation,1,Positif,Mot,
Nsangilu,assemblée,1,Positif,Mot,
Musoko,bourgeoise,1,Positif,Mot,
Tshibombu,bourse,1,Positif,Mot,
Ditamba,branche,1,Positif,Mot,
Mutoyi,bruit,1,Positif,Mot,
Tshikutu,buisson,1,Positif,Mot,
MunuWamaluvu,buveur,1,Positif,Mot,
Ditalala,calme,1,Positif,Mot,
Musonguedianganyi,calomniateur,-7,Negatif,Mot,
Tshitudilu,camp,5,Positif,Mot,
Kapita,capitaine,5,Positif,Mot,
Mupika,captif,5,Positif,Mot,
Lukanu,captivité,5,Positif,Mot,
Carrefour,masangu,5,Positif,Mot,
Bukole,ardeur,5,Positif,Mot,
Tshimuenenu,aspect,5,Positif,Mot,
Mushipianganyi,assassin,-3,Negatif,Mot,
Mikalu,borne,1,Positif,Mot,
Musoko,bourgeoise,1,Positif,Mot,
Tshibombu,bourse,1,Positif,Mot,
Ditamba,branche,1,Positif,Mot,
Mutoyi,bruit,1,Positif,Mot,
Tshikutu,buisson,1,Positif,Mot,
MunuWamaluvu,buveur,1,Positif,Mot,
Ditalala,calme,1,Positif,Mot,
Musonguedianganyi,calomniateur,-3,Negatif,Mot,
Tshitudilu,camp,2,Positif,Mot,
Kapita,capitaine,2,Positif,Mot,
Mupika,captif,2,Positif,Mot,
Tshibombu,bourse,2,Positif,Mot,
Ditamba,branche,2,Positif,Mot,
Mutoyi,bruit,2,Positif,Mot,
Tshikutu,buisson,2,Positif,Mot,
MunuWamaluvu,buveur,2,Positif,Mot,
Ditalala,calme,2,Positif,Mot,
Kapita,capitaine,2,Positif,Mot,
Bukole,ardeur,2,Positif,Mot,
Tshimuenenu,aspect,2,Positif,Mot,
Mushipianganyi,assassin,2,Positif,Mot,
Dikima,assurance,2,Positif,Mot,
Kuindila,attente,2,Positif,Mot,
Ntema,attention,2,Positif,Mot,
Dikamakama,audace,4,Positif,Mot,
Munvui,auditeur,4,Positif,Mot,
Mushipu,automne,4,Positif,Mot,
Bukokeshi,autorité,4,Positif,Mot,
Didiundisha,avancement,4,Positif,Mot,
Ditamba,avantage,4,Positif,Mot,
Lukuka,Lukuka:avare,4,Positif,Mot,
Tshipiminu,balance,4,Positif,Mot,
Tshilulu,bande,4,Positif,Mot,
Mikalu,borne,4,Positif,Mot,
Musoko,bourgeoise,4,Positif,Mot,
Tshibombu,bourse,4,Positif,Mot,
Ditamba,branche,4,Positif,Mot,
Mutoyi,bruit,4,Positif,Mot,
Tshikutu,buisson,4,Positif,Mot,
MunuWamaluvu,buveur,4,Positif,Mot,
Ditalala,calme,4,Positif,Mot,
Musonguedianganyi,calomniateur,-3,Negatif,Mot,
Tshitudilu,camp,1,Positif,Mot,
Kapita,capitaine,1,Positif,Mot,
Mupika,captif,-3,Negatif,Mot,
Lukanu,captivité,-7,Negatif,Mot,
Carrefour,masangu,2,Positif,Mot,
Bukole,ardeur,2,Positif,Mot,
Tshimuenenu,aspect,1,Positif,Mot,
Mushipianganyi,assassin,-9,Negatif,Mot,
Mikalu,borne,4,Positif,Mot,
Musoko,bourgeoise,4,Positif,Mot,
Tshibombu,bourse,4,Positif,Mot,
Ditamba,branche,4,Positif,Mot,
Mutoyi,bruit,4,Positif,Mot,
Tshikutu,buisson,4,Positif,Mot,
MunuWamaluvu,buveur,4,Positif,Mot,
Ditalala,calme,4,Positif,Mot,
Carrefour,masangu,1,Positif,Mot,
Bukole,ardeur,1,Positif,Mot,
Tshimuenenu,aspect,1,Positif,Mot,
bunyi,Motbre,1,Positif,Mot,
bapita,Motbreux,1,Positif,Mot,
kufikisha,noircir,1,Positif,Mot,
kudisha,nourir,1,Positif,Mot,
kuledibua,naitre,1,Positif,Mot,
tshipiatshipia,nouveau,1,Positif,Mot,
tetu,nous,0,Neutre,Mot,
kukoma,repasser,2,Positif,Verbe,
lusa,pitié,2,Positif,Verbe,
kutela,énumérer,2,Positif,Verbe,
kututa,frapper,2,Positif,Verbe,
kuenda,marcher,2,Positif,Verbe,
kuseka,rigoler,2,Positif,Verbe,
mimueka,sourire,2,Positif,Mot,
kuseka,rire,2,Positif,Mot,
kupeta,trouver,2,Positif,Verbe,
kukumbaja,accomplir,2,Positif,Verbe,
kuhuja,remplir,2,Positif,Verbe,
mulayi,promesse,2,Positif,Verbe,
kupesha,donner,2,Positif,Verbe,
kuja,danser,2,Positif,Verbe,
kuimba,chanter,2,Positif,Verbe,
kupangila,rater,2,Positif,Verbe,
tshikosu,raccourcis,2,Positif,Mot,
kututa,fouetter,2,Positif,Verbe,
dimanya,savoir,2,Positif,Verbe,
kulala,dormir,2,Positif,Verbe,
kubika,réveiller,2,Positif,Verbe,
kukanga,fermer,2,Positif,Verbe,
kulomba,demander,2,Positif,Verbe,
kualuja,remettre,2,Positif,Verbe,
kuteka,déposer,2,Positif,Verbe,
kulamba,préparer,2,Positif,Verbe,
kutua,manipuler,2,Positif,Verbe,
lutandala,internet,2,Positif,Mot,
kutshiankunya,mâcher,2,Positif,Verbe,
kudilulula,ruminer,2,Positif,Verbe,
kunyema,courir,2,Positif,Verbe,
kuipata,chasser,2,Positif,Verbe,
kunvua,comprendre,2,Positif,Verbe,
kukupula,essuyer,2,Positif,Verbe,
bukenka,lumière,2,Positif,Mot,
mundidimbi,ombre,2,Positif,Mot,
muedi,barbe,2,Positif,Mot,
nsuki,cheveux,2,Positif,Mot,
kudiabakena,lamenter,2,Positif,Verbe,
kuzakala,trembler,2,Positif,Verbe,
kulaba,frotter,2,Positif,Verbe,
nvunda,tourbillon,2,Positif,Mot,
mukenya,eclaire,4,Positif,Mot,
tshiululu,nuage,4,Positif,Mot,
malemba,orage,4,Positif,Mot,
kufunda,accuser,4,Positif,Mot,
kansungansunga,discrimination,4,Positif,Mot,
kuikisha,reposer,4,Positif,Verbe,
mulombi,mendier,4,Positif,Mot,
mudiavi,gourmand,4,Positif,Mot,
muenantanda,citoyen,4,Positif,Mot,
kuadija,étaler,4,Positif,Verbe,
kuihila,sarcler,4,Positif,Verbe,
kuhakula,castrer,4,Positif,Verbe,
kutengula,circoncire,4,Positif,Verbe,
kubobesha,murmure,4,Positif,Verbe,
kunungana,murmurer,4,Positif,Verbe,
kuluatshika,vêtir,4,Positif,Verbe,
kuadika,habiller,4,Positif,Verbe,
munganga,infirmier,4,Positif,Mot,
kumanyisha,informer,4,Positif,Verbe,
kunvuija,expliquer,4,Positif,Verbe,
kunua,boire,4,Positif,Verbe,
kusangisha,additionner,4,Positif,Verbe,
nvita,guerre,4,Positif,Mot,
kujika,enterrer,4,Positif,Verbe,
kuakaja,ajuster,4,Positif,Verbe,
kulela,accoucher,4,Positif,Verbe,
kulengeja,embellir,4,Positif,Verbe,
kutokesha,purifier,4,Positif,Verbe,
kabalamatuku,calendier,4,Positif,Mot,
kuela,insérer,4,Positif,Verbe,
kuludika,dresser,4,Positif,Verbe,
kubela,éduquer,4,Positif,Verbe,
tshienzedi,acte,4,Positif,Mot,
kutshimuna,vaincre,4,Positif,Verbe,
kutumbisha,louer,4,Positif,Verbe,
kukukuila,adorer,4,Positif,Verbe,
kutangalaja,propager,4,Positif,Verbe,
dizakala,tremblement,4,Positif,Mot,
kuzakala,trembler,4,Positif,Verbe,
kutshibuka,fracturer,-4,Negatif,Verbe,
kukuta,rassasier,3,Positif,Verbe,
kujima,eteindre,3,Positif,Verbe,
kutemesha,allumer,3,Positif,Verbe,
kusemena,approcher,3,Positif,Verbe,
tshipiminu,mesure,3,Positif,Verbe,
kumonununa,revoir,3,Positif,Verbe,
kutshina,craindre,-1,Negatif,Verbe,
miengu,nauser,-1,Negatif,Mot,
tshieleka,serment,2,Positif,Mot,
kowela,nager,2,Positif,Verbe,
kudina,noyer,2,Positif,Verbe,
kuhuyakana,respirer,2,Positif,Verbe,
kuinyija,plonger,2,Positif,Verbe,
kubola,mouiller,2,Positif,Verbe,
kubungila,somnoler,2,Positif,Verbe,
kulota,rever,2,Positif,Verbe,
butuku,nuit,2,Positif,Mot,
dituku,jour,2,Positif,Mot,
ditunga,pays,2,Positif,Mot,
kumuenena,dominer,2,Positif,Verbe,
tshimenga,ville,2,Positif,Mot,
musoku,village,2,Positif,Mot,
kuvuma,vibrer,2,Positif,Mot,
mulondi,coureur,2,Positif,Mot,
momunyi,voyan,2,Positif,Mot,
nsanyanga,sentiment,2,Positif,Mot,
kujingila,souhaiter,2,Positif,Verbe,
kukehesha,reduire,2,Positif,Verbe,
mavuala,Vagues,-1,Negatif,Mot,
tshipepela,tempête,-3,Negatif,Mot,
kudiombo,décevoir,-7,Negatif,Verbe,
kusambakaja,melanger,4,Positif,Verbe,
kufua,mourir,-9,Negatif,Verbe,
kushima,mentir,-4,Negatif,Verbe,
kulomba,mendier,-3,Negatif,Verbe,
mulombi,mendiant,-2,Negatif,Mot,
kukumbana,meriter,1,Positif,Verbe,
dikumbana,merite,1,Positif,Verbe,
mudimu,metier,1,Positif,Verbe,
mashimi,mensonge,1,Positif,Mot,
munyengi,cambrioleur,-4,Negatif,Mot,
lukombu,Balais,3,Positif,Mot,
dipeji,Papier,3,Positif,Mot,
mapapa,Babouche,3,Positif,Mot,
dingaya,Manguier,3,Positif,Mot,
dinyuka,Éponge,3,Positif,Mot,
sabanga,Savon,3,Positif,Mot,
dilata,Tôle,3,Positif,Mot,
dibaya,Bois,3,Positif,Mot,
cikolora,Torchon,3,Positif,Mot,
nshiba,Bambou,3,Positif,Mot,
nfatshiaka,Français,3,Positif,Mot,
Tshina,Puit,3,Positif,Mot,
luesu,Marmite,3,Positif,Mot,
mbabula,Brasero,3,Positif,Mot,
nkutu,Cuillère,3,Positif,Mot,
muhanji,Malaxeur,3,Positif,Mot,
Malala,Braise,3,Positif,Mot,
mesa,Table,4,Positif,Mot,
nkuasa,Chaise,4,Positif,Mot,
kabadi,Armoire,4,Positif,Mot,
mufuku,Sac,4,Positif,Mot,
dikopu,Gobelet,4,Positif,Mot,
dilongu,Assiette,4,Positif,Mot,
didiotu,Brique,4,Positif,Mot,
mpanu,Poêle,4,Positif,Mot,
nsuki,Cheveux,4,Positif,Mot,
mashinyi,Voiture,4,Positif,Mot,
bulalu,Lit,4,Positif,Mot,
nshinga,File,4,Positif,Mot,
difikadimpa,Bienvenue,4,Positif,Mot,
diewukanimenjicienabualu,Éluder,4,Positif,Verbe,
dianganimushingamukanemu,Ladéférence,4,Positif,Mot,
dinianga,Annihiler,4,Positif,Verbe,
divula,Exacerber,4,Positif,Verbe,
Dijingilabuimpabuabakuabu,Bienveillance,4,Positif,Mot,
mutoka(butoka)clair,Limpide,4,Positif,Mot,
dépression(dibungama),Mélancolie,4,Positif,Mot,
dinyunluka,Graviter,4,Positif,Verbe,
critiqueviolente;kubishamucinyangu,Diatribe,4,Positif,Mot,
puhela;pauvreté,Indigence,4,Positif,Mot,
dote,Biuma,4,Positif,Mot,
kusela,Marier,4,Positif,Verbe,
kuipata,Chasser,4,Positif,Verbe,
kuelatshituha,Embrasser,4,Positif,Verbe,
kukolowa,Torcher,4,Positif,Verbe,
kushipa,Tuer,-3,Negatif,Verbe,
kuloba,Pêcher,2,Positif,Verbe,
tshilembi,Chasseur,2,Positif,Verbe,
munganga,Médecin,2,Positif,Mot,
mondopi,Guérisseur,2,Positif,Verbe,
mupandishi,Sauveur,2,Positif,Verbe,
kuimba,Chanter,2,Positif,Verbe,
kutanda,Tonner,2,Positif,Verbe,
kutanta,Émerger,2,Positif,Verbe,
kututa,Tapper,2,Positif,Verbe,
kuambula,Puiser,2,Positif,Verbe,
kuangata,Puiser,2,Positif,Verbe,
matandu,Dispute,-4,Negatif,Verbe,
kututa,Congner,-6,Negatif,Verbe,
kubonda,Presser,2,Positif,Verbe,
disanka,Allégresse,2,Positif,Mot,
anyima,Âme,2,Positif,Mot,
Diyi,Voix,2,Positif,Mot,
tshiamua,Feràrepasser,2,Positif,Mot,
kuamuisha,Allaiter,2,Positif,Verbe,
kuanyisha,Admirer,2,Positif,Verbe,
kuambula,Transporter,2,Positif,Verbe,
kutuala,Amener,2,Positif,Verbe,
kuela,Submerger,2,Positif,Verbe,
kuela,Tremper,2,Positif,Verbe,
kuela,Mettre,2,Positif,Verbe,
kulongolola,Préparer,2,Positif,Verbe,
kulamba,Cuisiner,2,Positif,Verbe,
nsangilu,Assemblée,2,Positif,Verbe,
Nzambi,Dieu,2,Positif,Mot,
Mfumu,Seigneur,2,Positif,Mot,
yehowa,Jéhovah,2,Positif,Mot,
muennenu,Avis,2,Positif,Mot,
tshienabualu,Thème,2,Positif,Mot,
wabukolabonso,Tout-puissant,2,Positif,Mot,
sainteté,Tshijila,2,Positif,Mot,
kutumbisha,Glorifier,2,Positif,Mot,
kuenzela,Utiliser,2,Positif,Verbe,
kukanga,Bloquer,2,Positif,Verbe,
kulongesha,Enseigner,2,Positif,Verbe,
